,Draft_Yr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP,PTS_per_G,TRB_per_G,AST_per_G,WS_per_G,WS_per_48,BPM,VORP
237,2012,50,DEN,Izzet Turkyilmaz,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,2012,51,BOS,Kris Joseph,Syracuse University,1,10,54,9,7,1,0.14300000000000002,0.0,0.625,54,0.9,0.7,0.1,-0.1,-0.127,-10.5,-0.1
239,2012,52,GSW,Ognjen Kuzmic,,2,37,164,35,38,8,0.52,0.0,0.6,164,0.9,1.0,0.2,0.2,0.061,-2.5,0.0
240,2012,53,LAC,Furkan Aldemir,,1,41,540,93,176,28,0.513,0.0,0.48100000000000004,540,2.3,4.3,0.7,1.4,0.122,-0.7,0.2
241,2012,54,PHI,Tornike Shengelia,,2,45,247,59,39,17,0.451,0.125,0.5,247,1.3,0.9,0.4,-0.2,-0.032,-6.6,-0.3
242,2012,55,DAL,Darius Johnson-Odom,Marquette University,2,7,21,0,6,2,0.0,0.0,0.0,21,0.0,0.9,0.3,-0.3,-0.597,-23.2,-0.1
243,2012,56,TOR,Tomislav Zubcic,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,2012,57,NJN,Ilkan Karaman,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,2012,58,MIN,Robbie Hummel,Purdue University,2,98,1397,379,266,50,0.418,0.34299999999999997,0.867,1397,3.9,2.7,0.5,1.9,0.066,-2.9,-0.3
246,2012,59,SAS,Marcus Denmon,University of Missouri,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,2012,60,LAL,Robert Sacre,Gonzaga University,4,189,2745,787,593,126,0.436,0.0,0.6709999999999999,2745,4.2,3.1,0.7,2.4,0.042,-3.1,-0.8
248,2013,1,CLE,Anthony Bennett,"University of Nevada, Las Vegas",4,151,1905,658,472,77,0.392,0.261,0.67,1905,4.4,3.1,0.5,0.5,0.013000000000000001,-5.6,-1.7
249,2013,2,ORL,Victor Oladipo,Indiana University,6,382,12731,6696,1763,1478,0.445,0.35200000000000004,0.7959999999999999,12731,17.5,4.6,3.9,23.2,0.08800000000000001,1.1,9.8
250,2013,3,WAS,Otto Porter,Georgetown University,6,362,9627,3833,1775,512,0.488,0.401,0.789,9627,10.6,4.9,1.4,27.0,0.135,2.2,10.1
251,2013,4,CHA,Cody Zeller,Indiana University,6,332,7516,2658,1864,435,0.508,0.261,0.737,7516,8.0,5.6,1.3,21.9,0.14,0.7,5.2
252,2013,5,PHO,Alex Len,University of Maryland,6,354,7062,2618,2281,279,0.48700000000000004,0.29,0.7020000000000001,7062,7.4,6.4,0.8,12.7,0.087,-1.8,0.3
253,2013,6,NOH,Nerlens Noel,University of Kentucky,5,241,6038,2157,1706,329,0.516,0.25,0.628,6038,9.0,7.1,1.4,13.7,0.109,1.4,5.2
254,2013,7,SAC,Ben McLemore,University of Kansas,6,355,8597,3176,892,405,0.41700000000000004,0.35100000000000003,0.782,8597,8.9,2.5,1.1,4.4,0.025,-2.8,-1.7
255,2013,8,DET,Kentavious Caldwell-Pope,University of Georgia,6,407,12340,4805,1372,668,0.408,0.344,0.7929999999999999,12340,11.8,3.4,1.6,20.4,0.079,0.1,6.5
256,2013,9,MIN,Trey Burke,University of Michigan,6,321,7806,3533,684,1205,0.406,0.34,0.789,7806,11.0,2.1,3.8,9.0,0.055999999999999994,-2.1,-0.2
