,2P,2P%,2PA,3P,3P%,3PA,AST,Awards,BLK,Conf,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,MP,Name,ORB,PF,PTS,SOS,STL,School,Season,TOV,TRB, 
179,3.0,0.493,6.0,0.3,0.312,1.1,1.0,0,1.5,,3.9,3.3,0.466,7.1,2.4,0.6920000000000001,3.4,148,111,25.0,Robert Dozier,2.6,2.6,9.3,4.63,1.0,Memphis,['Career'],1.7,6.5,
180,4.5,0.509,8.8,1.0,0.325,3.1,6.5,SEC POY,0.5,SEC,3.5,5.5,0.461,11.8,4.7,0.754,6.3,37,37,34.8,John Wall,0.8,1.9,16.6,6.82,1.8,Kentucky,['2009-10'],4.0,4.3,0
181,4.5,0.509,8.8,1.0,0.325,3.1,6.5,,0.5,,3.5,5.5,0.461,11.8,4.7,0.754,6.3,37,37,34.8,John Wall,0.8,1.9,16.6,6.82,1.8,Kentucky,['Career'],4.0,4.3,0
182,2.3,0.528,4.4,0.6,0.33299999999999996,1.9,2.6,,0.5,Big Ten,3.5,2.9,0.47,6.3,1.9,0.6990000000000001,2.8,37,30,27.1,Evan Turner,0.9,2.4,8.5,7.97,1.3,Ohio State,['2007-08'],2.7,4.4,0
183,5.5,0.507,10.9,0.3,0.44,0.8,4.0,,0.8,Big Ten,5.4,5.8,0.503,11.6,5.3,0.7879999999999999,6.7,33,33,36.4,Evan Turner,1.7,2.9,17.3,8.23,1.8,Ohio State,['2008-09'],3.5,7.1,0
184,7.0,0.54,13.0,0.6,0.364,1.8,6.0,AP POY; NABC POY; TSN POY ...,0.9,Big Ten,7.2,7.6,0.519,14.7,4.5,0.754,5.9,31,31,35.7,Evan Turner,2.0,2.8,20.4,7.37,1.7,Ohio State,['2009-10'],4.4,9.2,0
185,4.8,0.525,9.1,0.5,0.36200000000000004,1.5,4.1,,0.7,,5.3,5.3,0.502,10.6,3.8,0.758,5.0,101,94,32.8,Evan Turner,1.5,2.7,15.0,7.86,1.6,Ohio State,['Career'],3.5,6.8,0
186,5.0,0.613,8.1,0.0,0.0,0.0,1.0,0,2.1,ACC,5.4,5.0,0.611,8.1,2.5,0.629,4.0,36,35,27.5,Derrick Favors,3.0,2.6,12.4,9.02,0.9,Georgia Tech,['2009-10'],2.5,8.4,
187,5.0,0.613,8.1,0.0,0.0,0.0,1.0,0,2.1,,5.4,5.0,0.611,8.1,2.5,0.629,4.0,36,35,27.5,Derrick Favors,3.0,2.6,12.4,9.02,0.9,Georgia Tech,['Career'],2.5,8.4,
188,5.4,0.565,9.6,0.0,0.16699999999999998,0.2,1.0,0,1.8,SEC,5.8,5.4,0.5579999999999999,9.7,4.3,0.604,7.1,38,37,23.5,DeMarcus Cousins,4.1,3.2,15.1,6.82,1.0,Kentucky,['2009-10'],2.1,9.8,
189,5.4,0.565,9.6,0.0,0.16699999999999998,0.2,1.0,0,1.8,,5.8,5.4,0.5579999999999999,9.7,4.3,0.604,7.1,38,37,23.5,DeMarcus Cousins,4.1,3.2,15.1,6.82,1.0,Kentucky,['Career'],2.1,9.8,
190,2.2,0.478,4.5,0.0,0.0,0.1,0.8,0,1.9,Big Ten,2.3,2.2,0.469,4.6,0.7,0.585,1.2,35,7,20.3,Ekpe Udoh,1.7,1.9,5.0,6.79,0.7,Michigan,['2006-07'],0.8,4.0,
191,2.2,0.44299999999999995,4.9,0.2,0.375,0.5,0.9,0,2.9,Big Ten,2.8,2.4,0.43700000000000006,5.4,1.0,0.589,1.8,32,24,26.0,Ekpe Udoh,2.2,2.4,6.0,7.99,0.8,Michigan,['2007-08'],1.1,5.0,
192,5.1,0.505,10.1,0.2,0.26899999999999996,0.7,2.7,0,3.7,Big 12,6.2,5.3,0.49,10.8,3.1,0.685,4.5,36,36,35.1,Ekpe Udoh,3.6,2.4,13.9,8.03,0.8,Baylor,['2009-10'],2.4,9.8,
193,3.2,0.485,6.6,0.1,0.289,0.4,1.5,0,2.8,,3.8,3.3,0.47200000000000003,7.0,1.6,0.649,2.5,103,67,27.2,Ekpe Udoh,2.5,2.2,8.4,7.6,0.8,Overall,['Career'],1.5,6.3,
194,4.5,0.578,7.9,0.1,0.33299999999999996,0.2,2.5,0,1.5,Big East,4.5,4.6,0.5720000000000001,8.1,3.4,0.7,4.8,31,31,30.9,Greg Monroe,2.0,2.5,12.7,8.97,1.8,Georgetown,['2008-09'],2.5,6.5,
195,5.7,0.545,10.5,0.2,0.259,0.8,3.8,0,1.5,Big East,7.5,5.9,0.525,11.3,4.1,0.66,6.1,34,34,34.2,Greg Monroe,2.2,2.6,16.1,9.55,1.2,Georgetown,['2009-10'],3.3,9.6,
196,5.2,0.5579999999999999,9.3,0.1,0.273,0.5,3.2,0,1.5,,6.1,5.3,0.5429999999999999,9.8,3.7,0.677,5.5,65,65,32.6,Greg Monroe,2.1,2.5,14.5,9.26,1.5,Georgetown,['Career'],2.9,8.2,
197,4.5,0.57,7.9,0.2,0.179,1.3,1.5,0,1.2,ACC,5.9,4.7,0.516,9.1,3.3,0.6709999999999999,4.9,31,30,29.0,Al-Farouq Aminu,2.3,2.6,12.9,7.36,1.0,Wake Forest,['2008-09'],2.6,8.2,
198,4.8,0.484,9.9,0.6,0.273,2.1,1.3,0,1.4,ACC,6.4,5.4,0.447,12.1,4.5,0.698,6.4,31,30,31.3,Al-Farouq Aminu,4.3,2.9,15.8,8.85,1.4,Wake Forest,['2009-10'],3.2,10.7,
199,4.6,0.522,8.9,0.4,0.23800000000000002,1.7,1.4,0,1.3,,6.1,5.0,0.47600000000000003,10.6,3.9,0.687,5.7,62,60,30.1,Al-Farouq Aminu,3.3,2.8,14.4,8.1,1.2,Wake Forest,['Career'],2.9,9.4,
200,1.8,0.523,3.3,2.2,0.44799999999999995,4.8,2.0,,0.9,Horizon,5.0,3.9,0.479,8.2,3.2,0.815,3.9,32,32,32.7,Gordon Hayward,1.4,2.0,13.1,2.07,1.5,Butler,['2008-09'],1.7,6.5,0
201,3.4,0.5920000000000001,5.8,1.3,0.294,4.3,1.7,Horizon POY; NCAA All-Tournament,0.8,Horizon,6.3,4.7,0.46399999999999997,10.1,4.8,0.8290000000000001,5.8,37,37,33.5,Gordon Hayward,1.9,2.1,15.5,5.08,1.1,Butler,['2009-10'],2.3,8.2,0
202,2.6,0.569,4.6,1.7,0.369,4.6,1.8,,0.9,,5.7,4.3,0.47,9.2,4.1,0.8240000000000001,4.9,69,69,33.1,Gordon Hayward,1.7,2.1,14.4,3.57,1.3,Butler,['Career'],2.0,7.4,0
203,3.0,0.486,6.2,1.9,0.447,4.1,1.9,0,1.0,WAC,4.4,4.9,0.47,10.4,2.7,0.6970000000000001,3.9,34,34,34.6,Paul George,1.9,2.7,14.3,0.96,1.7,Fresno State,['2008-09'],2.3,6.2,
204,3.3,0.485,6.8,2.0,0.353,5.8,3.0,0,0.8,WAC,5.3,5.3,0.424,12.5,4.1,0.909,4.6,29,29,33.2,Paul George,1.9,2.9,16.8,1.31,2.2,Fresno State,['2009-10'],3.2,7.2,
205,3.1,0.485,6.5,1.9,0.396,4.9,2.4,0,0.9,,4.8,5.1,0.447,11.4,3.4,0.8029999999999999,4.2,63,63,33.9,Paul George,1.9,2.8,15.5,1.13,2.0,Fresno State,['Career'],2.7,6.7,
206,1.1,0.518,2.1,0.0,0.0,0.0,0.1,0,0.9,Big 12,2.1,1.1,0.518,2.1,0.7,0.684,1.0,40,0,8.3,Cole Aldrich,0.9,1.2,2.8,8.2,0.3,Kansas,['2007-08'],0.5,3.0,
207,5.7,0.598,9.5,0.0,0.0,0.0,1.0,0,2.7,Big 12,8.0,5.7,0.598,9.5,3.5,0.792,4.4,35,35,29.6,Cole Aldrich,3.0,2.6,14.9,7.9,0.6,Kansas,['2008-09'],1.6,11.1,
208,4.1,0.562,7.4,0.0,0.0,0.0,0.9,0,3.5,Big 12,6.8,4.1,0.562,7.4,3.0,0.679,4.4,36,36,26.8,Cole Aldrich,3.1,2.6,11.3,8.25,0.8,Kansas,['2009-10'],1.6,9.8,
209,3.5,0.574,6.1,0.0,0.0,0.0,0.6,0,2.3,,5.5,3.5,0.574,6.1,2.3,0.7290000000000001,3.2,111,71,21.0,Cole Aldrich,2.3,2.1,9.4,8.12,0.5,Kansas,['Career'],1.2,7.7,
210,2.6,0.49200000000000005,5.3,1.9,0.418,4.6,1.5,0,0.5,Big 12,3.2,4.5,0.45799999999999996,9.8,2.5,0.7829999999999999,3.2,36,36,27.5,Xavier Henry,1.2,1.8,13.4,8.25,1.5,Kansas,['2009-10'],1.9,4.4,
211,2.6,0.49200000000000005,5.3,1.9,0.418,4.6,1.5,0,0.5,,3.2,4.5,0.45799999999999996,9.8,2.5,0.7829999999999999,3.2,36,36,27.5,Xavier Henry,1.2,1.8,13.4,8.25,1.5,Kansas,['Career'],1.9,4.4,
212,2.6,0.518,5.0,0.0,0.0,0.0,0.6,0,1.7,ACC,4.4,2.6,0.518,5.0,1.4,0.573,2.5,38,2,18.8,Ed Davis,2.2,1.9,6.7,8.35,0.4,UNC,['2008-09'],1.1,6.6,
213,4.8,0.578,8.3,0.0,0.0,0.0,1.0,0,2.8,ACC,6.7,4.8,0.578,8.3,3.8,0.659,5.7,23,23,27.9,Ed Davis,2.9,1.8,13.4,9.83,0.4,UNC,['2009-10'],2.0,9.6,
214,3.4,0.5479999999999999,6.3,0.0,0.0,0.0,0.7,0,2.1,,5.3,3.4,0.5479999999999999,6.3,2.3,0.623,3.7,61,25,22.2,Ed Davis,2.4,1.9,9.2,9.09,0.4,UNC,['Career'],1.4,7.7,
215,6.5,0.581,11.2,0.0,0.0,0.1,1.7,0,1.2,SEC,4.8,6.5,0.574,11.3,3.5,0.731,4.8,25,25,35.7,Patrick Patterson,2.8,2.8,16.4,7.09,0.8,Kentucky,['2007-08'],2.1,7.7,
216,7.1,0.605,11.7,0.0,0.0,0.0,2.0,0,2.1,SEC,6.6,7.1,0.603,11.7,3.8,0.768,4.9,34,34,33.7,Patrick Patterson,2.7,2.2,17.9,4.82,0.6,Kentucky,['2008-09'],1.9,9.3,
217,5.0,0.626,8.0,0.6,0.348,1.8,0.9,0,1.3,SEC,4.4,5.7,0.575,9.8,2.4,0.6920000000000001,3.4,38,38,33.0,Patrick Patterson,3.1,1.6,14.3,6.82,0.7,Kentucky,['2009-10'],1.1,7.4,
