,2P,2P%,2PA,3P,3P%,3PA,AST,Awards,BLK,Conf,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,MP,Name,ORB,PF,PTS,SOS,STL,School,Season,TOV,TRB, 
373,2.5,0.45299999999999996,5.4,1.8,0.40399999999999997,4.6,1.7,0,0.1,Sun Belt,2.6,4.3,0.43,10.0,4.0,0.821,4.9,33,29,30.2,Tristan Thompson,0.7,2.1,14.5,-4.72,0.8,North Texas,['2009-10'],1.8,3.3,
374,2.8,0.495,5.6,2.0,0.418,4.8,1.8,0,0.1,Sun Belt,2.7,4.8,0.45899999999999996,10.4,6.4,0.8340000000000001,7.7,33,31,32.0,Tristan Thompson,0.5,1.9,18.0,-5.07,0.7,North Texas,['2010-11'],2.2,3.2,
375,2.2,0.47200000000000003,4.6,1.4,0.396,3.6,1.3,0,0.1,,2.1,3.6,0.439,8.2,4.1,0.816,5.0,128,99,25.5,Tristan Thompson,0.6,1.8,12.7,-3.82,0.6,North Texas,['Career'],1.7,2.8,
376,3.4,0.461,7.4,2.3,0.377,6.1,4.2,0,0.2,SEC,3.4,5.7,0.423,13.5,3.6,0.795,4.5,38,38,35.9,Brandon Knight,0.7,2.2,17.3,8.91,0.7,Kentucky,['2010-11'],3.2,4.0,
377,3.4,0.461,7.4,2.3,0.377,6.1,4.2,0,0.2,,3.4,5.7,0.423,13.5,3.6,0.795,4.5,38,38,35.9,Brandon Knight,0.7,2.2,17.3,8.91,0.7,Kentucky,['Career'],3.2,4.0,
378,2.7,0.522,5.2,0.4,0.271,1.3,2.9,,0.2,Big East,2.6,3.1,0.47,6.5,2.4,0.715,3.4,36,2,25.2,Kemba Walker,0.9,1.6,8.9,8.57,1.1,UConn,['2008-09'],1.8,3.5,0
379,3.4,0.43,7.8,1.1,0.33899999999999997,3.3,5.1,,0.4,Big East,3.3,4.5,0.40299999999999997,11.1,4.6,0.767,5.9,34,34,35.2,Kemba Walker,0.9,1.7,14.6,9.15,2.1,UConn,['2009-10'],2.9,4.3,0
380,5.9,0.47100000000000003,12.5,1.8,0.33,5.5,4.5,NCAA All-Tournament,0.2,Big East,4.1,7.7,0.428,18.0,6.3,0.8190000000000001,7.7,41,41,37.6,Kemba Walker,1.3,1.4,23.5,10.44,1.9,UConn,['2010-11'],2.3,5.4,0
381,4.1,0.469,8.7,1.1,0.326,3.5,4.1,,0.3,,3.4,5.2,0.428,12.2,4.5,0.7829999999999999,5.8,111,77,32.9,Kemba Walker,1.0,1.5,16.1,9.39,1.7,UConn,['Career'],2.3,4.4,0
382,1.1,0.526,2.2,1.2,0.336,3.7,1.7,,0.1,MWC,0.8,2.4,0.40700000000000003,5.8,1.0,0.8540000000000001,1.2,35,0,18.5,Jimmer Fredette,0.2,1.3,7.0,1.33,0.8,BYU,['2007-08'],1.2,1.1,0
383,4.0,0.534,7.5,1.6,0.382,4.1,4.1,,0.1,MWC,2.4,5.6,0.48,11.6,3.5,0.847,4.2,33,32,33.0,Jimmer Fredette,0.5,1.3,16.2,4.15,1.5,BYU,['2008-09'],2.6,3.0,0
384,4.4,0.46799999999999997,9.3,2.3,0.44,5.1,4.7,,0.1,MWC,2.4,6.6,0.45799999999999996,14.4,6.6,0.892,7.4,34,33,31.1,Jimmer Fredette,0.7,1.1,22.1,3.0,1.2,BYU,['2009-10'],2.7,3.1,0
385,6.0,0.491,12.2,3.4,0.396,8.5,4.3,AP POY; NABC POY; TSN POY ...,0.0,MWC,2.8,9.4,0.452,20.7,6.8,0.894,7.6,37,37,35.8,Jimmer Fredette,0.6,1.3,28.9,5.76,1.3,BYU,['2010-11'],3.5,3.4,0
386,3.9,0.49700000000000005,7.8,2.1,0.39399999999999996,5.4,3.7,,0.1,,2.1,6.0,0.455,13.3,4.5,0.882,5.1,139,102,29.6,Jimmer Fredette,0.5,1.2,18.7,3.56,1.2,BYU,['Career'],2.5,2.6,0
387,2.8,0.42700000000000005,6.5,2.1,0.41200000000000003,5.0,1.9,0,0.6,Pac-10,3.4,4.8,0.42100000000000004,11.5,0.8,0.903,0.9,33,33,33.1,Klay Thompson,0.8,2.0,12.5,7.5,0.9,Washington State,['2008-09'],2.1,4.2,
388,4.0,0.449,8.9,2.5,0.364,6.7,2.3,0,0.7,Pac-10,3.9,6.5,0.41200000000000003,15.6,4.3,0.8009999999999999,5.4,31,30,35.4,Klay Thompson,1.2,2.4,19.6,4.64,1.4,Washington State,['2009-10'],3.4,5.1,
389,4.2,0.466,9.0,2.9,0.39799999999999996,7.2,3.7,0,0.9,Pac-10,4.5,7.1,0.436,16.2,4.6,0.838,5.4,34,33,34.7,Klay Thompson,0.7,2.9,21.6,6.81,1.6,Washington State,['2010-11'],3.4,5.2,
390,3.6,0.45,8.1,2.5,0.39,6.3,2.6,0,0.8,,3.9,6.1,0.424,14.4,3.2,0.8270000000000001,3.9,98,96,34.4,Klay Thompson,0.9,2.5,17.9,6.32,1.3,Washington State,['Career'],2.9,4.8,
391,5.1,0.575,8.9,0.6,0.35200000000000004,1.8,1.8,0,0.4,Big 12,3.1,5.7,0.5379999999999999,10.7,5.0,0.772,6.4,30,30,30.2,Alec Burks,1.9,2.5,17.1,7.7,1.2,Colorado,['2009-10'],1.9,5.0,
392,5.9,0.508,11.6,0.7,0.292,2.5,2.9,0,0.3,Big 12,4.1,6.6,0.469,14.1,6.6,0.825,7.9,38,37,31.4,Alec Burks,2.4,2.3,20.5,5.61,1.1,Colorado,['2010-11'],2.6,6.5,
393,5.5,0.5329999999999999,10.4,0.7,0.313,2.2,2.4,0,0.4,,3.6,6.2,0.495,12.6,5.9,0.804,7.3,68,67,30.9,Alec Burks,2.2,2.4,19.0,6.65,1.1,Colorado,['Career'],2.3,5.8,
394,1.6,0.483,3.4,0.1,0.188,0.5,1.0,0,0.7,Big 12,3.0,1.7,0.44799999999999995,3.8,1.1,0.65,1.7,35,7,15.6,Markieff Morris,1.5,2.8,4.6,7.9,0.4,Kansas,['2008-09'],1.2,4.4,
395,2.1,0.5710000000000001,3.7,0.3,0.526,0.5,1.1,0,1.0,Big 12,3.6,2.4,0.5660000000000001,4.2,1.7,0.622,2.7,36,2,17.6,Markieff Morris,1.8,2.6,6.8,8.25,0.4,Kansas,['2009-10'],1.4,5.3,
396,4.5,0.625,7.2,0.7,0.424,1.6,1.4,0,1.1,Big 12,5.6,5.1,0.589,8.7,2.7,0.6729999999999999,4.0,38,34,24.4,Markieff Morris,2.7,2.8,13.6,7.62,0.8,Kansas,['2010-11'],2.1,8.3,
397,2.8,0.579,4.8,0.3,0.40399999999999997,0.9,1.2,0,0.9,,4.1,3.1,0.5529999999999999,5.7,1.9,0.653,2.9,109,43,19.3,Markieff Morris,2.0,2.7,8.5,7.92,0.6,Kansas,['Career'],1.6,6.1,
398,2.5,0.503,5.0,0.2,0.4,0.4,1.1,,0.3,Big 12,2.9,2.7,0.495,5.4,1.8,0.604,3.0,35,22,18.5,Marcus Morris,1.9,2.5,7.4,7.9,1.0,Kansas,['2008-09'],1.6,4.7,0
399,4.5,0.593,7.6,0.3,0.375,0.9,1.0,,0.3,Big 12,3.4,4.8,0.57,8.5,2.8,0.66,4.2,36,33,24.7,Marcus Morris,2.7,2.6,12.8,8.25,0.9,Kansas,['2009-10'],1.3,6.1,0
400,5.6,0.62,9.1,0.7,0.342,2.0,1.6,Big 12 POY,0.6,Big 12,5.0,6.3,0.57,11.1,3.9,0.688,5.7,38,35,28.3,Marcus Morris,2.6,2.6,17.2,7.62,0.8,Kansas,['2010-11'],1.8,7.6,0
401,4.3,0.585,7.3,0.4,0.358,1.1,1.3,,0.4,,3.8,4.7,0.555,8.4,2.9,0.66,4.3,109,90,24.0,Marcus Morris,2.4,2.6,12.6,7.92,0.9,Kansas,['Career'],1.6,6.2,0
402,4.4,0.523,8.4,0.5,0.205,2.3,1.9,0,0.7,MWC,6.4,4.9,0.455,10.7,2.5,0.726,3.4,34,33,31.3,Kawhi Leonard,3.5,2.5,12.7,4.21,1.4,San Diego State,['2009-10'],2.3,9.9,
403,5.2,0.478,10.8,0.7,0.29100000000000004,2.4,2.5,0,0.6,MWC,7.5,5.9,0.444,13.2,3.1,0.759,4.0,36,36,32.6,Kawhi Leonard,3.1,2.5,15.5,6.36,1.4,San Diego State,['2010-11'],2.1,10.6,
404,4.8,0.49700000000000005,9.7,0.6,0.25,2.3,2.2,0,0.6,,6.9,5.4,0.449,12.0,2.8,0.7440000000000001,3.7,70,69,31.9,Kawhi Leonard,3.3,2.5,14.1,5.29,1.4,San Diego State,['Career'],2.2,10.2,
405,1.1,0.619,1.8,0.0,0.0,0.1,0.3,0,0.4,Pac-10,1.7,1.1,0.578,2.0,0.3,0.875,0.3,23,3,11.0,Nikola Vucevic,1.0,1.5,2.6,9.15,0.4,USC,['2008-09'],0.6,2.7,
406,3.9,0.551,7.1,0.3,0.222,1.2,1.2,0,1.3,Pac-10,6.3,4.2,0.504,8.3,2.0,0.718,2.8,30,30,32.3,Nikola Vucevic,3.1,2.7,10.7,6.47,0.6,USC,['2009-10'],1.9,9.4,
407,5.5,0.542,10.1,0.9,0.349,2.4,1.6,0,1.4,Pac-10,7.4,6.3,0.505,12.5,3.6,0.755,4.8,34,34,34.9,Nikola Vucevic,2.9,2.8,17.1,7.96,0.5,USC,['2010-11'],1.7,10.3,
408,3.8,0.551,6.9,0.4,0.303,1.4,1.1,0,1.1,,5.5,4.2,0.509,8.3,2.2,0.746,2.9,87,67,27.7,Nikola Vucevic,2.4,2.4,11.1,7.86,0.5,USC,['Career'],1.5,8.0,
409,2.4,0.43799999999999994,5.5,1.0,0.314,3.3,5.0,0,0.2,ACC,3.2,3.4,0.391,8.7,2.8,0.6559999999999999,4.2,31,31,31.6,Iman Shumpert,0.7,2.9,10.6,7.32,2.1,Georgia Tech,['2008-09'],3.7,3.9,
410,2.2,0.42100000000000004,5.3,1.2,0.33299999999999996,3.7,4.0,0,0.2,ACC,2.7,3.5,0.385,9.0,1.8,0.72,2.5,30,29,30.1,Iman Shumpert,0.9,2.3,10.0,9.02,1.9,Georgia Tech,['2009-10'],3.1,3.6,
411,4.4,0.474,9.2,1.4,0.278,4.9,3.5,0,0.2,ACC,4.2,5.7,0.406,14.1,4.5,0.8059999999999999,5.6,31,31,32.0,Iman Shumpert,1.7,2.8,17.3,5.68,2.7,Georgia Tech,['2010-11'],2.3,5.9,
412,3.0,0.45,6.7,1.2,0.305,4.0,4.2,0,0.2,,3.4,4.2,0.396,10.6,3.1,0.738,4.1,92,91,31.3,Iman Shumpert,1.1,2.7,12.7,7.34,2.3,Georgia Tech,['Career'],3.0,4.5,
413,1.7,0.469,3.7,1.0,0.33299999999999996,2.9,1.1,0,1.3,ACC,3.1,2.7,0.409,6.6,1.7,0.611,2.7,35,34,26.9,Chris Singleton,1.9,3.0,8.1,7.91,1.5,Florida State,['2008-09'],2.0,4.9,
414,2.6,0.494,5.2,1.1,0.297,3.7,2.2,0,1.5,ACC,4.9,3.7,0.41200000000000003,8.9,1.8,0.496,3.6,32,32,31.4,Chris Singleton,2.1,3.0,10.2,6.79,2.2,Florida State,['2009-10'],3.0,7.0,
415,3.2,0.466,6.8,1.3,0.368,3.4,1.2,0,1.5,ACC,4.8,4.4,0.434,10.2,3.0,0.667,4.5,28,25,29.1,Chris Singleton,2.1,3.2,13.1,6.45,2.0,Florida State,['2010-11'],2.2,6.8,
416,2.4,0.47600000000000003,5.1,1.1,0.33,3.3,1.5,0,1.4,,4.2,3.5,0.419,8.4,2.1,0.5920000000000001,3.5,95,91,29.1,Chris Singleton,2.0,3.1,10.3,7.05,1.9,Florida State,['Career'],2.4,6.2,
417,4.8,0.49700000000000005,9.6,0.7,0.303,2.2,1.3,0,0.9,SEC,5.3,5.4,0.46,11.8,3.8,0.753,5.0,34,33,29.2,Tobias Harris,2.0,2.1,15.3,8.73,0.7,Tennessee,['2010-11'],1.8,7.3,
418,4.8,0.49700000000000005,9.6,0.7,0.303,2.2,1.3,0,0.9,,5.3,5.4,0.46,11.8,3.8,0.753,5.0,34,33,29.2,Tobias Harris,2.0,2.1,15.3,8.73,0.7,Tennessee,['Career'],1.8,7.3,
419,1.4,0.516,2.7,0.6,0.386,1.7,1.3,,0.1,ACC,1.2,2.1,0.467,4.4,1.2,0.769,1.5,34,1,14.7,Nolan Smith,0.4,1.7,5.9,9.28,0.5,Duke,['2007-08'],1.4,1.5,0
420,2.1,0.467,4.5,0.8,0.34600000000000003,2.3,1.7,,0.1,ACC,1.5,2.9,0.426,6.8,1.8,0.8490000000000001,2.1,34,21,21.6,Nolan Smith,0.7,2.1,8.4,9.07,0.9,Duke,['2008-09'],1.6,2.2,0
421,4.7,0.46,10.2,1.6,0.392,4.0,3.0,NCAA All-Tournament,0.2,ACC,1.9,6.3,0.441,14.3,3.2,0.767,4.2,38,38,35.5,Nolan Smith,0.9,1.8,17.4,9.21,1.2,Duke,['2009-10'],1.8,2.8,0
422,5.5,0.501,10.9,1.5,0.35,4.4,5.1,ACC POY,0.1,ACC,3.3,7.0,0.45799999999999996,15.4,5.1,0.813,6.2,37,37,34.0,Nolan Smith,1.2,1.9,20.6,8.31,1.2,Duke,['2010-11'],3.2,4.5,0
423,3.5,0.48200000000000004,7.3,1.2,0.368,3.2,2.8,,0.1,,2.0,4.7,0.44799999999999995,10.4,2.9,0.8,3.6,143,97,26.9,Nolan Smith,0.8,1.9,13.4,8.97,1.0,Duke,['Career'],2.0,2.8,0
424,4.4,0.522,8.4,0.0,0.0,0.1,0.3,,0.8,OVC,4.7,4.4,0.516,8.5,1.7,0.58,2.9,30,20,20.2,Kenneth Faried,3.4,3.0,10.5,-6.31,1.2,Morehead State,['2007-08'],1.6,8.0,0
425,5.3,0.5579999999999999,9.6,0.1,0.4,0.1,1.4,,1.9,OVC,8.8,5.4,0.556,9.7,3.0,0.5770000000000001,5.3,36,36,30.1,Kenneth Faried,4.3,2.9,13.9,-3.61,1.9,Morehead State,['2008-09'],2.2,13.0,0
426,6.4,0.5670000000000001,11.2,0.0,0.25,0.1,0.5,OVC POY,1.9,OVC,8.8,6.4,0.564,11.3,4.0,0.595,6.8,35,32,30.3,Kenneth Faried,4.2,3.3,16.9,-3.07,1.6,Morehead State,['2009-10'],2.4,13.0,0
427,6.7,0.623,10.7,0.0,0.0,0.0,1.1,OVC POY,2.3,OVC,8.8,6.7,0.623,10.7,4.0,0.5770000000000001,6.9,35,34,34.7,Kenneth Faried,5.7,3.1,17.3,-3.13,1.9,Morehead State,['2010-11'],2.6,14.5,0
428,5.7,0.5720000000000001,10.0,0.0,0.25,0.1,0.9,,1.8,,7.9,5.8,0.569,10.1,3.2,0.583,5.6,136,122,29.1,Kenneth Faried,4.4,3.1,14.8,-4.03,1.7,Morehead State,['Career'],2.2,12.3,0
429,2.1,0.518,4.1,0.5,0.273,1.9,1.7,0,0.4,ACC,2.1,2.7,0.44,6.1,1.1,0.685,1.6,34,0,20.0,Reggie Jackson,1.2,1.5,7.0,7.23,0.8,Boston College,['2008-09'],1.2,3.3,
430,3.6,0.498,7.3,1.0,0.29100000000000004,3.5,4.5,0,0.5,ACC,3.8,4.7,0.43,10.9,2.5,0.733,3.4,31,20,30.1,Reggie Jackson,1.9,2.0,12.9,7.21,0.6,Boston College,['2009-10'],2.6,5.7,
431,4.4,0.556,7.8,2.1,0.42,5.0,4.5,0,0.5,ACC,3.3,6.4,0.503,12.8,3.2,0.7959999999999999,4.0,34,32,34.1,Reggie Jackson,1.0,1.7,18.2,7.31,1.1,Boston College,['2010-11'],2.4,4.3,
432,3.4,0.527,6.4,1.2,0.35100000000000003,3.5,3.5,0,0.5,,3.0,4.6,0.465,9.9,2.3,0.753,3.0,99,52,28.0,Reggie Jackson,1.4,1.7,12.7,7.25,0.8,Boston College,['Career'],2.1,4.4,
433,0.9,0.444,2.0,0.3,0.263,1.1,0.4,0,0.2,Big East,0.5,1.2,0.382,3.1,0.8,0.7140000000000001,1.2,18,0,9.3,MarShon Brooks,0.4,0.7,3.4,7.86,0.3,Providence,['2007-08'],0.7,0.9,
434,2.6,0.5429999999999999,4.7,1.3,0.313,4.0,1.4,0,0.7,Big East,2.2,3.8,0.43700000000000006,8.7,1.7,0.684,2.5,32,0,21.8,MarShon Brooks,1.4,1.8,10.6,7.23,1.1,Providence,['2008-09'],1.4,3.6,
435,3.9,0.5329999999999999,7.4,1.5,0.35100000000000003,4.2,1.4,0,0.5,Big East,2.4,5.4,0.467,11.6,1.9,0.711,2.7,31,25,26.6,MarShon Brooks,1.8,2.3,14.2,8.24,1.3,Providence,['2009-10'],1.7,4.2,
436,6.5,0.5589999999999999,11.7,2.1,0.34,6.2,2.5,0,1.2,Big East,4.8,8.6,0.483,17.8,5.3,0.772,6.8,32,31,36.5,MarShon Brooks,2.3,2.5,24.6,6.44,1.5,Providence,['2010-11'],3.1,7.0,
437,3.8,0.5429999999999999,7.0,1.4,0.33299999999999996,4.2,1.5,0,0.7,,2.7,5.2,0.46399999999999997,11.2,2.6,0.7390000000000001,3.6,113,56,25.3,MarShon Brooks,1.6,2.0,14.4,7.44,1.1,Providence,['Career'],1.8,4.3,
438,2.0,0.42700000000000005,4.6,0.0,0.0,0.1,0.3,,1.0,Big Ten,2.0,2.0,0.42100000000000004,4.7,1.4,0.649,2.2,34,17,16.6,JaJuan Johnson,1.1,1.7,5.4,5.9,0.4,Purdue,['2007-08'],0.6,3.1,0
439,5.1,0.544,9.4,0.0,0.0,0.1,0.7,,2.1,Big Ten,3.4,5.1,0.54,9.5,3.2,0.736,4.3,37,35,26.9,JaJuan Johnson,2.1,1.8,13.4,7.17,0.5,Purdue,['2008-09'],1.3,5.6,0
440,5.5,0.512,10.7,0.0,0.0,0.1,0.7,,2.1,Big Ten,4.8,5.5,0.507,10.8,4.5,0.718,6.3,35,34,31.2,JaJuan Johnson,2.3,2.0,15.5,8.81,0.9,Purdue,['2009-10'],1.8,7.1,0
441,7.1,0.516,13.8,0.4,0.294,1.5,1.0,Big Ten POY,2.3,Big Ten,6.1,7.6,0.494,15.3,5.0,0.809,6.1,34,33,35.4,JaJuan Johnson,2.4,1.6,20.5,8.69,0.9,Purdue,['2010-11'],1.6,8.6,0
442,4.9,0.512,9.6,0.1,0.25,0.4,0.7,,1.9,,4.1,5.0,0.501,10.1,3.5,0.743,4.7,140,119,27.5,JaJuan Johnson,2.0,1.8,13.7,7.64,0.7,Purdue,['Career'],1.3,6.1,0
443,1.3,0.44,2.9,0.3,0.23800000000000002,1.2,0.8,,0.0,Horizon,1.1,1.6,0.38,4.2,1.4,0.8170000000000001,1.8,34,0,14.4,Norris Cole,0.3,1.7,4.9,1.69,0.6,Cleveland State,['2007-08'],1.1,1.4,0
444,4.0,0.521,7.6,1.1,0.305,3.5,2.4,,0.1,Horizon,1.5,5.1,0.45299999999999996,11.2,2.1,0.804,2.6,37,37,32.8,Norris Cole,1.0,2.4,13.3,2.12,1.2,Cleveland State,['2008-09'],1.5,2.5,0
445,4.5,0.46399999999999997,9.6,1.2,0.342,3.4,4.4,,0.1,Horizon,2.3,5.6,0.43200000000000005,13.0,4.0,0.799,5.0,33,33,34.2,Norris Cole,0.4,2.5,16.3,2.12,1.8,Cleveland State,['2009-10'],2.8,2.8,0
446,5.6,0.473,11.8,1.4,0.342,4.1,5.3,Horizon POY,0.1,Horizon,5.1,7.0,0.439,15.9,6.3,0.853,7.4,36,36,35.7,Norris Cole,0.8,2.4,21.7,1.74,2.2,Cleveland State,['2010-11'],2.7,5.8,0
447,3.8,0.48,8.0,1.0,0.321,3.1,3.3,,0.1,,2.5,4.8,0.435,11.1,3.5,0.826,4.2,140,106,29.4,Norris Cole,0.6,2.2,14.1,1.92,1.5,Cleveland State,['Career'],2.0,3.2,0
448,2.3,0.429,5.4,1.4,0.413,3.5,3.0,0,0.3,Big 12,2.9,3.8,0.42200000000000004,8.9,1.4,0.6990000000000001,2.0,36,36,32.4,Cory Joseph,0.6,1.8,10.4,7.96,1.0,Texas,['2010-11'],1.5,3.6,
449,2.3,0.429,5.4,1.4,0.413,3.5,3.0,0,0.3,,2.9,3.8,0.42200000000000004,8.9,1.4,0.6990000000000001,2.0,36,36,32.4,Cory Joseph,0.6,1.8,10.4,7.96,1.0,Texas,['Career'],1.5,3.6,
450,1.6,0.534,2.9,0.0,0.0,0.1,0.7,0,0.5,Big East,1.8,1.6,0.514,3.1,2.5,0.768,3.2,35,0,19.6,Jimmy Butler,2.1,1.9,5.6,7.87,0.5,Marquette,['2008-09'],0.5,3.9,
451,3.9,0.534,7.3,0.5,0.5,0.9,2.0,0,0.6,Big East,3.9,4.4,0.53,8.2,5.5,0.7659999999999999,7.2,34,34,34.3,Jimmy Butler,2.4,2.0,14.7,8.23,1.3,Marquette,['2009-10'],1.1,6.4,
452,4.5,0.515,8.8,0.5,0.345,1.6,2.3,0,0.4,Big East,3.6,5.1,0.49,10.3,5.1,0.7829999999999999,6.5,37,35,34.6,Jimmy Butler,2.4,1.3,15.7,8.51,1.4,Marquette,['2010-11'],1.5,6.1,
453,3.3,0.525,6.4,0.3,0.38299999999999995,0.9,1.7,0,0.5,,3.1,3.7,0.508,7.2,4.3,0.773,5.6,106,69,29.6,Jimmy Butler,2.3,1.7,12.0,8.21,1.1,Marquette,['Career'],1.0,5.5,
454,0.7,0.541,1.3,0.6,0.37200000000000005,1.5,0.1,0,0.2,A-10,0.8,1.2,0.45,2.8,0.2,0.41200000000000003,0.6,29,0,8.6,Justin Harper,0.6,1.4,3.3,2.55,0.2,Richmond,['2007-08'],0.4,1.3,
455,2.0,0.47700000000000004,4.2,1.2,0.336,3.6,0.6,0,0.8,A-10,3.0,3.2,0.41100000000000003,7.8,1.5,0.675,2.2,36,24,23.1,Justin Harper,1.6,2.8,9.2,1.08,0.6,Richmond,['2008-09'],1.5,4.6,
456,2.8,0.583,4.8,1.2,0.344,3.5,1.0,0,0.9,A-10,3.8,4.0,0.483,8.3,1.4,0.6809999999999999,2.1,35,35,25.0,Justin Harper,1.6,2.3,10.6,3.43,0.8,Richmond,['2009-10'],1.4,5.4,
457,4.5,0.585,7.8,2.1,0.44799999999999995,4.6,1.2,0,1.2,A-10,5.2,6.6,0.534,12.4,2.5,0.797,3.2,37,37,31.8,Justin Harper,1.7,2.2,17.9,2.79,0.6,Richmond,['2010-11'],1.5,6.9,
458,2.6,0.557,4.7,1.3,0.382,3.4,0.7,0,0.8,,3.3,3.9,0.483,8.1,1.5,0.711,2.1,137,96,22.9,Justin Harper,1.4,2.2,10.6,2.46,0.6,Richmond,['Career'],1.3,4.8,
459,3.2,0.545,5.8,1.5,0.34,4.4,1.4,,0.7,ACC,3.8,4.7,0.457,10.2,2.4,0.774,3.1,34,34,28.6,Kyle Singler,2.1,3.1,13.3,9.28,1.1,Duke,['2007-08'],2.2,5.8,0
460,3.8,0.47600000000000003,7.9,1.9,0.38299999999999995,4.9,2.4,,1.0,ACC,4.6,5.6,0.441,12.8,3.4,0.713,4.7,37,36,32.2,Kyle Singler,3.0,2.7,16.5,9.07,1.5,Duke,['2008-09'],2.5,7.7,0
461,3.6,0.424,8.4,2.1,0.39899999999999997,5.3,2.4,NCAA All-Tournament,0.8,ACC,4.8,5.7,0.415,13.8,4.2,0.7979999999999999,5.2,40,40,35.9,Kyle Singler,2.3,2.2,17.7,9.21,1.0,Duke,['2009-10'],2.0,7.0,0
462,4.2,0.49700000000000005,8.5,1.7,0.321,5.2,1.6,,0.3,ACC,4.5,5.9,0.43,13.8,3.4,0.8059999999999999,4.2,37,37,34.8,Kyle Singler,2.4,2.6,16.9,8.31,0.9,Duke,['2010-11'],1.9,6.8,0
463,3.7,0.479,7.7,1.8,0.363,5.0,2.0,,0.7,,4.4,5.5,0.433,12.7,3.4,0.773,4.3,148,147,33.0,Kyle Singler,2.4,2.6,16.2,8.97,1.1,Duke,['Career'],2.1,6.9,0
464,2.0,0.474,4.3,1.8,0.326,5.5,3.5,,0.0,Horizon,3.2,3.8,0.391,9.8,2.5,0.757,3.3,32,32,30.7,Shelvin Mack,1.3,2.2,11.9,2.07,1.1,Butler,['2008-09'],2.1,4.4,0
465,3.2,0.502,6.3,1.9,0.391,4.8,3.0,NCAA All-Tournament,0.1,Horizon,3.2,5.1,0.45399999999999996,11.1,2.1,0.7340000000000001,2.9,38,38,30.9,Shelvin Mack,0.5,1.9,14.1,5.08,1.4,Butler,['2009-10'],2.1,3.7,0
466,3.0,0.462,6.5,2.3,0.354,6.5,3.4,NCAA All-Tournament,0.1,Horizon,3.8,5.3,0.408,13.0,3.2,0.769,4.1,38,37,32.1,Shelvin Mack,0.7,1.7,16.0,5.02,0.8,Butler,['2010-11'],2.4,4.5,0
467,2.8,0.48,5.8,2.0,0.35700000000000004,5.6,3.3,,0.1,,3.4,4.8,0.419,11.4,2.6,0.755,3.4,108,107,31.2,Shelvin Mack,0.8,1.9,14.1,4.05,1.1,Butler,['Career'],2.2,4.2,0
468,2.3,0.536,4.2,0.4,0.345,1.1,2.7,0,1.2,Pac-10,4.5,2.7,0.496,5.3,1.5,0.6,2.5,26,18,27.7,Tyler Honeycutt,2.0,2.3,7.2,7.86,1.5,UCLA,['2009-10'],2.4,6.5,
469,2.7,0.43799999999999994,6.2,1.7,0.36200000000000004,4.6,2.8,0,2.0,Pac-10,5.7,4.4,0.406,10.8,2.4,0.736,3.2,33,33,35.0,Tyler Honeycutt,1.5,1.6,12.8,7.93,0.9,UCLA,['2010-11'],3.0,7.2,
470,2.5,0.473,5.3,1.1,0.359,3.1,2.8,0,1.7,,5.2,3.6,0.431,8.4,2.0,0.684,2.9,59,51,31.7,Tyler Honeycutt,1.7,1.9,10.3,7.9,1.2,UCLA,['Career'],2.8,6.9,
471,3.8,0.512,7.5,0.0,0.0,0.0,0.2,0,1.0,ACC,5.8,3.8,0.512,7.5,1.9,0.529,3.7,33,31,24.8,Jordan Williams,2.8,2.7,9.6,7.95,0.7,Maryland,['2009-10'],0.9,8.6,
472,6.5,0.5379999999999999,12.0,0.0,0.0,0.0,0.6,0,1.4,ACC,8.1,6.5,0.5379999999999999,12.0,4.0,0.575,6.9,33,33,32.5,Jordan Williams,3.7,2.4,16.9,5.76,0.7,Maryland,['2010-11'],1.6,11.8,
473,5.1,0.528,9.7,0.0,0.0,0.0,0.4,0,1.2,,6.9,5.1,0.528,9.7,3.0,0.5589999999999999,5.3,66,64,28.6,Jordan Williams,3.3,2.6,13.2,6.85,0.7,Maryland,['Career'],1.3,10.2,
474,3.6,0.45299999999999996,8.0,1.2,0.384,3.1,0.8,0,1.1,SEC,5.3,4.8,0.434,11.0,1.9,0.726,2.6,28,23,26.0,Trey Thompkins,2.1,1.7,12.6,5.5,1.0,Georgia,['2008-09'],2.4,7.4,
475,5.9,0.5,11.9,0.7,0.377,2.0,1.9,0,1.2,SEC,6.2,6.7,0.483,13.8,3.6,0.762,4.7,31,29,31.0,Trey Thompkins,2.1,2.6,17.7,8.04,1.0,Georgia,['2009-10'],2.9,8.3,
476,5.7,0.52,11.0,0.8,0.311,2.5,1.4,0,1.7,SEC,5.8,6.5,0.48100000000000004,13.4,2.7,0.6890000000000001,4.0,30,29,31.2,Trey Thompkins,1.9,2.2,16.4,6.13,1.1,Georgia,['2010-11'],2.5,7.6,
477,5.1,0.496,10.3,0.9,0.35700000000000004,2.5,1.4,0,1.3,,5.8,6.0,0.469,12.8,2.8,0.7290000000000001,3.8,89,81,29.5,Trey Thompkins,2.0,2.2,15.7,6.56,1.0,Georgia,['Career'],2.6,7.8,
478,1.9,0.618,3.1,1.0,0.324,3.0,1.4,,0.2,SEC,2.7,2.9,0.47200000000000003,6.1,1.4,0.627,2.3,36,0,20.7,Chandler Parsons,1.3,1.7,8.1,4.98,0.5,Florida,['2007-08'],1.0,4.0,0
