"","player","pos","age","tm","g","gs","mp","fg","fga","fg_pct","three_p","three_pa","three_p_pct","two_p","two_pa","two_p_pct","efg_pct","ft","fta","ft_pct","orb","drb","trb","ast","stl","blk","tov","pf","pts","start_year","end_year"
"405","Nazr Mohammed","C",33,"CHA",51,30,851,159,317,0.502,0,1,0,159,316,0.503,0.502,52,88,0.591,94,158,252,17,14,46,51,121,370,2010,2011
"406","Nazr Mohammed","C",33,"OKC",24,7,429,75,131,0.573,0,0,NA,75,131,0.573,0.573,15,24,0.625,46,70,116,6,16,10,19,63,165,2010,2011
"407","Greg Monroe","C",20,"DET",80,48,2222,303,550,0.551,0,1,0,303,549,0.552,0.551,145,233,0.622,248,353,601,105,93,45,81,196,751,2010,2011
"408","Jamario Moon","SF",30,"TOT",59,20,1042,101,248,0.407,38,123,0.309,63,125,0.504,0.484,15,17,0.882,23,142,165,52,28,33,22,65,255,2010,2011
"409","Jamario Moon","SF",30,"CLE",40,13,764,76,189,0.402,27,95,0.284,49,94,0.521,0.474,10,11,0.909,14,104,118,45,25,27,17,39,189,2010,2011
"410","Jamario Moon","SF",30,"LAC",19,7,278,25,59,0.424,11,28,0.393,14,31,0.452,0.517,5,6,0.833,9,38,47,7,3,6,5,26,66,2010,2011
"411","Anthony Morrow","SG",25,"NJN",58,47,1856,279,620,0.45,110,260,0.423,169,360,0.469,0.539,96,107,0.897,37,135,172,68,19,7,54,135,764,2010,2011
"412","Timofey Mozgov","C",24,"TOT",45,14,524,63,133,0.474,0,0,NA,63,133,0.474,0.474,37,52,0.712,46,75,121,15,15,25,35,84,163,2010,2011
"413","Timofey Mozgov","C",24,"NYK",34,14,458,52,112,0.464,0,0,NA,52,112,0.464,0.464,31,44,0.705,41,63,104,15,14,23,32,76,135,2010,2011
"414","Timofey Mozgov","C",24,"DEN",11,0,66,11,21,0.524,0,0,NA,11,21,0.524,0.524,6,8,0.75,5,12,17,0,1,2,3,8,28,2010,2011
"415","Byron Mullens","PF",21,"OKC",13,0,85,9,28,0.321,0,0,NA,9,28,0.321,0.321,7,14,0.5,6,18,24,0,2,3,8,11,25,2010,2011
"416","Troy Murphy","PF",30,"TOT",35,4,466,42,114,0.368,5,33,0.152,37,81,0.457,0.39,20,30,0.667,22,91,113,23,15,3,20,47,109,2010,2011
"417","Troy Murphy","PF",30,"NJN",18,4,288,26,76,0.342,4,23,0.174,22,53,0.415,0.368,9,17,0.529,11,64,75,17,7,2,13,28,65,2010,2011
"418","Troy Murphy","PF",30,"BOS",17,0,178,16,38,0.421,1,10,0.1,15,28,0.536,0.434,11,13,0.846,11,27,38,6,8,1,7,19,44,2010,2011
"419","Hamady N'Diaye","C",24,"WAS",16,0,80,4,5,0.8,0,0,NA,4,5,0.8,0.8,6,12,0.5,2,5,7,0,2,5,3,18,14,2010,2011
"420","Eduardo Najera","PF",34,"CHA",31,0,372,26,72,0.361,11,34,0.324,15,38,0.395,0.438,6,11,0.545,14,30,44,20,11,6,13,52,69,2010,2011
