"","player","pos","age","tm","g","gs","mp","fg","fga","fg_pct","three_p","three_pa","three_p_pct","two_p","two_pa","two_p_pct","efg_pct","ft","fta","ft_pct","orb","drb","trb","ast","stl","blk","tov","pf","pts","start_year","end_year"
"466","A.J. Price","PG",24,"IND",50,0,795,114,320,0.356,41,149,0.275,73,171,0.427,0.42,54,81,0.667,16,56,72,111,29,1,53,61,323,2010,2011
"467","Ronnie Price","SG",27,"UTA",59,0,717,74,210,0.352,20,69,0.29,54,141,0.383,0.4,29,39,0.744,22,39,61,56,42,5,55,106,197,2010,2011
"468","Tayshaun Prince","SF",30,"DET",78,78,2562,473,1001,0.473,34,98,0.347,439,903,0.486,0.49,118,168,0.702,78,251,329,215,30,41,82,90,1098,2010,2011
"469","Joel Przybilla","C",31,"TOT",36,9,519,25,44,0.568,0,0,NA,25,44,0.568,0.568,14,27,0.519,37,108,145,13,5,15,29,79,64,2010,2011
"470","Joel Przybilla","C",31,"POR",31,9,445,21,34,0.618,0,0,NA,21,34,0.618,0.618,13,23,0.565,28,93,121,13,5,14,22,63,55,2010,2011
"471","Joel Przybilla","C",31,"CHA",5,0,74,4,10,0.4,0,0,NA,4,10,0.4,0.4,1,4,0.25,9,15,24,0,0,1,7,16,9,2010,2011
"472","Chris Quinn","PG",27,"SAS",41,0,292,33,91,0.363,11,37,0.297,22,54,0.407,0.423,4,8,0.5,3,22,25,42,5,1,12,29,81,2010,2011
"473","Vladimir Radmanovic","PF",30,"GSW",74,6,1169,137,318,0.431,70,173,0.405,67,145,0.462,0.541,30,34,0.882,64,148,212,79,44,44,57,157,374,2010,2011
"474","Anthony Randolph","C-PF",21,"TOT",40,3,590,123,264,0.466,1,4,0.25,122,260,0.469,0.468,58,86,0.674,43,117,160,33,22,24,53,62,305,2010,2011
"475","Anthony Randolph","PF",21,"NYK",17,0,127,14,45,0.311,1,4,0.25,13,41,0.317,0.322,6,12,0.5,11,29,40,7,4,8,10,15,35,2010,2011
"476","Anthony Randolph","C",21,"MIN",23,3,463,109,219,0.498,0,0,NA,109,219,0.498,0.498,52,74,0.703,32,88,120,26,18,16,43,47,270,2010,2011
"477","Zach Randolph","PF",29,"MEM",75,74,2724,598,1188,0.503,8,43,0.186,590,1145,0.515,0.507,300,396,0.758,326,588,914,163,63,25,151,175,1504,2010,2011
"478","Theo Ratliff","C",37,"LAL",10,0,71,1,6,0.167,0,0,NA,1,6,0.167,0.167,0,2,0,6,7,13,3,2,5,3,7,2,2010,2011
"479","Andy Rautins","SG",24,"NYK",5,0,24,3,7,0.429,1,4,0.25,2,3,0.667,0.5,1,2,0.5,0,1,1,3,1,0,7,0,8,2010,2011
"480","Michael Redd","SG",31,"MIL",10,0,134,18,45,0.4,4,17,0.235,14,28,0.5,0.444,4,4,1,0,8,8,12,2,1,4,4,44,2010,2011
"481","J.J. Redick","SG",26,"ORL",59,5,1513,197,447,0.441,87,219,0.397,110,228,0.482,0.538,112,128,0.875,6,107,113,102,29,3,53,80,593,2010,2011
"482","Jason Richardson","SG",30,"TOT",80,80,2715,472,1056,0.447,189,479,0.395,283,577,0.49,0.536,116,159,0.73,67,264,331,147,93,13,95,162,1249,2010,2011
"483","Jason Richardson","SG",30,"PHO",25,25,796,183,389,0.47,62,148,0.419,121,241,0.502,0.55,55,72,0.764,33,78,111,36,27,3,30,46,483,2010,2011
"484","Jason Richardson","SG",30,"ORL",55,55,1919,289,667,0.433,127,331,0.384,162,336,0.482,0.528,61,87,0.701,34,186,220,111,66,10,65,116,766,2010,2011
"485","Quentin Richardson","SF",30,"ORL",57,19,955,87,255,0.341,42,146,0.288,45,109,0.413,0.424,33,44,0.75,39,139,178,38,25,5,33,74,249,2010,2011
"486","Luke Ridnour","PG",29,"MIN",71,66,2159,319,681,0.468,81,184,0.44,238,497,0.479,0.528,121,137,0.883,37,162,199,384,89,10,158,146,840,2010,2011
"487","Nate Robinson","PG",26,"TOT",59,11,1013,150,376,0.399,65,200,0.325,85,176,0.483,0.485,36,44,0.818,15,75,90,111,29,4,68,115,401,2010,2011
"488","Nate Robinson","PG",26,"BOS",55,11,983,146,361,0.404,63,192,0.328,83,169,0.491,0.492,33,40,0.825,15,74,89,105,29,4,66,107,388,2010,2011
"489","Nate Robinson","PG",26,"OKC",4,0,30,4,15,0.267,2,8,0.25,2,7,0.286,0.333,3,4,0.75,0,1,1,6,0,0,2,8,13,2010,2011
"490","Rajon Rondo","PG",24,"BOS",68,68,2527,318,670,0.475,10,43,0.233,308,627,0.491,0.482,75,132,0.568,87,210,297,760,153,11,234,120,721,2010,2011
"491","Derrick Rose","PG",22,"CHI",81,81,3026,711,1597,0.445,128,385,0.332,583,1212,0.481,0.485,476,555,0.858,81,249,330,623,85,51,278,136,2026,2010,2011
"492","Quinton Ross","SF",29,"NJN",36,4,353,26,59,0.441,0,3,0,26,56,0.464,0.441,5,14,0.357,10,20,30,10,3,6,7,40,57,2010,2011
"493","Brandon Roy","SG",26,"POR",47,23,1310,209,523,0.4,38,114,0.333,171,409,0.418,0.436,117,138,0.848,28,93,121,129,37,12,55,76,573,2010,2011
"494","Brandon Rush","SG",25,"IND",67,21,1754,217,515,0.421,93,223,0.417,124,292,0.425,0.512,80,106,0.755,33,184,217,62,41,35,69,107,607,2010,2011
"495","John Salmons","SG",31,"MIL",73,70,2554,373,898,0.415,83,219,0.379,290,679,0.427,0.462,195,240,0.813,27,239,266,252,72,28,137,157,1024,2010,2011
"496","Samardo Samuels","PF",22,"CLE",37,10,701,110,241,0.456,0,3,0,110,238,0.462,0.456,68,110,0.618,75,83,158,17,15,18,53,88,288,2010,2011
"497","Larry Sanders","C",22,"MIL",60,12,872,116,268,0.433,0,0,NA,116,268,0.433,0.433,28,50,0.56,59,119,178,16,22,72,38,117,260,2010,2011
"498","Brian Scalabrine","PF",32,"CHI",18,0,88,10,19,0.526,0,5,0,10,14,0.714,0.526,0,0,NA,1,7,8,6,3,4,5,18,20,2010,2011
"499","Luis Scola","PF",30,"HOU",74,74,2412,569,1129,0.504,0,3,0,569,1126,0.505,0.504,214,290,0.738,147,459,606,185,48,44,147,227,1352,2010,2011
"500","Thabo Sefolosha","SG",26,"OKC",79,79,2049,157,333,0.471,28,102,0.275,129,231,0.558,0.514,59,79,0.747,65,281,346,111,97,38,55,171,401,2010,2011
"501","Kevin Seraphin","PF",21,"WAS",58,1,635,66,147,0.449,0,0,NA,66,147,0.449,0.449,22,31,0.71,80,72,152,10,17,28,42,126,154,2010,2011
"502","Ramon Sessions","PG",24,"CLE",81,38,2133,362,776,0.466,3,15,0.2,359,761,0.472,0.468,348,423,0.823,46,209,255,419,60,8,178,93,1075,2010,2011
"503","Mustafa Shakur","PG",26,"WAS",22,0,159,21,59,0.356,1,10,0.1,20,49,0.408,0.364,8,15,0.533,7,15,22,25,5,3,18,15,51,2010,2011
"504","Garret Siler","C",24,"PHO",21,0,101,17,31,0.548,0,0,NA,17,31,0.548,0.548,11,22,0.5,16,12,28,3,1,4,10,20,45,2010,2011
"505","Bobby Simmons","SF",30,"SAS",2,0,16,0,3,0,0,3,0,0,0,NA,0,0,0,NA,0,0,0,2,0,0,0,2,0,2010,2011
"506","Brian Skinner","C",34,"MIL",2,0,6,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,2010,2011
"507","Craig Smith","PF",27,"LAC",48,0,586,104,188,0.553,0,5,0,104,183,0.568,0.553,50,68,0.735,43,74,117,31,16,7,33,84,258,2010,2011
"508","Ish Smith","PG",22,"TOT",43,3,442,43,115,0.374,3,10,0.3,40,105,0.381,0.387,12,21,0.571,7,40,47,79,18,2,34,37,101,2010,2011
"509","Ish Smith","PG",22,"HOU",28,3,329,32,83,0.386,3,8,0.375,29,75,0.387,0.404,7,10,0.7,6,36,42,64,13,2,26,26,74,2010,2011
"510","Ish Smith","PG",22,"MEM",15,0,113,11,32,0.344,0,2,0,11,30,0.367,0.344,5,11,0.455,1,4,5,15,5,0,8,11,27,2010,2011
"511","J.R. Smith","SF",25,"DEN",79,6,1968,341,784,0.435,124,318,0.39,217,466,0.466,0.514,163,221,0.738,45,277,322,175,92,16,100,173,969,2010,2011
"512","Jason Smith","C",24,"NOH",77,6,1102,136,307,0.443,0,2,0,136,305,0.446,0.443,59,70,0.843,89,152,241,36,26,32,53,150,331,2010,2011
"513","Joe Smith","PF",35,"TOT",16,3,69,3,16,0.188,0,0,NA,3,16,0.188,0.188,2,2,1,3,18,21,4,0,4,5,13,8,2010,2011
"514","Joe Smith","PF",35,"NJN",4,3,25,1,4,0.25,0,0,NA,1,4,0.25,0.25,0,0,NA,1,2,3,1,0,0,2,3,2,2010,2011
"515","Joe Smith","PF",35,"LAL",12,0,44,2,12,0.167,0,0,NA,2,12,0.167,0.167,2,2,1,2,16,18,3,0,4,3,10,6,2010,2011
"516","Josh Smith","PF",25,"ATL",77,77,2645,497,1041,0.477,51,154,0.331,446,887,0.503,0.502,229,316,0.725,134,523,657,255,99,120,197,217,1274,2010,2011
"517","Darius Songaila","C",32,"PHI",10,0,71,7,15,0.467,0,0,NA,7,15,0.467,0.467,2,4,0.5,2,8,10,2,0,0,4,16,16,2010,2011
"518","Marreese Speights","C",23,"PHI",64,1,734,144,291,0.495,1,4,0.25,143,287,0.498,0.497,55,73,0.753,64,146,210,30,8,19,40,120,344,2010,2011
"519","Tiago Splitter","C",26,"SAS",60,6,738,101,191,0.529,0,1,0,101,190,0.532,0.529,76,140,0.543,72,129,201,26,29,17,32,91,278,2010,2011
"520","Jerry Stackhouse","SG",36,"MIA",7,1,50,3,12,0.25,1,4,0.25,2,8,0.25,0.292,5,7,0.714,1,6,7,3,0,2,2,3,12,2010,2011
"521","Lance Stephenson","SG",20,"IND",12,0,115,13,39,0.333,0,5,0,13,34,0.382,0.333,11,14,0.786,1,17,18,21,4,0,16,14,37,2010,2011
"522","DeShawn Stevenson","SG",29,"DAL",72,54,1158,128,330,0.388,94,249,0.378,34,81,0.42,0.53,33,43,0.767,20,86,106,77,21,5,44,71,383,2010,2011
"523","Peja Stojakovic","SF",33,"TOT",33,13,617,100,227,0.441,57,136,0.419,43,91,0.473,0.566,23,25,0.92,14,61,75,29,13,2,17,24,280,2010,2011
"524","Peja Stojakovic","SF",33,"NOH",6,0,89,14,33,0.424,11,25,0.44,3,8,0.375,0.591,6,7,0.857,0,6,6,6,2,0,4,2,45,2010,2011
"525","Peja Stojakovic","SF",33,"TOR",2,0,22,7,10,0.7,4,6,0.667,3,4,0.75,0.9,2,2,1,0,3,3,1,0,0,2,0,20,2010,2011
"526","Peja Stojakovic","SF",33,"DAL",25,13,506,79,184,0.429,42,105,0.4,37,79,0.468,0.543,15,16,0.938,14,52,66,22,11,2,11,22,215,2010,2011
"527","Amar'e Stoudemire","C",28,"NYK",78,78,2870,744,1482,0.502,10,23,0.435,734,1459,0.503,0.505,473,597,0.792,198,438,636,202,71,150,250,274,1971,2010,2011
"528","Rodney Stuckey","PG",24,"DET",70,54,2183,363,827,0.439,26,90,0.289,337,737,0.457,0.455,330,381,0.866,70,146,216,361,76,10,155,177,1082,2010,2011
"529","DaJuan Summers","SF",23,"DET",22,1,199,28,69,0.406,9,21,0.429,19,48,0.396,0.471,9,20,0.45,2,10,12,2,3,1,13,21,74,2010,2011
"530","Pape Sy","SF",22,"ATL",3,0,21,2,6,0.333,0,1,0,2,5,0.4,0.333,3,3,1,2,1,3,2,1,0,3,1,7,2010,2011
"531","Jermaine Taylor","SG",24,"TOT",34,8,483,94,196,0.48,14,45,0.311,80,151,0.53,0.515,21,28,0.75,26,36,62,32,14,5,46,39,223,2010,2011
"532","Jermaine Taylor","SG",24,"HOU",8,0,77,16,32,0.5,2,5,0.4,14,27,0.519,0.531,5,6,0.833,1,8,9,2,2,2,6,4,39,2010,2011
"533","Jermaine Taylor","SG",24,"SAC",26,8,406,78,164,0.476,12,40,0.3,66,124,0.532,0.512,16,22,0.727,25,28,53,30,12,3,40,35,184,2010,2011
"534","Jeff Teague","PG",22,"ATL",70,7,963,133,304,0.438,18,48,0.375,115,256,0.449,0.467,77,97,0.794,11,91,102,138,45,25,64,82,361,2010,2011
"535","Sebastian Telfair","PG",25,"MIN",37,8,711,97,241,0.402,28,78,0.359,69,163,0.423,0.461,44,60,0.733,17,37,54,111,25,3,64,64,266,2010,2011
"536","Garrett Temple","PG-SG",24,"TOT",24,0,230,20,68,0.294,10,37,0.27,10,31,0.323,0.368,7,17,0.412,1,22,23,32,11,6,23,24,57,2010,2011
"537","Garrett Temple","SG",24,"SAS",3,0,21,1,5,0.2,0,1,0,1,4,0.25,0.2,0,2,0,1,1,2,2,1,1,1,2,2,2010,2011
"538","Garrett Temple","SG",24,"MIL",9,0,83,7,21,0.333,3,10,0.3,4,11,0.364,0.405,0,4,0,0,6,6,6,1,1,2,8,17,2010,2011
"539","Garrett Temple","PG",24,"CHA",12,0,126,12,42,0.286,7,26,0.269,5,16,0.313,0.369,7,11,0.636,0,15,15,24,9,4,20,14,38,2010,2011
"540","Jason Terry","SG",33,"DAL",82,10,2564,492,1091,0.451,127,351,0.362,365,740,0.493,0.509,182,214,0.85,24,129,153,334,93,13,167,140,1293,2010,2011
"541","Hasheem Thabeet","C",23,"TOT",47,0,373,17,40,0.425,0,0,NA,17,40,0.425,0.425,19,35,0.543,24,51,75,4,9,16,17,76,53,2010,2011
"542","Hasheem Thabeet","C",23,"MEM",45,0,369,17,39,0.436,0,0,NA,17,39,0.436,0.436,19,35,0.543,24,51,75,4,9,15,17,73,53,2010,2011
"543","Hasheem Thabeet","C",23,"HOU",2,0,4,0,1,0,0,0,NA,0,1,0,0,0,0,NA,0,0,0,0,0,1,0,3,0,2010,2011
"544","Etan Thomas","C",32,"ATL",13,0,82,10,21,0.476,0,0,NA,10,21,0.476,0.476,12,15,0.8,6,17,23,2,1,4,5,11,32,2010,2011
"545","Kurt Thomas","PF",38,"CHI",52,37,1178,95,186,0.511,1,1,1,94,185,0.508,0.513,20,32,0.625,75,226,301,60,32,42,42,164,211,2010,2011
"546","Tyrus Thomas","C",24,"CHA",41,2,861,156,331,0.471,0,3,0,156,328,0.476,0.471,107,136,0.787,65,159,224,29,30,66,65,113,419,2010,2011
"547","Jason Thompson","PF",24,"SAC",75,39,1748,271,534,0.507,0,3,0,271,531,0.51,0.507,121,200,0.605,144,310,454,88,28,44,99,212,663,2010,2011
"548","Al Thornton","SF-PF",27,"TOT",71,23,1383,205,431,0.476,4,26,0.154,201,405,0.496,0.48,110,142,0.775,56,157,213,62,35,12,64,143,524,2010,2011
"549","Al Thornton","SF",27,"WAS",49,23,1069,154,327,0.471,4,25,0.16,150,302,0.497,0.477,81,107,0.757,46,110,156,51,28,9,44,103,393,2010,2011
"550","Al Thornton","PF",27,"GSW",22,0,314,51,104,0.49,0,1,0,51,103,0.495,0.49,29,35,0.829,10,47,57,11,7,3,20,40,131,2010,2011
"551","Marcus Thornton","SG",23,"TOT",73,23,1775,350,807,0.434,88,240,0.367,262,567,0.462,0.488,145,184,0.788,61,197,258,135,64,9,93,110,933,2010,2011
"552","Marcus Thornton","SG",23,"NOH",46,0,745,137,334,0.41,35,93,0.376,102,241,0.423,0.463,50,66,0.758,25,106,131,43,19,4,37,50,359,2010,2011
"553","Marcus Thornton","SG",23,"SAC",27,23,1030,213,473,0.45,53,147,0.361,160,326,0.491,0.506,95,118,0.805,36,91,127,92,45,5,56,60,574,2010,2011
"554","Anthony Tolliver","SF",25,"MIN",65,4,1362,141,313,0.45,47,115,0.409,94,198,0.475,0.526,105,131,0.802,92,203,295,82,28,28,49,145,434,2010,2011
"555","Ronny Turiaf","C",28,"NYK",64,21,1141,103,163,0.632,0,0,NA,103,163,0.632,0.632,61,98,0.622,64,143,207,92,35,73,41,160,267,2010,2011
"556","Hedo Turkoglu","SF-PF",31,"TOT",81,72,2540,322,722,0.446,127,310,0.41,195,412,0.473,0.534,106,156,0.679,45,311,356,343,72,34,132,247,877,2010,2011
"557","Hedo Turkoglu","PF",31,"PHO",25,16,630,85,193,0.44,41,97,0.423,44,96,0.458,0.547,26,36,0.722,20,80,100,58,18,14,31,77,237,2010,2011
"558","Hedo Turkoglu","SF",31,"ORL",56,56,1910,237,529,0.448,86,213,0.404,151,316,0.478,0.529,80,120,0.667,25,231,256,285,54,20,101,170,640,2010,2011
"559","Evan Turner","SG",22,"PHI",78,14,1797,225,529,0.425,14,44,0.318,211,485,0.435,0.439,101,125,0.808,42,264,306,159,49,14,80,138,565,2010,2011
"560","Ekpe Udoh","C",23,"GSW",58,18,1030,97,222,0.437,0,0,NA,97,222,0.437,0.437,42,64,0.656,80,101,181,40,22,86,48,144,236,2010,2011
"561","Ime Udoka","SF",33,"SAS",20,0,130,5,21,0.238,0,8,0,5,13,0.385,0.238,4,8,0.5,5,14,19,13,8,1,5,14,14,2010,2011
"562","Beno Udrih","PG",28,"SAC",79,64,2734,412,824,0.5,65,182,0.357,347,642,0.54,0.539,197,228,0.864,41,224,265,386,94,9,141,181,1086,2010,2011
"563","Ben Uzoh","PG",22,"NJN",42,0,438,61,144,0.424,3,8,0.375,58,136,0.426,0.434,33,56,0.589,30,31,61,69,13,8,25,29,158,2010,2011
"564","Anderson Varejao","C",28,"CLE",31,31,994,114,216,0.528,0,2,0,114,214,0.533,0.528,54,81,0.667,98,203,301,45,27,38,40,87,282,2010,2011
"565","Greivis Vasquez","SG",24,"MEM",70,1,860,95,233,0.408,25,86,0.291,70,147,0.476,0.461,34,44,0.773,12,61,73,151,22,4,70,83,249,2010,2011
"566","Charlie Villanueva","PF",26,"DET",76,11,1666,313,708,0.442,125,323,0.387,188,385,0.488,0.53,89,116,0.767,50,245,295,48,42,42,66,175,840,2010,2011
"567","Sasha Vujacic","SG",26,"TOT",67,17,1648,239,595,0.402,97,262,0.37,142,333,0.426,0.483,81,96,0.844,30,156,186,132,54,5,66,136,656,2010,2011
"568","Sasha Vujacic","SG",26,"LAL",11,0,54,8,23,0.348,3,7,0.429,5,16,0.313,0.413,1,2,0.5,1,3,4,5,1,0,5,7,20,2010,2011
"569","Sasha Vujacic","SG",26,"NJN",56,17,1594,231,572,0.404,94,255,0.369,137,317,0.432,0.486,80,94,0.851,29,153,182,127,53,5,61,129,636,2010,2011
"570","Dwyane Wade","SG",29,"MIA",76,76,2823,692,1384,0.5,63,206,0.306,629,1178,0.534,0.523,494,652,0.758,123,362,485,346,111,87,237,197,1941,2010,2011
"571","Von Wafer","SG",25,"BOS",58,2,553,67,159,0.421,18,67,0.269,49,92,0.533,0.478,32,38,0.842,7,42,49,35,18,5,20,39,184,2010,2011
"572","Henry Walker","SG",23,"NYK",61,1,784,104,236,0.441,59,153,0.386,45,83,0.542,0.566,31,44,0.705,16,106,122,34,21,6,37,81,298,2010,2011
"573","John Wall","PG",20,"WAS",69,64,2606,398,972,0.409,34,115,0.296,364,857,0.425,0.427,301,393,0.766,35,282,317,574,121,35,261,175,1131,2010,2011
"574","Ben Wallace","C",36,"DET",54,49,1238,67,149,0.45,1,2,0.5,66,147,0.449,0.453,19,57,0.333,129,221,350,72,54,54,44,81,154,2010,2011
"575","Gerald Wallace","SF-PF",28,"TOT",71,63,2693,386,851,0.454,62,186,0.333,324,665,0.487,0.49,279,374,0.746,111,458,569,173,105,63,152,183,1113,2010,2011
"576","Gerald Wallace","SF",28,"CHA",48,48,1872,252,582,0.433,35,106,0.33,217,476,0.456,0.463,210,284,0.739,72,322,394,116,59,48,100,120,749,2010,2011
"577","Gerald Wallace","PF",28,"POR",23,15,821,134,269,0.498,27,80,0.338,107,189,0.566,0.548,69,90,0.767,39,136,175,57,46,15,52,63,364,2010,2011
"578","Luke Walton","SF",30,"LAL",54,0,484,38,116,0.328,8,34,0.235,30,82,0.366,0.362,7,10,0.7,9,58,67,62,9,4,31,38,91,2010,2011
"579","Willie Warren","PG",21,"LAC",19,0,134,13,35,0.371,5,15,0.333,8,20,0.4,0.443,6,8,0.75,1,11,12,27,6,0,8,16,37,2010,2011
"580","Hakim Warrick","PF",28,"PHO",80,6,1416,228,446,0.511,1,11,0.091,227,435,0.522,0.512,212,294,0.721,88,208,296,69,32,9,79,100,669,2010,2011
"581","C.J. Watson","PG",26,"CHI",82,1,1091,146,394,0.371,44,112,0.393,102,282,0.362,0.426,69,93,0.742,16,78,94,186,55,11,73,82,405,2010,2011
"582","Earl Watson","PG",31,"UTA",80,13,1567,126,307,0.41,36,107,0.336,90,200,0.45,0.469,55,82,0.671,52,130,182,278,61,17,116,146,343,2010,2011
"583","Kyle Weaver","SG",24,"UTA",5,0,69,9,25,0.36,3,7,0.429,6,18,0.333,0.42,7,8,0.875,2,8,10,7,2,2,7,3,28,2010,2011
"584","Martell Webster","SF",24,"MIN",46,1,1094,152,340,0.447,55,132,0.417,97,208,0.466,0.528,94,122,0.77,36,111,147,53,28,9,58,101,453,2010,2011
"585","Sonny Weems","SF",24,"TOR",59,28,1413,228,513,0.444,17,61,0.279,211,452,0.467,0.461,72,94,0.766,39,114,153,104,34,2,86,87,545,2010,2011
"586","David West","PF",30,"NOH",70,70,2451,528,1040,0.508,2,9,0.222,526,1031,0.51,0.509,264,327,0.807,155,374,529,164,67,62,142,202,1322,2010,2011
"587","Delonte West","PG",27,"BOS",24,2,453,55,120,0.458,12,33,0.364,43,87,0.494,0.508,13,15,0.867,6,31,37,64,20,10,30,29,135,2010,2011
"588","Mario West","SG",26,"NJN",6,3,116,9,21,0.429,1,4,0.25,8,17,0.471,0.452,3,5,0.6,2,9,11,10,7,0,2,13,22,2010,2011
"589","Russell Westbrook","PG",22,"OKC",82,82,2847,614,1390,0.442,34,103,0.33,580,1287,0.451,0.454,531,631,0.842,121,258,379,670,155,30,316,207,1793,2010,2011
"590","D.J. White","C-PF",24,"TOT",47,0,685,111,219,0.507,0,2,0,111,217,0.512,0.507,46,64,0.719,43,115,158,19,12,20,14,77,268,2010,2011
"591","D.J. White","PF",24,"OKC",23,0,219,30,65,0.462,0,0,NA,30,65,0.462,0.462,5,10,0.5,12,40,52,4,6,8,7,31,65,2010,2011
"592","D.J. White","C",24,"CHA",24,0,466,81,154,0.526,0,2,0,81,152,0.533,0.526,41,54,0.759,31,75,106,15,6,12,7,46,203,2010,2011
"593","Hassan Whiteside","C",21,"SAC",1,0,2,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,2,0,2010,2011
"594","Chris Wilcox","PF",28,"DET",57,29,995,187,322,0.581,0,1,0,187,321,0.583,0.581,50,89,0.562,95,176,271,43,29,17,43,145,424,2010,2011
"595","Damien Wilkins","SF",31,"ATL",52,0,676,69,137,0.504,2,10,0.2,67,127,0.528,0.511,40,56,0.714,23,67,90,41,27,9,21,72,180,2010,2011
"596","Deron Williams","PG",26,"TOT",65,65,2465,428,975,0.439,105,317,0.331,323,658,0.491,0.493,348,412,0.845,40,220,260,667,79,15,230,190,1309,2010,2011
"597","Deron Williams","PG",26,"UTA",53,53,2009,369,806,0.458,89,258,0.345,280,548,0.511,0.513,302,354,0.853,32,173,205,514,64,12,187,152,1129,2010,2011
"598","Deron Williams","PG",26,"NJN",12,12,456,59,169,0.349,16,59,0.271,43,110,0.391,0.396,46,58,0.793,8,47,55,153,15,3,43,38,180,2010,2011
"599","Jason Williams","PG",35,"TOT",27,0,295,22,67,0.328,10,38,0.263,12,29,0.414,0.403,0,0,NA,3,27,30,52,11,1,18,8,54,2010,2011
"600","Jason Williams","PG",35,"ORL",16,0,171,13,38,0.342,7,23,0.304,6,15,0.4,0.434,0,0,NA,3,19,22,24,8,0,11,6,33,2010,2011
"601","Jason Williams","PG",35,"MEM",11,0,124,9,29,0.31,3,15,0.2,6,14,0.429,0.362,0,0,NA,0,8,8,28,3,1,7,2,21,2010,2011
"602","Jawad Williams","SF",27,"CLE",26,1,391,41,126,0.325,13,45,0.289,28,81,0.346,0.377,9,12,0.75,7,41,48,22,9,3,16,34,104,2010,2011
"603","Lou Williams","SG",24,"PHI",75,0,1747,323,795,0.406,88,253,0.348,235,542,0.434,0.462,293,356,0.823,32,117,149,252,47,17,102,128,1027,2010,2011
"604","Marvin Williams","SF",24,"ATL",65,52,1865,246,537,0.458,37,110,0.336,209,427,0.489,0.493,147,174,0.845,68,245,313,88,34,23,62,104,676,2010,2011
"605","Mo Williams","PG",28,"TOT",58,56,1788,291,730,0.399,79,244,0.324,212,486,0.436,0.453,151,177,0.853,21,132,153,380,53,10,171,150,812,2010,2011
"606","Mo Williams","PG",28,"CLE",36,34,1065,178,462,0.385,36,136,0.265,142,326,0.436,0.424,85,102,0.833,15,82,97,257,33,10,105,91,477,2010,2011
"607","Mo Williams","PG",28,"LAC",22,22,723,113,268,0.422,43,108,0.398,70,160,0.438,0.502,66,75,0.88,6,50,56,123,20,0,66,59,335,2010,2011
"608","Reggie Williams","SF",24,"GSW",80,9,1626,268,572,0.469,102,241,0.423,166,331,0.502,0.558,100,134,0.746,45,171,216,121,28,3,57,124,738,2010,2011
"609","Shawne Williams","PF",24,"NYK",64,11,1323,164,385,0.426,85,212,0.401,79,173,0.457,0.536,41,49,0.837,60,179,239,47,39,51,46,164,454,2010,2011
"610","Shelden Williams","PF",27,"TOT",59,38,911,103,220,0.468,0,0,NA,103,220,0.468,0.468,58,75,0.773,93,180,273,32,23,26,43,126,264,2010,2011
"611","Shelden Williams","PF",27,"DEN",42,32,713,82,181,0.453,0,0,NA,82,181,0.453,0.453,34,46,0.739,74,149,223,19,18,22,37,92,198,2010,2011
"612","Shelden Williams","PF",27,"NYK",17,6,198,21,39,0.538,0,0,NA,21,39,0.538,0.538,24,29,0.828,19,31,50,13,5,4,6,34,66,2010,2011
"613","Terrence Williams","SG",23,"TOT",21,0,290,43,115,0.374,6,22,0.273,37,93,0.398,0.4,14,21,0.667,4,47,51,38,9,0,33,25,106,2010,2011
"614","Terrence Williams","SG",23,"NJN",10,0,206,29,73,0.397,4,12,0.333,25,61,0.41,0.425,5,10,0.5,3,33,36,31,5,0,25,21,67,2010,2011
"615","Terrence Williams","SG",23,"HOU",11,0,84,14,42,0.333,2,10,0.2,12,32,0.375,0.357,9,11,0.818,1,14,15,7,4,0,8,4,39,2010,2011
"616","Metta World Peace","SF",31,"LAL",82,82,2410,261,658,0.397,83,233,0.356,178,425,0.419,0.46,92,136,0.676,100,167,267,175,124,36,90,181,697,2010,2011
"617","Antoine Wright","SG",26,"SAC",7,0,31,1,8,0.125,0,4,0,1,4,0.25,0.125,0,0,NA,2,1,3,0,1,0,1,3,2,2010,2011
"618","Brandan Wright","PF",23,"TOT",37,2,379,60,117,0.513,0,0,NA,60,117,0.513,0.513,21,31,0.677,31,58,89,12,11,17,14,34,141,2010,2011
"619","Brandan Wright","PF",23,"GSW",21,1,195,38,63,0.603,0,0,NA,38,63,0.603,0.603,7,14,0.5,14,27,41,5,3,10,10,19,83,2010,2011
"620","Brandan Wright","PF",23,"NJN",16,1,184,22,54,0.407,0,0,NA,22,54,0.407,0.407,14,17,0.824,17,31,48,7,8,7,4,15,58,2010,2011
"621","Dorell Wright","SF",25,"GSW",82,82,3147,485,1146,0.423,194,516,0.376,291,630,0.462,0.508,180,228,0.789,88,343,431,242,124,63,133,171,1344,2010,2011
"622","Julian Wright","SF",23,"TOR",52,6,766,82,160,0.513,2,10,0.2,80,150,0.533,0.519,22,43,0.512,47,71,118,58,39,20,43,45,188,2010,2011
"623","Nick Young","SG",25,"WAS",64,40,2034,412,935,0.441,105,271,0.387,307,664,0.462,0.497,186,228,0.816,26,148,174,75,45,17,90,144,1115,2010,2011
"624","Sam Young","SF",25,"MEM",78,46,1577,233,494,0.472,17,50,0.34,216,444,0.486,0.489,89,116,0.767,40,147,187,71,68,23,61,120,572,2010,2011
