,Unnamed: 0,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Weight,Body Fat,Hand (Length),Hand (Width),drafted,athletic
56,56,Larry Sanders,2010,15.0,81.25,82.5,89.75,112.0,222.0,4.6,9.75,11.0,1,1
57,57,Luke Babbitt,2010,16.0,79.5,80.75,83.25,104.5,218.0,5.6,8.5,10.0,1,1
58,58,Eric Bledsoe,2010,18.0,72.25,73.5,79.5,98.0,192.0,5.6,8.5,9.75,1,0
59,59,Avery Bradley,2010,19.0,74.0,75.25,79.25,98.5,180.0,4.0,8.25,9.5,1,1
60,60,Evan Turner,2010,2.0,77.75,79.0,80.0,103.5,214.0,8.6,8.75,9.5,1,1
61,61,James Anderson,2010,20.0,76.75,77.75,80.5,104.0,208.0,7.9,9.0,7.0,1,1
62,62,Craig Brackins,2010,21.0,80.5,81.75,84.0,109.0,229.0,7.9,9.5,11.25,1,1
63,63,Trevor Booker,2010,23.0,78.25,79.5,81.75,106.0,236.0,7.3,9.0,9.5,1,1
64,64,Dominique Jones,2010,25.0,75.25,77.0,81.25,101.0,216.0,5.9,9.0,10.25,1,1
65,65,Jordan Crawford,2010,27.0,75.0,76.5,79.0,101.0,198.0,4.9,8.0,9.0,1,1
66,66,Daniel Orton,2010,29.0,80.75,81.5,88.25,110.5,269.0,13.8,8.5,9.75,1,1
67,67,Derrick Favors,2010,3.0,80.75,82.25,88.0,110.0,245.0,6.5,8.75,9.25,1,1
68,68,Lazar Hayward,2010,30.0,76.5,77.75,84.75,102.0,226.0,7.5,9.25,9.5,1,1
69,69,Dexter Pittman,2010,32.0,81.5,83.5,90.0,111.0,303.0,20.8,10.25,10.5,1,0
70,70,Hassan Whiteside,2010,33.0,82.5,83.5,91.0,113.0,227.0,5.5,8.25,10.25,1,1
71,71,Armon Johnson,2010,34.0,74.0,75.25,80.0,99.5,195.0,5.6,8.25,9.25,1,1
72,72,Terrico White,2010,36.0,75.75,77.0,81.0,101.0,203.0,3.7,9.0,10.5,1,1
73,73,Darington Hobson,2010,37.0,77.25,78.5,81.25,104.5,204.0,6.2,8.25,9.0,1,1
74,74,Andy Rautins,2010,38.0,76.25,77.0,79.0,100.0,192.0,6.2,8.0,9.75,1,1
75,75,Wesley Johnson,2010,4.0,78.25,79.25,85.0,106.0,206.0,4.6,9.0,9.5,1,1
76,76,Lance Stephenson,2010,40.0,76.5,77.75,82.5,103.0,227.0,9.3,9.0,10.25,1,1
77,77,Jarvis Varnado,2010,41.0,80.25,82.0,87.5,109.5,210.0,9.5,9.25,9.5,1,1
78,78,Devin Ebanks,2010,43.0,79.0,80.25,84.25,107.5,208.0,7.9,8.25,9.0,1,1
79,79,Jerome Jordan,2010,44.0,83.5,84.75,89.25,113.0,244.0,6.9,9.0,10.25,1,0
80,80,Tiny Gallon,2010,47.0,80.5,81.5,88.5,109.5,302.0,15.1,9.25,10.5,1,1
81,81,Ryan Richards,2010,49.0,82.5,83.75,85.5,110.0,230.0,8.0,9.0,9.75,1,1
82,82,DeMarcus Cousins,2010,5.0,81.5,82.75,89.75,113.0,292.0,16.4,9.25,10.0,1,1
83,83,Solomon Alabi,2010,50.0,83.5,84.75,89.0,113.0,237.0,5.0,9.25,9.25,1,1
84,84,Willie Warren,2010,54.0,74.5,75.75,78.0,99.5,208.0,7.6,8.5,9.5,1,1
85,85,Derrick Caracter,2010,58.0,80.25,81.5,84.25,107.25,280.0,12.8,9.0,10.25,1,1
