,index,Name,School,Conf,Season,SOS,G,GS,MP,PTS,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,FT,FTA,FT%,2P,2PA,2P%,3P,3PA,3P%,year,last
669,910,Gary Harris,Michigan State,Big Ten,2013,10.55,34,33,29.7,12.9,1.6,0.9,2.5,1.4,1.3,0.2,1.5,2.0,4.4,9.7,0.456,2.2,2.9,0.755,2.5,5.0,0.4970000000000001,1.9,4.6,0.411,1,0
670,911,Gary Harris,Michigan State,Big Ten,2014,9.38,35,34,32.3,16.7,2.9,1.1,4.0,2.7,1.8,0.4,1.7,2.1,5.6,13.0,0.429,3.3,4.1,0.81,3.3,6.4,0.507,2.3,6.6,0.35200000000000004,2,1
671,913,Mitch McGary,Michigan,Big Ten,2013,10.05,39,8,19.7,7.5,3.8,2.5,6.3,0.6,1.1,0.7,1.2,2.4,3.4,5.7,0.598,0.6,1.3,0.442,3.4,5.7,0.598,0.0,0.0,0.0,1,0
672,914,Mitch McGary,Michigan,Big Ten,2014,9.65,8,4,24.8,9.5,5.4,2.9,8.3,1.5,1.9,0.8,1.6,3.1,3.8,6.9,0.545,2.0,3.0,0.667,3.8,6.6,0.5660000000000001,0.0,0.3,0.0,2,1
673,916,Jordan Adams,UCLA,Pac-10,2013,7.82,33,27,30.3,15.3,3.2,0.6,3.8,1.8,2.2,0.4,1.2,2.1,5.0,11.2,0.447,3.9,4.6,0.843,3.6,6.6,0.5429999999999999,1.4,4.5,0.307,1,0
674,917,Jordan Adams,UCLA,Pac-10,2014,7.62,36,36,30.1,17.4,3.5,1.9,5.3,2.3,2.6,0.1,1.5,2.2,5.8,11.9,0.485,4.4,5.3,0.836,4.3,7.9,0.551,1.4,4.1,0.35600000000000004,2,1
675,919,Rodney Hood,Mississippi State,SEC,2012,4.86,32,29,32.8,10.3,3.8,1.0,4.8,2.0,0.4,0.4,0.9,1.3,4.0,9.0,0.443,0.8,1.3,0.659,2.5,4.9,0.506,1.5,4.0,0.364,1,0
676,920,Rodney Hood,Duke,ACC,2014,8.48,35,33,32.9,16.1,3.1,0.8,3.9,2.1,0.7,0.3,1.5,2.6,5.5,11.8,0.464,3.1,3.9,0.807,3.4,6.9,0.494,2.0,4.8,0.42,2,1
677,922,Shabazz Napier,UConn,Big East,2011,10.44,41,0,23.8,7.8,1.8,0.6,2.4,3.0,1.6,0.1,1.8,1.8,2.4,6.6,0.37,1.8,2.3,0.7709999999999999,1.3,3.1,0.419,1.1,3.4,0.326,1,0
678,923,Shabazz Napier,UConn,Big East,2012,8.07,34,31,35.0,13.0,2.9,0.7,3.5,5.8,1.6,0.3,2.8,2.6,4.0,10.3,0.389,3.2,4.4,0.743,2.3,5.4,0.418,1.7,4.9,0.355,2,0
679,924,Shabazz Napier,UConn,Big East,2013,7.42,28,27,37.3,17.1,3.9,0.5,4.4,4.6,2.0,0.1,2.4,2.1,5.2,11.8,0.441,4.2,5.1,0.8190000000000001,2.8,5.7,0.488,2.4,6.1,0.398,3,0
680,925,Shabazz Napier,UConn,Big East,2014,8.62,40,40,35.1,18.0,4.9,1.0,5.9,4.9,1.8,0.3,2.9,2.1,5.3,12.4,0.429,5.2,6.0,0.87,3.2,7.0,0.448,2.2,5.4,0.405,4,1
681,927,C.J. Wilcox,Washington,Pac-10,2011,7.74,33,6,15.8,8.1,1.4,0.7,2.1,0.9,0.4,0.3,0.6,1.2,2.7,6.5,0.419,0.8,0.9,0.8059999999999999,0.8,1.8,0.466,1.9,4.8,0.401,1,0
682,928,C.J. Wilcox,Washington,Pac-10,2012,5.27,32,12,28.5,14.2,2.6,0.8,3.4,1.2,0.9,0.6,1.3,2.0,4.8,10.9,0.4370000000000001,2.4,2.9,0.8390000000000001,2.5,5.2,0.473,2.3,5.7,0.403,2,0
683,929,C.J. Wilcox,Washington,Pac-10,2013,7.22,34,34,34.8,16.8,3.1,1.2,4.3,1.9,1.1,1.1,1.9,2.1,5.9,14.1,0.419,2.7,3.4,0.816,3.7,8.1,0.458,2.2,6.0,0.366,3,0
684,930,C.J. Wilcox,Washington,Pac-10,2014,6.45,32,31,34.9,18.3,3.0,0.7,3.7,2.5,1.0,1.0,1.7,2.3,6.2,13.6,0.453,3.2,3.7,0.873,3.3,6.4,0.522,2.8,7.2,0.391,4,1
685,932,Josh Huestis,Stanford,Pac-10,2011,5.17,28,0,9.9,2.3,1.0,1.0,2.0,0.3,0.1,0.3,0.3,0.6,0.9,2.0,0.436,0.5,0.7,0.65,0.8,1.6,0.489,0.1,0.4,0.2,1,0
686,933,Josh Huestis,Stanford,Pac-10,2012,3.99,37,5,20.1,5.3,3.1,1.7,4.8,0.9,0.5,1.2,0.7,1.6,2.0,4.5,0.4370000000000001,1.0,2.0,0.514,1.6,3.4,0.4920000000000001,0.3,1.2,0.279,2,0
687,934,Josh Huestis,Stanford,Pac-10,2013,7.37,34,34,32.1,10.5,5.8,3.3,9.0,0.9,0.8,2.1,1.4,2.3,4.1,8.9,0.46,1.6,2.4,0.667,3.3,6.6,0.502,0.8,2.3,0.338,3,0
688,935,Josh Huestis,Stanford,Pac-10,2014,9.0,36,36,35.2,11.2,5.7,2.5,8.2,1.2,0.6,1.9,1.2,2.1,4.3,9.6,0.451,1.8,2.8,0.627,3.6,7.5,0.483,0.7,2.1,0.338,4,1
689,937,Kyle Anderson,UCLA,Pac-10,2013,7.82,35,34,29.9,9.7,6.5,2.1,8.6,3.5,1.8,0.9,2.1,2.1,3.5,8.4,0.416,2.5,3.3,0.735,3.3,7.3,0.447,0.2,1.1,0.211,1,0
690,938,Kyle Anderson,UCLA,Pac-10,2014,7.62,36,36,33.2,14.6,7.5,1.3,8.8,6.5,1.8,0.8,3.1,1.7,5.0,10.5,0.48,3.8,5.2,0.737,4.3,8.9,0.48,0.8,1.6,0.483,2,1
691,940,K.J. McDaniels,Clemson,ACC,2012,3.41,30,1,10.1,3.9,0.7,1.1,1.8,0.2,0.3,0.7,0.4,0.9,1.5,3.2,0.454,0.7,1.3,0.579,1.2,2.4,0.514,0.2,0.8,0.28,1,0
692,941,K.J. McDaniels,Clemson,ACC,2013,4.44,28,25,27.5,10.9,3.2,1.8,5.0,0.8,1.1,2.1,1.6,2.2,3.9,9.0,0.433,1.9,2.8,0.684,2.8,5.6,0.494,1.1,3.4,0.333,2,0
693,942,K.J. McDaniels,Clemson,ACC,2014,5.97,36,35,33.7,17.1,4.7,2.4,7.1,1.6,1.1,2.8,2.3,2.2,5.8,12.6,0.459,4.3,5.1,0.8420000000000001,4.6,8.8,0.527,1.2,3.8,0.304,3,1
694,944,Cleanthony Early,Wichita State,MVC,2013,6.09,39,22,25.1,13.9,3.2,2.3,5.4,0.6,0.7,0.9,1.6,2.6,4.7,10.4,0.455,3.3,4.2,0.7909999999999999,3.5,6.6,0.535,1.2,3.8,0.318,1,0
695,945,Cleanthony Early,Wichita State,MVC,2014,1.73,36,36,27.4,16.4,4.6,1.3,5.9,0.8,0.8,0.8,1.9,2.3,5.2,10.7,0.484,4.2,5.0,0.8440000000000001,3.4,5.8,0.579,1.8,4.9,0.373,2,1
696,947,Jarnell Stokes,Tennessee,SEC,2012,6.58,17,14,25.6,9.6,4.8,2.6,7.4,0.7,0.9,1.4,2.1,2.3,3.7,7.0,0.529,2.2,3.8,0.569,3.7,6.8,0.5429999999999999,0.0,0.2,0.0,1,0
697,948,Jarnell Stokes,Tennessee,SEC,2013,6.03,33,33,28.8,12.4,5.5,4.2,9.6,1.3,0.7,1.1,2.1,2.4,4.5,8.5,0.528,3.3,5.9,0.5670000000000001,4.5,8.5,0.528,0.0,0.0,0.0,2,0
698,949,Jarnell Stokes,Tennessee,SEC,2014,7.84,37,37,32.4,15.1,6.4,4.2,10.6,2.0,0.7,0.9,2.1,2.0,5.4,10.1,0.531,4.3,6.2,0.696,5.4,10.1,0.531,0.0,0.0,0.0,3,1
699,951,Johnny O'Bryant III,LSU,SEC,2012,5.51,28,17,21.4,8.5,3.6,3.1,6.7,0.4,0.5,0.8,2.4,2.1,3.3,8.1,0.399,2.0,3.1,0.625,3.2,7.7,0.412,0.1,0.4,0.16699999999999998,1,0
700,952,Johnny O'Bryant III,LSU,SEC,2013,4.01,29,27,29.1,13.6,5.7,3.1,8.7,1.7,0.5,0.7,3.2,3.1,5.3,11.0,0.48,2.9,4.9,0.596,5.2,10.6,0.489,0.1,0.4,0.25,2,0
701,953,Johnny O'Bryant III,LSU,SEC,2014,6.61,34,34,30.0,15.4,4.7,3.0,7.7,1.6,0.5,0.9,3.2,3.2,5.9,12.0,0.494,3.5,5.5,0.634,5.9,11.9,0.495,0.0,0.1,0.333,3,1
702,955,DeAndre Daniels,UConn,Big East,2012,8.07,31,12,12.1,3.0,1.5,0.6,2.1,0.5,0.4,0.6,0.7,1.0,1.0,2.9,0.341,0.6,0.8,0.8,0.6,1.3,0.463,0.4,1.6,0.24,1,0
703,956,DeAndre Daniels,UConn,Big East,2013,7.42,30,30,29.2,12.1,4.2,1.3,5.5,0.7,0.8,1.5,1.7,2.7,4.7,10.0,0.468,2.1,2.9,0.705,4.0,7.7,0.515,0.7,2.3,0.309,2,0
704,957,DeAndre Daniels,UConn,Big East,2014,8.62,38,38,29.0,13.1,4.6,1.4,6.0,0.4,0.7,1.4,1.5,2.4,4.9,10.6,0.469,1.8,2.3,0.787,3.6,7.4,0.491,1.3,3.2,0.417,3,1
705,959,Spencer Dinwiddie,Colorado,Big 12,2012,5.73,36,36,27.4,10.0,2.9,0.7,3.6,1.8,0.8,0.3,1.4,2.3,2.8,6.8,0.402,3.3,4.1,0.816,1.6,4.2,0.38,1.2,2.7,0.438,1,0
706,960,Spencer Dinwiddie,Colorado,Big 12,2013,7.95,33,33,32.5,15.3,2.9,0.3,3.2,3.0,1.3,0.5,2.2,2.0,3.9,9.5,0.415,6.0,7.3,0.825,2.5,5.3,0.477,1.4,4.2,0.338,2,0
707,961,Spencer Dinwiddie,Colorado,Big 12,2014,8.8,17,17,31.1,14.7,2.6,0.5,3.1,3.8,1.5,0.2,1.8,1.9,3.6,7.7,0.466,6.0,7.0,0.857,2.1,4.0,0.515,1.5,3.7,0.413,3,1
708,963,Jerami Grant,Syracuse,Big East,2013,8.57,40,9,14.3,3.9,1.8,1.2,3.0,0.5,0.4,0.5,0.7,1.4,1.4,2.9,0.462,1.0,1.8,0.562,1.2,2.6,0.471,0.2,0.4,0.4,1,0
709,964,Jerami Grant,Syracuse,Big East,2014,7.25,32,20,31.4,12.1,4.3,2.4,6.8,1.4,0.8,0.6,1.2,2.3,4.2,8.4,0.496,3.8,5.6,0.674,4.2,8.2,0.506,0.0,0.2,0.0,2,1
710,966,Glenn Robinson III,Michigan,Big Ten,2013,10.05,39,39,33.6,11.0,3.3,2.1,5.4,1.1,1.0,0.3,0.8,1.1,4.3,7.5,0.5720000000000001,1.8,2.7,0.6759999999999999,3.7,5.7,0.652,0.6,1.8,0.324,1,0
711,967,Glenn Robinson III,Michigan,Big Ten,2014,9.65,37,37,32.3,13.1,3.0,1.5,4.4,1.2,0.9,0.3,1.2,1.5,4.9,10.1,0.488,2.4,3.1,0.757,4.0,7.2,0.562,0.9,2.9,0.306,2,1
712,969,Nick Johnson,Arizona,Pac-10,2012,4.62,35,28,28.1,8.9,2.7,0.5,3.3,2.4,0.7,0.5,1.9,2.3,2.8,7.7,0.369,2.1,3.1,0.679,1.7,4.1,0.413,1.1,3.6,0.32,1,0
713,970,Nick Johnson,Arizona,Pac-10,2013,7.47,35,35,31.4,11.5,3.2,0.4,3.6,3.2,1.9,0.6,1.9,1.9,3.9,8.7,0.448,2.5,3.5,0.713,2.7,5.7,0.477,1.2,3.1,0.393,2,0
714,971,Nick Johnson,Arizona,Pac-10,2014,9.04,38,38,33.1,16.3,3.2,0.8,4.1,2.8,1.1,0.7,1.7,2.0,5.4,12.5,0.4320000000000001,3.8,4.9,0.7809999999999999,3.8,8.0,0.469,1.6,4.4,0.3670000000000001,3,1
715,973,Markel Brown,Oklahoma State,Big 12,2011,6.94,34,10,21.6,6.4,1.9,0.6,2.5,1.4,0.8,1.0,1.5,1.5,2.2,5.7,0.394,1.5,2.5,0.607,1.8,3.9,0.455,0.5,1.8,0.262,1,0
716,974,Markel Brown,Oklahoma State,Big 12,2012,8.95,33,26,31.1,10.5,4.2,0.9,5.1,2.4,1.2,0.6,2.3,2.4,3.5,8.2,0.426,2.8,3.8,0.732,2.8,6.1,0.465,0.7,2.2,0.319,2,0
717,975,Markel Brown,Oklahoma State,Big 12,2013,6.73,33,33,34.1,15.3,3.9,0.5,4.4,2.4,1.0,0.8,1.7,2.1,5.1,11.8,0.436,3.5,4.5,0.76,3.5,7.4,0.478,1.6,4.3,0.364,3,0
718,976,Markel Brown,Oklahoma State,Big 12,2014,8.34,34,34,35.3,17.2,4.2,1.1,5.3,2.9,1.0,1.0,1.6,2.5,5.6,11.8,0.473,4.4,5.7,0.768,4.0,7.6,0.525,1.6,4.3,0.379,4,1
719,978,Dwight Powell,Stanford,Pac-10,2011,5.17,31,24,24.4,8.1,3.8,1.4,5.2,1.0,0.8,0.9,1.4,3.0,2.8,6.0,0.471,2.2,3.3,0.6829999999999999,2.6,5.2,0.5,0.2,0.8,0.28,1,0
720,979,Dwight Powell,Stanford,Pac-10,2012,3.99,35,11,17.5,5.8,3.5,1.1,4.6,0.7,0.8,0.6,1.5,2.3,2.1,4.6,0.453,1.6,2.2,0.705,2.1,4.1,0.5,0.0,0.5,0.059,2,0
721,980,Dwight Powell,Stanford,Pac-10,2013,7.37,34,34,30.4,14.9,6.3,2.1,8.4,2.1,0.8,1.1,2.4,3.1,5.3,11.3,0.467,3.9,4.9,0.7959999999999999,4.8,10.3,0.469,0.4,1.0,0.455,3,0
722,981,Dwight Powell,Stanford,Pac-10,2014,9.0,36,36,32.4,14.0,4.9,1.9,6.9,3.1,1.3,0.8,2.9,3.1,4.9,10.5,0.462,4.0,5.9,0.687,4.6,9.4,0.485,0.3,1.1,0.256,4,1
723,983,Jordan Clarkson,Tulsa,CUSA,2011,3.25,27,9,24.9,11.5,1.7,0.4,2.1,1.9,0.7,0.1,2.9,2.3,3.6,8.3,0.433,3.6,4.5,0.7929999999999999,2.9,5.9,0.487,0.7,2.4,0.303,1,0
724,984,Jordan Clarkson,Tulsa,CUSA,2012,2.85,31,31,33.9,16.5,2.7,1.1,3.9,2.5,0.9,0.5,2.7,2.4,5.4,12.4,0.435,4.3,5.5,0.784,4.0,8.7,0.461,1.4,3.7,0.374,2,0
725,985,Jordan Clarkson,Missouri,Big 12,2014,6.86,35,35,35.1,17.5,3.0,0.8,3.8,3.4,1.1,0.2,2.7,2.2,6.0,13.3,0.448,4.6,5.6,0.831,5.1,10.1,0.501,0.9,3.3,0.281,3,1
726,987,Russ Smith,Louisville,Big East,2011,8.2,17,0,5.6,2.2,0.4,0.1,0.4,0.8,0.8,0.1,0.8,1.0,0.8,2.4,0.341,0.2,0.3,0.6,0.4,1.4,0.292,0.4,1.0,0.412,1,0
727,988,Russ Smith,Louisville,Big East,2012,9.02,39,7,21.5,11.5,1.8,0.7,2.5,1.9,2.2,0.0,2.3,2.8,3.8,10.7,0.35600000000000004,2.8,3.7,0.764,2.8,7.3,0.379,1.1,3.4,0.306,2,0
