,index,Name,School,Conf,Season,SOS,G,GS,MP,PTS,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,FT,FTA,FT%,2P,2PA,2P%,3P,3PA,3P%,year,last
754,1022,Xavier Thames,San Diego State,MWC,2012,3.79,31,30,33.8,10.1,2.7,0.5,3.2,4.1,1.0,0.2,2.5,2.2,3.2,7.9,0.402,3.3,3.9,0.828,2.6,6.2,0.4270000000000001,0.5,1.7,0.308,2,0
755,1023,Xavier Thames,San Diego State,MWC,2013,6.19,30,25,28.7,9.5,2.2,0.5,2.7,2.4,1.0,0.3,1.8,1.4,2.9,8.3,0.35100000000000003,2.5,3.1,0.815,1.7,4.8,0.34700000000000003,1.2,3.5,0.35600000000000004,3,0
756,1024,Xavier Thames,San Diego State,MWC,2014,4.86,36,36,31.3,17.6,2.3,0.6,2.9,3.2,1.6,0.1,1.4,2.0,5.2,12.7,0.411,5.4,6.5,0.8340000000000001,3.5,8.2,0.4320000000000001,1.7,4.5,0.374,4,1
757,1026,Cory Jefferson,Baylor,Big 12,2010,8.03,21,0,4.6,1.3,0.6,0.6,1.2,0.0,0.1,0.2,0.2,0.6,0.4,1.1,0.391,0.4,0.6,0.6920000000000001,0.4,1.0,0.409,0.0,0.0,0.0,1,0
758,1027,Cory Jefferson,Baylor,Big 12,2012,8.03,34,1,10.5,3.6,1.9,0.7,2.6,0.1,0.2,1.2,0.4,1.3,1.4,2.6,0.522,0.8,1.3,0.6,1.4,2.6,0.534,0.0,0.1,0.0,2,0
759,1028,Cory Jefferson,Baylor,Big 12,2013,7.13,37,37,27.9,13.3,5.3,2.7,8.0,0.3,0.5,1.9,0.8,2.3,5.2,8.5,0.61,2.9,4.1,0.7040000000000001,5.1,8.2,0.618,0.1,0.2,0.333,3,0
760,1029,Cory Jefferson,Baylor,Big 12,2014,10.11,38,38,29.0,13.7,5.4,2.8,8.2,1.0,0.4,1.3,1.3,2.2,4.8,9.7,0.5,3.6,5.6,0.64,4.5,8.7,0.515,0.4,1.0,0.368,4,1
761,1031,Karl-Anthony Towns,Kentucky,SEC,2015,8.67,39,39,21.1,10.3,4.3,2.4,6.7,1.1,0.5,2.3,1.4,2.9,3.7,6.6,0.5660000000000001,2.8,3.4,0.813,3.7,6.4,0.5770000000000001,0.1,0.2,0.25,1,1
762,1033,D'Angelo Russell,Ohio State,Big Ten,2015,7.37,35,34,33.9,19.3,4.7,1.0,5.7,5.0,1.6,0.3,2.9,2.1,6.6,14.7,0.449,3.4,4.5,0.7559999999999999,3.9,8.1,0.479,2.7,6.6,0.411,1,1
763,1035,Jahlil Okafor,Duke,ACC,2015,9.87,38,38,30.1,17.3,4.9,3.5,8.5,1.3,0.8,1.4,2.5,2.1,7.3,11.1,0.664,2.6,5.1,0.51,7.3,11.1,0.664,0.0,0.0,0.0,1,1
764,1037,Willie Cauley-Stein,Kentucky,SEC,2013,5.78,29,14,23.6,8.3,3.9,2.3,6.2,0.9,0.8,2.1,1.7,2.4,3.6,5.8,0.621,1.1,3.0,0.3720000000000001,3.6,5.8,0.621,0.0,0.0,0.0,1,0
765,1038,Willie Cauley-Stein,Kentucky,SEC,2014,9.89,37,18,23.8,6.8,3.5,2.5,6.1,0.7,1.2,2.9,0.8,2.6,2.9,4.8,0.596,1.1,2.2,0.482,2.9,4.8,0.596,0.0,0.0,0.0,2,0
766,1039,Willie Cauley-Stein,Kentucky,SEC,2015,8.67,39,38,25.9,8.9,4.2,2.3,6.4,1.0,1.2,1.7,1.2,2.0,3.5,6.1,0.5720000000000001,2.0,3.3,0.617,3.5,6.1,0.5720000000000001,0.0,0.0,0.0,3,1
767,1041,Stanley Johnson,Arizona,Pac-10,2015,7.41,38,37,28.4,13.8,4.5,2.0,6.5,1.7,1.5,0.4,2.2,2.6,4.6,10.3,0.446,3.5,4.7,0.742,3.4,7.2,0.478,1.1,3.1,0.371,1,1
768,1043,Frank Kaminsky,Wisconsin,Big Ten,2012,8.24,35,0,7.7,1.8,0.8,0.6,1.4,0.3,0.1,0.4,0.3,1.0,0.7,1.6,0.411,0.2,0.4,0.5,0.4,0.6,0.619,0.3,1.0,0.28600000000000003,1,0
769,1044,Frank Kaminsky,Wisconsin,Big Ten,2013,9.73,32,2,10.3,4.2,1.1,0.7,1.8,0.8,0.4,0.5,0.3,1.3,1.3,3.1,0.439,1.0,1.3,0.767,0.9,1.7,0.547,0.4,1.4,0.311,2,0
770,1045,Frank Kaminsky,Wisconsin,Big Ten,2014,10.19,38,38,27.2,13.9,4.2,2.1,6.3,1.3,0.7,1.7,1.0,2.5,5.2,9.8,0.528,2.7,3.5,0.765,4.2,7.2,0.5820000000000001,1.0,2.6,0.378,3,0
771,1046,Frank Kaminsky,Wisconsin,Big Ten,2015,10.29,39,39,33.6,18.8,6.7,1.5,8.2,2.6,0.8,1.5,1.6,1.7,6.8,12.5,0.547,4.0,5.1,0.78,5.8,9.9,0.581,1.1,2.6,0.416,4,1
772,1048,Justise Winslow,Duke,ACC,2015,9.87,39,39,29.1,12.6,5.2,1.3,6.5,2.1,1.3,0.9,1.8,2.8,4.4,9.1,0.486,2.6,4.0,0.6409999999999999,3.3,6.3,0.516,1.2,2.8,0.418,1,1
773,1050,Myles Turner,Texas,Big 12,2015,9.07,34,7,22.2,10.1,5.2,1.3,6.5,0.6,0.3,2.6,1.4,2.4,3.4,7.6,0.455,2.8,3.3,0.8390000000000001,2.9,5.7,0.513,0.5,1.8,0.274,1,1
774,1052,Trey Lyles,Kentucky,SEC,2015,8.67,36,21,23.0,8.7,3.4,1.8,5.2,1.1,0.5,0.4,1.1,1.6,3.3,6.7,0.488,2.1,2.8,0.735,3.1,5.9,0.536,0.1,0.8,0.138,1,1
775,1054,Cameron Payne,Murray State,OVC,2014,-3.58,34,34,32.7,16.8,3.3,0.3,3.6,5.4,1.7,0.6,3.2,2.8,5.6,13.8,0.404,3.5,4.6,0.774,3.5,7.6,0.456,2.1,6.2,0.341,1,0
776,1055,Cameron Payne,Murray State,OVC,2015,-2.81,35,35,32.2,20.2,3.1,0.6,3.7,6.0,1.9,0.5,2.5,2.1,7.0,15.3,0.456,3.8,4.8,0.787,4.6,9.0,0.513,2.4,6.4,0.377,2,1
777,1057,Kelly Oubre,Kansas,Big 12,2015,12.13,36,27,21.0,9.3,3.8,1.1,5.0,0.8,1.1,0.4,1.2,2.0,3.1,6.9,0.444,2.2,3.1,0.718,2.1,4.3,0.4970000000000001,0.9,2.6,0.358,1,1
778,1059,Terry Rozier,Louisville,Big East,2014,4.79,37,10,18.9,7.0,2.3,0.8,3.1,1.8,1.0,0.1,0.6,1.5,2.5,6.3,0.401,1.0,1.4,0.7120000000000001,1.5,3.6,0.422,1.0,2.6,0.371,1,0
779,1060,Terry Rozier,Louisville,Big East,2015,8.98,36,35,35.0,17.1,4.4,1.2,5.6,3.0,2.0,0.2,2.2,1.7,5.9,14.5,0.411,3.9,4.9,0.79,4.6,10.1,0.456,1.3,4.4,0.306,2,1
780,1062,Rashad Vaughn,UNLV,MWC,2015,3.38,23,23,32.3,17.8,4.2,0.6,4.8,1.6,0.8,0.3,2.2,2.3,6.3,14.3,0.439,3.0,4.3,0.6940000000000001,3.9,8.1,0.481,2.3,6.1,0.383,1,1
781,1064,Sam Dekker,Wisconsin,Big Ten,2013,9.73,35,3,22.3,9.6,2.1,1.2,3.4,1.3,0.7,0.4,1.1,1.2,3.4,7.1,0.476,1.4,2.0,0.69,1.9,3.4,0.5670000000000001,1.4,3.7,0.391,1,0
782,1065,Sam Dekker,Wisconsin,Big Ten,2014,10.19,38,38,29.8,12.4,4.4,1.7,6.1,1.4,0.8,0.6,1.1,1.4,4.4,9.4,0.469,2.5,3.6,0.6859999999999999,3.3,6.0,0.55,1.1,3.4,0.326,2,0
783,1066,Sam Dekker,Wisconsin,Big Ten,2015,10.29,40,40,31.0,13.9,3.6,1.9,5.5,1.2,0.5,0.5,0.9,1.1,5.3,10.2,0.525,2.0,2.8,0.708,4.1,6.4,0.639,1.3,3.8,0.331,3,1
784,1068,Jerian Grant,Notre Dame,Big East,2012,6.47,34,33,36.2,12.3,2.3,0.5,2.9,5.0,1.3,0.2,1.8,1.7,3.6,9.6,0.38,3.3,4.1,0.8190000000000001,2.0,4.9,0.406,1.7,4.7,0.354,1,0
785,1069,Jerian Grant,Notre Dame,Big East,2013,7.22,35,34,36.3,13.3,2.5,0.3,2.9,5.5,1.3,0.2,2.9,1.8,4.5,11.0,0.406,2.9,3.9,0.737,3.0,6.7,0.446,1.5,4.3,0.344,2,0
786,1070,Jerian Grant,Notre Dame,Big East,2014,6.78,12,12,35.6,19.0,2.2,0.3,2.5,6.2,2.0,0.3,1.8,2.0,6.0,11.6,0.518,5.3,6.2,0.865,4.3,7.5,0.578,1.7,4.1,0.408,3,0
787,1071,Jerian Grant,Notre Dame,Big East,2015,7.02,38,38,37.1,16.5,2.7,0.3,3.0,6.7,1.7,0.5,2.2,2.0,5.4,11.2,0.478,4.5,5.7,0.78,4.1,7.1,0.5720000000000001,1.3,4.2,0.316,4,1
788,1073,Delon Wright,Utah,Pac-12,2014,6.21,33,33,36.4,15.5,5.5,1.3,6.8,5.3,2.5,1.3,2.5,1.8,5.3,9.4,0.561,4.6,5.8,0.7929999999999999,4.9,7.8,0.633,0.4,1.6,0.222,1,0
789,1074,Delon Wright,Utah,Pac-12,2015,7.42,35,35,33.3,14.5,4.0,1.0,4.9,5.1,2.1,1.0,1.9,1.4,4.7,9.3,0.509,4.4,5.2,0.836,4.0,7.2,0.5539999999999999,0.7,2.1,0.35600000000000004,2,1
790,1076,Justin Anderson,Virginia,ACC,2013,4.23,35,17,24.0,7.6,2.4,0.9,3.3,2.3,0.9,1.2,1.2,1.4,2.5,6.1,0.42,1.9,2.5,0.764,2.0,4.2,0.473,0.6,1.9,0.303,1,0
791,1077,Justin Anderson,Virginia,ACC,2014,7.86,37,5,21.6,7.8,2.5,0.7,3.2,1.5,0.4,0.8,1.4,1.6,2.6,6.4,0.407,1.8,2.6,0.716,1.8,3.6,0.493,0.8,2.8,0.294,2,0
792,1078,Justin Anderson,Virginia,ACC,2015,7.81,26,22,27.8,12.2,3.4,0.7,4.0,1.7,0.7,0.5,1.2,1.2,4.0,8.5,0.466,2.5,3.2,0.78,2.2,4.5,0.479,1.8,4.0,0.452,3,1
793,1080,Bobby Portis,Arkansas,SEC,2014,5.57,34,34,27.0,12.3,4.2,2.5,6.8,1.5,1.0,1.6,1.2,1.7,4.7,9.3,0.509,2.6,3.5,0.737,4.5,8.3,0.537,0.3,1.0,0.273,1,0
794,1081,Bobby Portis,Arkansas,SEC,2015,6.79,36,36,29.9,17.5,5.2,3.7,8.9,1.2,1.1,1.4,1.6,2.2,6.9,12.9,0.536,3.2,4.3,0.737,6.6,12.1,0.541,0.4,0.8,0.467,2,1
795,1083,Rondae Hollis-Jefferson,Arizona,Pac-10,2014,9.04,38,6,25.3,9.1,3.5,2.2,5.7,1.4,0.7,1.1,1.2,2.4,3.2,6.5,0.49,2.7,4.0,0.682,3.1,6.2,0.502,0.1,0.3,0.2,1,0
796,1084,Rondae Hollis-Jefferson,Arizona,Pac-10,2015,7.41,38,25,28.7,11.2,4.8,2.0,6.8,1.6,1.2,0.8,1.6,2.5,3.6,7.2,0.502,3.8,5.4,0.7070000000000001,3.5,6.5,0.537,0.2,0.8,0.207,2,1
797,1086,Tyus Jones,Duke,ACC,2015,9.87,39,39,33.9,11.8,3.0,0.5,3.5,5.6,1.5,0.1,1.9,1.2,3.5,8.3,0.417,3.7,4.2,0.889,2.3,5.1,0.44,1.2,3.2,0.379,1,1
798,1088,Jarell Martin,LSU,SEC,2014,6.61,32,25,26.2,10.3,2.8,1.8,4.6,0.9,0.8,0.7,1.6,2.4,3.8,8.0,0.471,1.9,2.8,0.6890000000000001,2.9,5.5,0.534,0.8,2.5,0.333,1,0
799,1089,Jarell Martin,LSU,SEC,2015,5.63,33,32,35.1,16.9,6.3,3.0,9.2,1.8,1.2,0.7,2.8,2.8,6.1,12.0,0.509,4.2,6.2,0.69,5.7,10.5,0.545,0.4,1.6,0.269,2,1
800,1091,Larry Nance Jr.,Wyoming,MWC,2012,1.43,33,0,17.9,4.1,2.7,1.3,4.0,0.4,0.8,0.6,0.8,1.7,1.5,3.2,0.462,1.1,1.3,0.8140000000000001,1.4,2.9,0.474,0.1,0.3,0.333,1,0
801,1092,Larry Nance Jr.,Wyoming,MWC,2013,4.61,33,33,32.0,10.7,5.0,1.9,6.9,1.2,1.3,0.7,1.5,2.6,3.9,7.3,0.5329999999999999,2.5,3.4,0.75,3.6,6.5,0.5589999999999999,0.3,0.9,0.345,2,0
802,1093,Larry Nance Jr.,Wyoming,MWC,2014,2.33,26,26,34.7,15.4,7.3,1.3,8.6,1.6,1.4,2.1,1.7,2.8,5.7,10.4,0.544,3.7,4.9,0.758,5.3,9.0,0.5920000000000001,0.3,1.4,0.243,3,0
803,1094,Larry Nance Jr.,Wyoming,MWC,2015,-0.04,31,30,34.9,16.1,5.8,1.4,7.2,2.5,1.2,1.2,2.3,2.2,6.0,11.6,0.514,3.7,4.7,0.7859999999999999,5.5,10.3,0.5379999999999999,0.5,1.4,0.333,4,1
804,1096,R.J. Hunter,Georgia State,CAA,2013,-2.4,31,31,33.5,17.0,4.1,1.0,5.1,1.8,1.7,0.8,1.7,1.7,5.6,12.9,0.439,3.4,4.3,0.7759999999999999,3.3,6.4,0.513,2.4,6.5,0.365,1,0
805,1097,R.J. Hunter,Georgia State,CAA,2014,-2.56,33,32,33.5,18.3,4.2,0.3,4.6,1.7,1.9,0.9,1.2,2.3,5.5,12.4,0.444,4.3,4.9,0.882,2.5,4.7,0.523,3.0,7.7,0.395,2,0
806,1098,R.J. Hunter,Georgia State,CAA,2015,-2.03,35,35,37.0,19.7,3.9,0.8,4.7,3.6,2.1,1.0,2.2,2.4,5.8,14.7,0.395,5.8,6.6,0.878,3.5,7.2,0.488,2.3,7.5,0.305,3,1
807,1100,Chris McCullough,Syracuse,Big East,2015,7.68,16,16,28.1,9.3,4.6,2.3,6.9,1.1,1.7,2.1,2.2,2.6,3.4,7.1,0.478,2.5,4.4,0.563,3.3,7.0,0.473,0.1,0.1,1.0,1,1
808,1102,Kevon Looney,UCLA,Pac-10,2015,8.27,36,36,30.9,11.6,5.8,3.4,9.2,1.4,1.3,0.9,1.3,2.9,4.2,8.9,0.47,2.6,4.1,0.626,3.6,7.4,0.481,0.6,1.5,0.415,1,1
809,1104,Montrezl Harrell,Louisville,Big East,2013,9.13,40,3,16.2,5.7,2.1,1.6,3.6,0.2,0.5,0.7,0.6,1.3,2.4,4.2,0.5770000000000001,0.8,1.6,0.508,2.4,4.2,0.5770000000000001,0.0,0.0,0.0,1,0
810,1105,Montrezl Harrell,Louisville,Big East,2014,4.79,37,37,29.3,14.0,5.2,3.2,8.4,1.2,1.0,1.3,1.4,2.4,6.0,9.9,0.609,1.9,4.1,0.464,6.0,9.8,0.609,0.1,0.1,0.667,2,0
811,1106,Montrezl Harrell,Louisville,Big East,2015,8.98,35,35,35.1,15.7,6.0,3.2,9.2,1.4,0.9,1.2,2.0,2.1,6.1,10.7,0.5660000000000001,3.3,5.5,0.597,5.8,9.7,0.602,0.3,1.1,0.243,3,1
812,1108,Jordan Mickey,LSU,SEC,2014,6.61,34,34,32.8,12.8,5.6,2.3,7.9,1.1,0.6,3.1,2.3,2.2,5.1,9.5,0.534,2.7,3.9,0.695,5.1,9.3,0.5429999999999999,0.0,0.1,0.0,1,0
813,1109,Jordan Mickey,LSU,SEC,2015,5.63,31,31,34.9,15.4,6.7,3.2,9.9,1.3,0.9,3.6,3.3,2.6,6.2,12.2,0.504,3.1,4.7,0.6459999999999999,6.1,11.9,0.514,0.0,0.3,0.111,2,1
814,1111,Rakeem Christmas,Syracuse,Big East,2012,8.02,37,35,11.5,2.8,1.8,1.1,2.9,0.2,0.3,0.8,0.6,1.7,1.2,2.0,0.573,0.4,0.8,0.5710000000000001,1.2,2.0,0.573,0.0,0.0,0.0,1,0
815,1112,Rakeem Christmas,Syracuse,Big East,2013,8.57,40,40,20.9,5.1,2.8,1.8,4.6,0.2,0.5,1.8,0.9,2.5,2.2,4.1,0.53,0.8,1.4,0.574,2.2,4.1,0.53,0.0,0.0,0.0,2,0
816,1113,Rakeem Christmas,Syracuse,Big East,2014,7.25,34,34,23.6,5.8,3.0,2.1,5.1,0.7,0.5,1.9,0.8,3.1,2.2,3.6,0.613,1.3,1.8,0.726,2.2,3.6,0.613,0.0,0.0,0.0,3,0
817,1114,Rakeem Christmas,Syracuse,Big East,2015,7.68,31,31,34.3,17.5,6.0,3.1,9.1,1.5,0.9,2.5,2.5,3.4,6.5,11.9,0.552,4.4,6.2,0.7120000000000001,6.5,11.8,0.5529999999999999,0.0,0.0,0.0,4,1
818,1116,Richaun Holmes,Bowling Green State,MAC,2013,-1.75,32,2,18.8,6.5,2.6,2.4,5.0,0.2,0.5,2.3,0.8,2.1,2.8,4.3,0.633,1.0,1.6,0.62,2.8,4.3,0.642,0.0,0.1,0.0,1,0
819,1117,Richaun Holmes,Bowling Green State,MAC,2014,-0.2,32,31,32.0,13.3,5.0,2.7,7.7,0.9,1.1,2.8,1.8,2.8,4.7,9.3,0.507,3.5,5.0,0.706,4.3,8.0,0.539,0.4,1.3,0.3,2,0
820,1118,Richaun Holmes,Bowling Green State,MAC,2015,-1.25,31,30,28.8,14.7,5.2,2.8,8.0,0.8,0.7,2.7,1.9,2.5,5.3,9.5,0.563,3.5,4.9,0.7120000000000001,4.7,8.1,0.588,0.6,1.4,0.419,3,1
821,1120,Darrun Hilliard,Villanova,Big East,2012,7.64,29,9,18.1,4.8,2.0,0.4,2.4,1.0,0.4,0.3,0.8,1.8,1.6,4.3,0.373,0.8,1.0,0.767,0.9,1.9,0.481,0.7,2.5,0.292,1,0
822,1121,Darrun Hilliard,Villanova,Big East,2013,8.53,34,34,29.9,11.4,2.5,0.4,2.8,1.6,1.6,0.3,1.9,2.3,3.4,8.5,0.403,3.3,4.5,0.7390000000000001,2.3,4.9,0.47,1.1,3.6,0.315,2,0
823,1122,Darrun Hilliard,Villanova,Big East,2014,7.5,34,34,29.1,14.3,2.8,0.9,3.6,2.6,1.3,0.5,2.2,2.0,4.6,9.5,0.486,3.0,4.2,0.718,2.6,4.5,0.565,2.1,5.0,0.414,3,0
824,1123,Darrun Hilliard,Villanova,Big East,2015,7.55,35,35,28.8,14.3,2.7,0.5,3.1,2.1,1.8,0.3,1.2,2.2,4.9,11.0,0.44,2.3,2.9,0.7959999999999999,2.6,5.2,0.5,2.3,5.8,0.387,4,1
825,1125,Pat Connaughton,Notre Dame,Big East,2012,6.47,34,18,24.1,7.0,3.4,1.0,4.4,0.9,0.5,0.1,0.7,1.4,2.5,5.9,0.423,0.8,1.1,0.757,1.3,2.4,0.5429999999999999,1.2,3.5,0.342,1,0
826,1126,Pat Connaughton,Notre Dame,Big East,2013,7.22,35,35,32.1,8.9,4.0,0.7,4.7,2.1,0.5,0.3,0.9,1.5,3.1,7.0,0.445,1.0,1.4,0.708,1.5,2.6,0.56,1.7,4.4,0.377,2,0
827,1127,Pat Connaughton,Notre Dame,Big East,2014,6.78,32,32,37.2,13.8,5.9,1.2,7.1,3.0,1.0,0.6,1.1,1.8,4.8,10.7,0.452,1.7,2.1,0.833,2.5,4.4,0.556,2.4,6.3,0.378,3,0
828,1128,Pat Connaughton,Notre Dame,Big East,2015,7.02,38,38,35.6,12.5,6.3,1.1,7.4,1.5,0.7,0.9,1.2,2.0,4.4,9.4,0.466,1.3,1.7,0.7809999999999999,1.9,3.6,0.537,2.4,5.8,0.423,4,1
829,1130,Olivier Hanlan,Boston College,ACC,2013,7.03,33,33,34.2,15.5,3.4,0.8,4.2,2.3,1.2,0.1,2.2,2.0,5.1,11.0,0.459,3.8,5.1,0.75,3.5,7.2,0.494,1.5,3.8,0.394,1,0
830,1131,Olivier Hanlan,Boston College,ACC,2014,8.62,32,31,36.3,18.5,3.1,0.4,3.4,2.9,0.8,0.1,2.4,2.6,5.4,12.1,0.447,5.8,7.1,0.8109999999999999,3.5,6.6,0.531,1.9,5.5,0.34700000000000003,2,0
831,1132,Olivier Hanlan,Boston College,ACC,2015,7.94,32,31,37.6,19.5,3.5,0.8,4.2,4.2,1.3,0.0,2.7,2.1,7.0,15.5,0.454,3.4,4.5,0.759,5.0,9.8,0.513,2.0,5.8,0.353,3,1
832,1134,Joseph Young,Houston,CUSA,2012,0.21,30,16,30.1,11.3,2.9,0.7,3.6,2.4,0.9,0.2,1.8,1.9,4.1,9.8,0.416,1.4,1.6,0.8370000000000001,2.2,5.0,0.45,1.8,4.8,0.382,1,0
833,1135,Joseph Young,Houston,CUSA,2013,-3.77,32,30,32.8,18.0,2.9,0.6,3.5,2.5,0.6,0.0,1.3,1.3,5.8,12.6,0.458,4.4,5.0,0.875,3.7,7.7,0.482,2.1,4.9,0.42,2,0
834,1136,Joseph Young,Oregon,Pac-12,2014,8.05,34,34,31.1,18.9,2.1,0.8,2.8,1.9,1.3,0.0,1.1,1.4,6.1,12.6,0.48,4.6,5.2,0.8809999999999999,3.8,7.2,0.528,2.2,5.4,0.415,3,0
835,1137,Joseph Young,Oregon,Pac-12,2015,7.65,36,35,36.7,20.7,3.9,0.5,4.4,3.8,1.1,0.0,2.4,1.4,7.4,16.4,0.448,3.4,3.7,0.925,4.8,9.4,0.516,2.5,7.1,0.35700000000000004,4,1
836,1139,Andrew Harrison,Kentucky,SEC,2014,9.89,40,39,31.7,10.9,2.4,0.8,3.2,4.0,0.5,0.2,2.7,3.0,3.0,8.3,0.3670000000000001,4.0,5.2,0.764,2.2,5.9,0.373,0.8,2.4,0.35100000000000003,1,0
837,1140,Andrew Harrison,Kentucky,SEC,2015,8.67,39,39,25.5,9.3,1.9,0.3,2.2,3.6,1.0,0.2,1.6,1.8,2.6,6.8,0.378,3.2,4.1,0.792,1.7,4.4,0.376,0.9,2.4,0.383,2,1
838,1142,Norman Powell,UCLA,Pac-10,2012,5.28,33,1,17.8,4.6,2.0,0.3,2.2,1.2,0.5,0.3,0.7,1.4,1.8,4.7,0.377,0.3,0.5,0.6,1.0,2.4,0.405,0.8,2.3,0.34700000000000003,1,0
839,1143,Norman Powell,UCLA,Pac-10,2013,7.82,35,9,22.1,6.1,2.1,0.1,2.2,1.1,0.7,0.5,1.1,1.9,2.3,5.2,0.434,0.8,1.1,0.675,1.5,2.6,0.578,0.8,2.6,0.293,2,0
840,1144,Norman Powell,UCLA,Pac-10,2014,7.62,37,37,25.7,11.4,2.2,0.6,2.8,1.7,1.4,0.4,1.0,2.3,4.1,7.8,0.5329999999999999,2.6,3.3,0.78,3.6,5.9,0.607,0.5,1.8,0.294,3,0
841,1145,Norman Powell,UCLA,Pac-10,2015,8.27,36,36,34.6,16.4,4.1,0.6,4.7,2.1,1.8,0.4,2.2,2.5,5.9,13.0,0.456,3.5,4.7,0.7509999999999999,4.9,9.7,0.503,1.1,3.3,0.319,4,1
842,1147,Dakari Johnson,Kentucky,SEC,2014,9.89,39,18,14.1,5.2,1.9,2.0,3.9,0.3,0.2,0.6,0.6,2.0,2.1,3.7,0.569,1.0,2.2,0.447,2.1,3.7,0.569,0.0,0.0,0.0,1,0
843,1148,Dakari Johnson,Kentucky,SEC,2015,8.67,39,0,16.3,6.4,2.9,1.7,4.6,0.7,0.4,0.9,1.1,1.8,2.0,4.0,0.506,2.3,3.7,0.625,2.0,4.0,0.506,0.0,0.0,0.0,2,1
844,1150,Tyler Harvey,Eastern Washington,Big Sky,2013,-5.48,21,4,14.0,7.1,1.9,0.4,2.3,1.5,0.7,0.1,1.0,1.5,2.8,5.3,0.523,0.5,1.1,0.435,1.7,2.8,0.603,1.1,2.5,0.434,1,0
845,1151,Tyler Harvey,Eastern Washington,Big Sky,2014,-4.15,31,31,37.4,21.8,3.5,0.7,4.2,2.7,1.1,0.3,2.1,2.3,6.6,15.0,0.443,5.0,5.6,0.897,3.1,6.9,0.455,3.5,8.1,0.433,2,0
846,1152,Tyler Harvey,Eastern Washington,Big Sky,2015,-3.84,32,32,36.9,23.1,3.0,0.6,3.6,2.6,1.1,0.1,2.0,1.9,7.2,15.3,0.469,4.7,5.5,0.852,3.2,6.0,0.528,4.0,9.3,0.431,3,1
847,1154,Sir'Dominic Pointer,St. John's (NY),Big East,2012,6.98,32,24,30.0,6.6,3.3,1.3,4.6,1.5,1.6,0.9,1.7,3.2,2.6,6.5,0.404,1.1,2.0,0.5539999999999999,2.4,5.3,0.45,0.2,1.2,0.189,1,0
848,1155,Sir'Dominic Pointer,St. John's (NY),Big East,2013,7.16,32,19,26.9,6.9,4.3,1.2,5.5,2.8,1.4,0.9,1.8,3.0,2.5,4.9,0.51,1.6,2.5,0.6579999999999999,2.2,4.1,0.546,0.3,0.8,0.333,2,0
849,1156,Sir'Dominic Pointer,St. John's (NY),Big East,2014,6.56,33,1,21.2,5.9,2.6,0.5,3.2,1.8,1.2,1.1,1.2,2.2,2.0,4.6,0.438,1.7,2.4,0.731,1.9,4.0,0.481,0.1,0.6,0.15,3,0
850,1157,Sir'Dominic Pointer,St. John's (NY),Big East,2015,9.04,33,32,34.6,13.7,5.7,1.9,7.7,3.0,1.9,2.4,2.0,3.0,5.3,10.1,0.524,3.0,4.2,0.725,5.2,9.4,0.56,0.1,0.8,0.08,4,1
851,1159,Cady Lalanne,UMass,A-10,2012,2.97,14,0,14.9,6.7,3.4,2.3,5.6,0.2,0.0,1.5,1.6,1.9,2.8,5.1,0.5489999999999999,0.9,1.4,0.6,2.5,4.2,0.593,0.3,0.9,0.333,1,0
852,1160,Cady Lalanne,UMass,A-10,2013,4.55,32,15,22.1,8.4,4.4,3.0,7.4,0.2,0.4,1.4,1.4,2.4,3.2,5.8,0.5539999999999999,2.0,2.8,0.7190000000000001,3.2,5.5,0.5770000000000001,0.0,0.3,0.111,2,0
853,1161,Cady Lalanne,UMass,A-10,2014,6.0,33,33,29.0,11.3,4.8,3.1,7.9,0.2,0.5,2.2,1.8,2.6,4.4,7.9,0.5529999999999999,2.5,3.7,0.672,4.3,7.7,0.563,0.1,0.2,0.25,3,0
854,1162,Cady Lalanne,UMass,A-10,2015,4.69,32,32,29.0,11.6,6.1,3.4,9.5,0.3,0.6,1.9,2.5,2.7,4.3,7.8,0.552,2.8,4.5,0.636,4.2,7.3,0.5820000000000001,0.1,0.6,0.16699999999999998,4,1
855,1164,Branden Dawson,Michigan State,Big Ten,2012,9.81,31,31,20.6,8.4,2.3,2.2,4.5,0.9,0.9,0.8,1.4,1.3,3.5,6.1,0.5770000000000001,1.3,2.2,0.594,3.5,6.0,0.586,0.0,0.1,0.0,1,0
856,1165,Branden Dawson,Michigan State,Big Ten,2013,10.55,36,35,26.9,8.9,3.8,2.1,5.9,1.3,1.6,0.9,2.0,1.6,3.9,7.3,0.531,1.2,2.2,0.5379999999999999,3.9,7.1,0.541,0.0,0.1,0.0,2,0
857,1166,Branden Dawson,Michigan State,Big Ten,2014,9.38,28,24,28.3,11.2,5.4,3.0,8.3,1.6,1.3,0.9,1.3,1.5,4.9,7.9,0.613,1.5,2.3,0.6559999999999999,4.9,7.9,0.615,0.0,0.0,0.0,3,0
858,1167,Branden Dawson,Michigan State,Big Ten,2015,10.0,35,32,30.1,11.9,6.2,2.9,9.1,1.7,1.2,1.7,1.9,2.1,5.2,9.7,0.535,1.5,3.0,0.49,5.2,9.7,0.535,0.0,0.0,0.0,4,1
859,1169,J.P. Tokoto,UNC,ACC,2013,8.01,35,0,8.6,2.6,0.9,0.8,1.7,0.7,0.5,0.1,0.9,0.8,1.1,2.3,0.488,0.3,0.7,0.385,1.1,2.0,0.5489999999999999,0.0,0.3,0.091,1,0
