,level_0,index,Name,School,Conf,Season,SOS,G,GS,MP,PTS,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,FT,FTA,FT%,2P,2PA,2P%,3P,3PA,3P%,year,last
156,441,597,Terrence Jones,Kentucky,SEC,2012,7.93,38,34,29.3,12.3,4.6,2.5,7.2,1.3,1.3,1.8,1.6,2.4,4.7,9.3,0.5,2.6,4.2,0.627,4.2,8.0,0.528,0.4,1.3,0.327,2,1
157,445,602,Andrew Nicholson,St. Bonaventure,A-10,2012,2.84,32,32,30.1,18.5,5.8,2.6,8.4,1.0,0.7,2.0,2.5,2.8,6.9,12.0,0.5710000000000001,4.0,5.2,0.7759999999999999,6.2,10.4,0.593,0.7,1.7,0.434,4,1
158,447,605,Jared Sullinger,Ohio State,Big Ten,2012,9.07,37,36,30.4,17.5,6.1,3.1,9.2,1.2,1.2,1.1,1.9,2.9,6.2,11.9,0.519,4.7,6.2,0.768,5.7,10.8,0.531,0.4,1.1,0.4,2,1
159,449,608,Fab Melo,Syracuse,Big East,2012,8.02,30,30,25.4,7.8,3.2,2.7,5.8,0.7,0.5,2.9,1.4,2.8,3.3,5.8,0.5660000000000001,1.3,2.0,0.633,3.3,5.8,0.5660000000000001,0.0,0.0,0.0,2,1
160,452,612,John Jenkins,Vanderbilt,SEC,2012,8.04,35,35,33.6,19.9,2.4,0.5,2.9,1.2,0.8,0.3,1.6,1.2,6.2,13.1,0.474,3.7,4.4,0.8370000000000001,2.4,4.4,0.542,3.8,8.7,0.439,3,1
161,453,614,Tony Wroten,Washington,Pac-10,2012,5.27,35,27,30.3,16.0,2.7,2.3,5.0,3.7,1.9,0.4,3.8,2.7,5.7,12.8,0.443,4.4,7.5,0.583,5.4,11.2,0.483,0.3,1.6,0.161,1,1
162,457,619,Miles Plumlee,Duke,ACC,2012,8.4,34,16,20.5,6.6,4.2,2.9,7.1,0.5,0.5,0.9,1.2,2.3,2.6,4.3,0.61,1.4,2.2,0.632,2.6,4.3,0.61,0.0,0.0,0.0,4,1
163,460,623,Arnett Moultrie,Mississippi State,SEC,2012,4.86,30,30,35.8,16.4,6.8,3.7,10.5,1.2,0.8,0.8,2.4,2.2,6.0,10.9,0.5489999999999999,4.1,5.3,0.78,5.7,10.3,0.555,0.3,0.6,0.444,3,1
164,462,626,Perry Jones,Baylor,Big 12,2012,8.03,33,33,30.7,13.5,4.9,2.7,7.6,1.3,0.8,0.6,1.7,2.3,5.5,11.0,0.5,2.2,3.1,0.696,5.2,10.0,0.52,0.3,1.0,0.303,2,1
165,463,628,Marquis Teague,Kentucky,SEC,2012,7.93,40,40,32.6,10.0,2.1,0.4,2.5,4.8,0.9,0.3,2.7,2.3,3.6,8.8,0.412,2.1,3.0,0.7140000000000001,3.0,6.8,0.438,0.7,2.0,0.325,1,1
166,467,633,Festus Ezeli,Vanderbilt,SEC,2012,8.04,26,22,23.2,10.1,3.5,2.4,5.9,0.3,0.4,2.0,2.2,3.2,3.4,6.3,0.539,3.2,5.3,0.604,3.4,6.3,0.539,0.0,0.0,0.0,4,1
167,469,636,Bernard James,Florida State,ACC,2012,7.62,35,35,28.0,10.8,5.0,3.1,8.1,0.5,0.7,2.3,2.1,1.9,4.5,7.4,0.606,1.8,3.3,0.552,4.5,7.4,0.606,0.0,0.0,0.0,2,1
168,471,639,Jae Crowder,Marquette,Big East,2012,7.5,35,35,32.9,17.5,6.4,2.0,8.4,2.1,2.5,1.0,1.3,2.7,6.2,12.5,0.498,3.4,4.6,0.735,4.5,7.4,0.602,1.7,5.1,0.345,2,1
169,475,644,Draymond Green,Michigan State,Big Ten,2012,9.81,37,36,33.2,16.2,8.5,2.1,10.6,3.8,1.5,0.9,3.0,2.8,5.7,12.8,0.449,3.4,4.7,0.723,4.3,9.1,0.473,1.4,3.6,0.388,4,1
170,479,649,Orlando Johnson,UCSB,Big West,2012,-1.38,31,31,34.4,19.7,4.1,1.7,5.8,2.9,1.1,0.7,2.5,1.8,6.7,14.8,0.451,4.1,5.9,0.698,4.4,9.5,0.464,2.3,5.3,0.4270000000000001,4,1
171,483,654,Quincy Acy,Baylor,Big 12,2012,8.03,38,38,29.7,12.0,4.8,2.6,7.4,1.0,0.9,1.8,1.9,3.1,4.2,7.2,0.5770000000000001,3.6,4.6,0.782,4.1,7.1,0.5760000000000001,0.1,0.1,0.6,4,1
172,484,656,Quincy Miller,Baylor,Big 12,2012,8.03,37,35,24.4,10.6,3.5,1.5,4.9,1.4,0.7,0.6,1.8,1.9,3.7,8.4,0.447,2.5,3.1,0.816,3.1,6.5,0.475,0.6,1.9,0.348,1,1
173,487,660,Khris Middleton,Texas A&M,Big 12,2012,6.54,20,17,28.8,13.2,3.7,1.3,5.0,2.3,1.0,0.3,2.2,1.9,5.1,12.3,0.415,2.0,2.6,0.75,4.1,8.5,0.485,1.0,3.9,0.26,3,1
174,489,663,Will Barton,Memphis,CUSA,2012,5.26,35,34,35.3,18.0,6.0,2.0,8.0,2.9,1.4,0.7,2.1,2.1,6.6,12.9,0.509,3.8,5.1,0.7490000000000001,5.5,9.9,0.5589999999999999,1.1,3.1,0.34600000000000003,2,1
175,493,668,Tyshawn Taylor,Kansas,Big 12,2012,9.93,39,38,33.4,16.6,2.1,0.2,2.3,4.8,1.3,0.2,3.5,2.0,5.8,12.2,0.477,3.5,5.1,0.688,4.3,8.3,0.522,1.5,3.9,0.382,4,1
176,495,671,Doron Lamb,Kentucky,SEC,2012,7.93,40,35,31.2,13.7,2.3,0.4,2.7,1.5,0.5,0.1,1.1,1.8,4.4,9.2,0.474,3.1,3.7,0.826,2.5,5.2,0.481,1.9,4.1,0.466,2,1
177,499,676,Kim English,Missouri,Big 12,2012,5.68,35,35,33.6,14.5,3.4,0.9,4.2,1.6,1.3,0.3,1.7,2.4,4.9,9.4,0.521,2.5,3.4,0.725,2.7,4.5,0.589,2.2,4.9,0.459,4,1
178,503,681,Darius Miller,Kentucky,SEC,2012,7.93,40,11,26.1,9.9,1.9,0.9,2.8,2.1,0.8,0.3,1.5,2.2,3.6,7.6,0.474,1.4,1.7,0.797,2.2,3.8,0.569,1.4,3.7,0.376,4,1
179,507,686,Kevin Murphy,Tennessee Tech,OVC,2012,-3.06,33,32,34.5,20.6,4.3,0.9,5.2,2.3,0.8,0.2,3.3,2.2,7.2,16.3,0.444,3.8,5.2,0.721,4.8,10.5,0.46,2.4,5.8,0.416,4,1
180,511,691,Kyle O'Quinn,Norfolk State,MEAC,2012,-5.39,36,36,31.3,15.9,7.2,3.2,10.3,1.4,0.7,2.7,2.6,3.3,5.7,9.9,0.573,4.3,6.2,0.696,5.5,9.1,0.61,0.2,0.9,0.188,4,1
181,515,696,Kris Joseph,Syracuse,Big East,2012,8.02,37,37,32.2,13.4,3.2,1.5,4.7,1.5,1.4,0.6,1.5,1.7,4.4,10.5,0.421,3.2,4.2,0.745,3.1,6.5,0.467,1.4,4.0,0.345,4,1
182,518,700,Darius Johnson-Odom,Marquette,Big East,2012,7.5,34,33,32.9,18.3,2.9,0.6,3.5,2.7,0.9,0.1,2.4,2.0,6.2,13.8,0.447,3.7,4.9,0.764,3.9,7.9,0.493,2.3,5.9,0.385,3,1
183,522,705,Robbie Hummel,Purdue,Big Ten,2012,8.05,35,35,32.2,16.4,5.6,1.6,7.2,1.9,0.7,1.2,0.9,2.1,5.5,13.3,0.417,3.2,3.9,0.825,3.5,7.9,0.44,2.1,5.4,0.383,4,1
184,526,710,Marcus Denmon,Missouri,Big 12,2012,5.68,35,35,34.6,17.7,4.0,1.0,5.0,2.1,1.5,0.0,1.2,1.0,5.7,12.4,0.46,3.4,3.8,0.8959999999999999,2.9,5.5,0.526,2.8,6.9,0.407,4,1
185,531,716,Robert Sacre,Gonzaga,WCC,2012,3.25,33,33,26.3,11.6,4.3,2.0,6.3,0.7,0.4,1.4,1.8,2.2,3.5,6.9,0.511,4.5,6.0,0.7609999999999999,3.5,6.9,0.515,0.0,0.1,0.0,5,1
186,532,718,Anthony Bennett,UNLV,MWC,2013,5.71,35,31,27.1,16.1,5.7,2.5,8.1,1.0,0.7,1.2,1.9,2.3,5.8,10.8,0.5329999999999999,3.5,5.1,0.701,4.7,8.1,0.5870000000000001,1.0,2.7,0.375,1,1
187,535,722,Victor Oladipo,Indiana,Big Ten,2013,8.38,36,36,28.4,13.6,3.7,2.6,6.3,2.1,2.2,0.8,2.3,2.5,5.1,8.4,0.599,2.7,3.6,0.746,4.2,6.6,0.644,0.8,1.9,0.441,3,1
188,537,725,Otto Porter,Georgetown,Big East,2013,7.59,31,30,35.4,16.2,5.7,1.8,7.5,2.7,1.8,0.9,1.5,2.0,5.4,11.3,0.48,3.9,5.1,0.777,4.0,8.0,0.504,1.4,3.3,0.422,2,1
189,539,728,Cody Zeller,Indiana,Big Ten,2013,8.38,36,36,29.5,16.5,5.2,2.8,8.0,1.3,1.0,1.3,2.3,2.2,5.5,9.8,0.564,5.4,7.2,0.757,5.5,9.8,0.5670000000000001,0.0,0.1,0.0,2,1
190,541,731,Alex Len,Maryland,ACC,2013,4.66,38,37,26.4,11.9,5.0,2.9,7.8,1.0,0.2,2.1,1.6,2.7,4.6,8.5,0.534,2.8,4.0,0.6859999999999999,4.5,8.3,0.544,0.0,0.2,0.125,2,1
191,542,733,Nerlens Noel,Kentucky,SEC,2013,5.78,24,24,31.9,10.5,6.8,2.7,9.5,1.6,2.1,4.4,1.9,2.6,4.1,6.9,0.59,2.3,4.3,0.529,4.1,6.9,0.59,0.0,0.0,0.0,1,1
192,543,735,Ben McLemore,Kansas,Big 12,2013,7.54,37,36,32.2,15.9,3.9,1.3,5.2,2.0,1.0,0.7,2.1,1.9,5.4,10.8,0.495,3.2,3.7,0.87,3.4,6.1,0.5529999999999999,2.0,4.7,0.42,1,1
193,545,738,Kentavious Caldwell-Pope,Georgia,SEC,2013,6.09,32,30,33.9,18.5,5.9,1.2,7.1,1.8,2.0,0.5,2.0,2.2,5.8,13.4,0.433,4.2,5.3,0.799,3.2,6.4,0.498,2.6,7.0,0.373,2,1
194,547,741,Trey Burke,Michigan,Big Ten,2013,10.05,39,39,35.3,18.6,2.6,0.5,3.2,6.7,1.6,0.5,2.2,1.9,6.6,14.4,0.463,3.4,4.3,0.8009999999999999,4.7,9.3,0.506,1.9,5.1,0.384,2,1
195,551,746,CJ McCollum,Lehigh,Patriot,2013,-3.01,12,11,31.0,23.9,4.0,1.0,5.0,2.9,1.4,0.3,2.7,1.8,8.0,16.2,0.495,5.2,6.1,0.8490000000000001,5.3,10.8,0.485,2.8,5.3,0.516,4,1
196,553,749,Michael Carter-Williams,Syracuse,Big East,2013,8.57,40,40,35.2,11.9,3.7,1.3,5.0,7.3,2.7,0.5,3.5,2.3,3.9,9.9,0.393,3.2,4.7,0.6940000000000001,3.0,6.9,0.436,0.9,3.0,0.294,2,1
197,554,751,Steven Adams,Pitt,Big East,2013,5.63,32,32,23.4,7.2,3.5,2.8,6.3,0.6,0.7,2.0,1.1,1.6,3.1,5.5,0.5710000000000001,1.0,2.2,0.443,3.1,5.5,0.5710000000000001,0.0,0.0,0.0,1,1
198,557,755,Kelly Olynyk,Gonzaga,WCC,2013,4.18,32,27,26.4,17.8,4.9,2.4,7.3,1.7,0.7,1.1,2.4,2.3,6.7,10.7,0.629,4.1,5.3,0.7759999999999999,6.4,9.8,0.66,0.3,0.9,0.3,3,1
199,558,757,Shabazz Muhammad,UCLA,Pac-10,2013,7.82,32,30,30.8,17.9,2.5,2.7,5.2,0.8,0.7,0.1,1.6,1.7,6.3,14.3,0.443,4.0,5.6,0.711,5.1,10.9,0.463,1.3,3.3,0.377,1,1
200,560,760,Shane Larkin,Miami (FL),ACC,2013,7.88,36,35,36.4,14.5,3.4,0.5,3.8,4.6,2.0,0.1,2.3,1.6,5.1,10.6,0.479,2.4,3.1,0.777,3.2,5.9,0.5379999999999999,1.9,4.7,0.406,2,1
201,563,764,Tony Snell,New Mexico,MWC,2013,6.63,35,35,31.2,12.5,2.2,0.4,2.6,2.9,0.8,0.5,2.1,1.3,4.1,9.7,0.422,2.5,2.9,0.843,2.3,5.1,0.452,1.8,4.7,0.39,3,1
202,566,768,Gorgui Dieng,Louisville,Big East,2013,9.13,33,32,31.1,9.8,6.0,3.4,9.4,2.0,1.3,2.5,1.8,2.6,3.8,7.1,0.534,2.2,3.4,0.652,3.8,7.1,0.534,0.0,0.0,0.0,3,1
203,570,773,Mason Plumlee,Duke,ACC,2013,9.54,36,36,34.7,17.1,7.2,2.7,9.9,1.9,1.0,1.4,2.9,2.6,6.1,10.3,0.599,4.8,7.1,0.6809999999999999,6.1,10.3,0.599,0.0,0.0,0.0,4,1
204,574,778,Solomon Hill,Arizona,Pac-10,2013,7.47,35,35,33.0,13.4,3.6,1.7,5.3,2.7,1.1,0.6,2.2,2.2,4.5,9.9,0.458,2.7,3.5,0.7659999999999999,2.9,5.7,0.508,1.6,4.2,0.39,4,1
205,577,782,Andre Roberson,Colorado,Big 12,2013,7.95,31,30,33.4,10.9,8.2,3.0,11.2,1.4,2.2,1.3,2.4,2.5,4.3,8.9,0.48,1.7,3.2,0.551,3.6,7.0,0.521,0.6,1.9,0.328,3,1
206,578,784,Archie Goodwin,Kentucky,SEC,2013,5.78,33,33,31.8,14.1,3.2,1.5,4.6,2.7,1.1,0.5,3.1,2.9,4.8,10.8,0.44,4.1,6.4,0.637,4.2,8.9,0.478,0.5,1.9,0.266,1,1
207,581,788,Allen Crabbe,California,Pac-10,2013,7.77,33,33,36.2,18.4,5.1,1.0,6.1,2.6,1.1,0.7,2.5,2.1,6.5,14.2,0.459,3.4,4.2,0.813,4.6,8.6,0.532,1.9,5.6,0.348,3,1
208,584,792,Carrick Felix,Arizona State,Pac-10,2013,4.6,35,34,35.3,14.6,6.1,2.1,8.1,1.6,1.4,1.1,2.0,3.0,5.4,10.8,0.5,2.3,3.5,0.664,3.9,6.8,0.573,1.5,4.0,0.374,3,1
209,588,797,Isaiah Canaan,Murray State,OVC,2013,-2.89,31,30,36.5,21.8,2.9,0.6,3.5,4.3,1.5,0.1,3.2,1.9,6.9,16.1,0.431,4.9,6.0,0.8220000000000001,3.9,7.9,0.494,3.0,8.2,0.37,4,1
210,592,802,Nate Wolters,South Dakota State,Summit,2013,-3.27,33,33,38.1,22.3,4.5,1.1,5.6,5.8,1.7,0.1,2.3,1.5,7.3,15.1,0.485,5.7,7.0,0.813,5.4,10.0,0.539,1.9,5.1,0.379,4,1
211,596,807,Jeff Withey,Kansas,Big 12,2013,7.54,37,36,30.9,13.7,6.4,2.1,8.5,0.9,0.8,3.9,2.0,2.1,5.0,8.6,0.5820000000000001,3.7,5.2,0.7140000000000001,5.0,8.6,0.58,0.0,0.0,1.0,4,1
212,597,809,Grant Jerrett,Arizona,Pac-10,2013,7.47,34,2,17.8,5.2,2.5,1.1,3.6,0.5,0.5,1.0,0.6,1.3,1.9,4.5,0.409,0.5,0.6,0.818,0.9,2.2,0.413,0.9,2.3,0.405,1,1
213,600,813,Jamaal Franklin,San Diego State,MWC,2013,6.19,32,32,33.1,16.9,7.8,1.8,9.5,3.3,1.6,0.8,3.4,2.6,5.2,12.5,0.411,5.3,6.8,0.7809999999999999,3.9,7.9,0.4920000000000001,1.3,4.6,0.272,3,1
214,602,816,Pierre Jackson,Baylor,Big 12,2013,7.13,36,35,34.8,19.8,3.1,0.7,3.8,7.1,1.5,0.0,3.4,2.2,6.0,14.1,0.4270000000000001,5.3,6.7,0.8,3.6,7.3,0.49,2.4,6.8,0.359,2,1
215,606,821,Mike Muscala,Bucknell,Patriot,2013,-1.96,34,34,31.7,18.7,8.2,2.9,11.1,2.3,0.5,2.4,1.7,2.2,6.7,13.1,0.509,5.3,6.7,0.789,6.6,12.6,0.519,0.1,0.5,0.25,4,1
216,610,826,Erick Green,Virginia Tech,ACC,2013,6.27,32,32,36.4,25.0,3.5,0.5,4.0,3.8,1.3,0.2,2.2,1.4,8.2,17.2,0.475,6.8,8.3,0.816,6.3,12.3,0.509,1.9,4.9,0.389,4,1
217,614,831,Erik Murphy,Florida,SEC,2013,6.83,36,34,26.4,12.2,3.9,1.6,5.5,1.4,0.6,0.7,1.4,2.8,4.6,8.8,0.516,1.1,1.4,0.784,2.6,4.4,0.579,2.0,4.4,0.453,4,1
218,616,834,James Ennis,Long Beach State,Big West,2013,1.92,33,32,33.1,16.5,4.7,2.0,6.7,2.1,1.8,1.3,3.0,2.3,5.5,11.2,0.491,3.8,4.6,0.8340000000000001,3.8,6.6,0.585,1.7,4.7,0.35700000000000004,2,1
219,620,839,Romero Osby,Oklahoma,Big 12,2013,7.09,32,31,28.5,16.0,5.0,2.1,7.0,1.3,0.6,0.8,1.3,2.4,5.4,10.3,0.526,4.8,6.1,0.794,5.2,9.8,0.525,0.3,0.5,0.529,4,1
220,623,843,Lorenzo Brown,NC State,ACC,2013,7.17,33,32,34.2,12.4,3.7,0.7,4.3,7.2,2.0,0.6,3.5,2.0,4.2,10.1,0.419,3.3,4.2,0.7709999999999999,3.6,7.8,0.465,0.6,2.3,0.263,3,1
221,627,848,Colton Iverson,Colorado State,MWC,2013,5.89,35,35,29.5,14.2,6.4,3.3,9.8,1.3,0.6,0.7,2.0,2.6,5.2,8.8,0.596,3.7,6.3,0.59,5.2,8.8,0.596,0.0,0.0,0.0,4,1
222,631,853,Arsalan Kazemi,Oregon,Pac-12,2013,5.77,35,27,29.0,9.4,7.2,2.8,10.0,1.4,2.0,0.7,1.5,1.9,3.2,5.4,0.595,2.9,4.3,0.675,3.2,5.4,0.598,0.0,0.0,0.0,4,1
223,635,858,Peyton Siva,Louisville,Big East,2013,9.13,40,40,31.2,10.0,2.1,0.3,2.4,5.7,2.3,0.2,2.7,2.6,3.5,8.6,0.404,2.1,2.5,0.867,2.5,5.3,0.476,1.0,3.3,0.28800000000000003,4,1
224,639,863,Alex Oriakhi,Missouri,Big 12,2013,6.0,34,34,25.8,11.2,5.3,3.1,8.4,0.4,0.6,1.6,1.4,2.3,4.1,6.4,0.639,3.1,4.2,0.746,4.1,6.4,0.639,0.0,0.0,0.0,4,1
225,642,867,Deshaun Thomas,Ohio State,Big Ten,2013,9.32,37,37,35.4,19.8,4.2,1.7,5.9,1.3,0.5,0.3,1.4,1.5,7.0,15.8,0.444,3.8,4.6,0.8340000000000001,5.1,10.1,0.5,1.9,5.6,0.344,3,1
226,643,869,Andrew Wiggins,Kansas,Big 12,2014,11.4,35,35,32.8,17.1,3.7,2.2,5.9,1.5,1.2,1.0,2.3,2.7,5.4,12.1,0.448,5.0,6.5,0.775,4.2,8.5,0.493,1.2,3.6,0.341,1,1
227,644,871,Jabari Parker,Duke,ACC,2014,8.48,35,35,30.7,19.1,5.7,3.0,8.7,1.2,1.1,1.2,2.3,2.4,6.7,14.3,0.473,4.6,6.1,0.748,5.7,11.2,0.504,1.1,3.0,0.358,1,1
228,645,873,Joel Embiid,Kansas,Big 12,2014,11.4,28,20,23.1,11.2,5.8,2.3,8.1,1.4,0.9,2.6,2.4,3.4,3.8,6.1,0.626,3.5,5.1,0.685,3.8,5.9,0.639,0.0,0.2,0.2,1,1
229,646,875,Aaron Gordon,Arizona,Pac-10,2014,9.04,38,38,31.2,12.4,5.3,2.7,8.0,2.0,0.9,1.0,1.4,2.4,5.0,10.1,0.495,2.0,4.7,0.422,4.6,8.9,0.513,0.4,1.2,0.35600000000000004,1,1
230,648,878,Marcus Smart,Oklahoma State,Big 12,2014,8.34,31,31,32.7,18.0,4.5,1.4,5.9,4.8,2.9,0.6,2.6,2.9,5.3,12.5,0.422,5.9,8.1,0.728,3.7,7.2,0.514,1.6,5.3,0.299,2,1
231,649,880,Julius Randle,Kentucky,SEC,2014,9.89,40,40,30.8,15.0,6.9,3.5,10.4,1.4,0.5,0.8,2.5,2.3,4.9,9.8,0.501,5.1,7.2,0.706,4.8,9.3,0.517,0.1,0.5,0.16699999999999998,1,1
232,651,883,Nik Stauskas,Michigan,Big Ten,2014,9.65,36,36,35.6,17.5,2.5,0.4,2.9,3.3,0.6,0.3,1.9,1.3,5.1,10.9,0.47,4.7,5.7,0.8240000000000001,2.6,5.2,0.5,2.6,5.8,0.442,2,1
233,652,885,Noah Vonleh,Indiana,Big Ten,2014,6.64,30,29,26.5,11.3,6.6,2.4,9.0,0.6,0.9,1.4,2.1,2.7,3.8,7.2,0.523,3.2,4.5,0.716,3.2,6.1,0.53,0.5,1.1,0.485,1,1
234,655,889,Elfrid Payton,Louisiana,Sun Belt,2014,-0.28,35,34,35.9,19.2,3.7,2.3,6.0,5.9,2.3,0.6,3.6,2.4,6.8,13.3,0.509,5.3,8.6,0.609,6.4,11.8,0.541,0.4,1.5,0.259,3,1
235,659,894,Doug McDermott,Creighton,MVC,2014,7.17,35,35,33.7,26.7,5.3,1.6,7.0,1.6,0.2,0.1,1.8,1.9,9.4,17.9,0.526,5.1,5.9,0.8640000000000001,6.7,11.8,0.5670000000000001,2.7,6.1,0.449,4,1
236,660,896,Zach LaVine,UCLA,Pac-10,2014,7.62,37,1,24.4,9.4,2.1,0.5,2.5,1.8,0.9,0.2,1.1,2.0,3.4,7.8,0.441,1.3,1.8,0.691,2.1,4.3,0.494,1.3,3.5,0.375,1,1
237,662,899,T.J. Warren,NC State,ACC,2014,7.44,35,35,35.4,24.9,3.9,3.2,7.1,1.1,1.8,0.6,2.4,2.8,9.8,18.6,0.525,4.5,6.5,0.69,8.9,15.3,0.58,0.9,3.3,0.267,2,1
238,666,904,Adreian Payne,Michigan State,Big Ten,2014,9.38,31,28,28.1,16.4,5.7,1.5,7.3,1.3,0.5,0.9,2.0,2.6,5.7,11.4,0.503,3.5,4.5,0.79,4.3,8.1,0.536,1.4,3.4,0.423,4,1
239,667,906,James Young,Kentucky,SEC,2014,9.89,40,39,32.4,14.3,3.3,1.0,4.3,1.7,0.8,0.2,1.9,2.1,4.6,11.3,0.407,3.1,4.4,0.706,2.5,5.4,0.47,2.1,5.9,0.349,1,1
240,668,908,Tyler Ennis,Syracuse,Big East,2014,7.25,34,34,35.7,12.9,2.6,0.8,3.4,5.5,2.1,0.2,1.7,2.0,4.4,10.6,0.411,3.4,4.4,0.765,3.5,8.1,0.429,0.9,2.5,0.353,1,1
241,670,911,Gary Harris,Michigan State,Big Ten,2014,9.38,35,34,32.3,16.7,2.9,1.1,4.0,2.7,1.8,0.4,1.7,2.1,5.6,13.0,0.429,3.3,4.1,0.81,3.3,6.4,0.507,2.3,6.6,0.35200000000000004,2,1
242,672,914,Mitch McGary,Michigan,Big Ten,2014,9.65,8,4,24.8,9.5,5.4,2.9,8.3,1.5,1.9,0.8,1.6,3.1,3.8,6.9,0.545,2.0,3.0,0.667,3.8,6.6,0.5660000000000001,0.0,0.3,0.0,2,1
243,674,917,Jordan Adams,UCLA,Pac-10,2014,7.62,36,36,30.1,17.4,3.5,1.9,5.3,2.3,2.6,0.1,1.5,2.2,5.8,11.9,0.485,4.4,5.3,0.836,4.3,7.9,0.551,1.4,4.1,0.35600000000000004,2,1
244,676,920,Rodney Hood,Duke,ACC,2014,8.48,35,33,32.9,16.1,3.1,0.8,3.9,2.1,0.7,0.3,1.5,2.6,5.5,11.8,0.464,3.1,3.9,0.807,3.4,6.9,0.494,2.0,4.8,0.42,2,1
245,680,925,Shabazz Napier,UConn,Big East,2014,8.62,40,40,35.1,18.0,4.9,1.0,5.9,4.9,1.8,0.3,2.9,2.1,5.3,12.4,0.429,5.2,6.0,0.87,3.2,7.0,0.448,2.2,5.4,0.405,4,1
246,684,930,C.J. Wilcox,Washington,Pac-10,2014,6.45,32,31,34.9,18.3,3.0,0.7,3.7,2.5,1.0,1.0,1.7,2.3,6.2,13.6,0.453,3.2,3.7,0.873,3.3,6.4,0.522,2.8,7.2,0.391,4,1
247,688,935,Josh Huestis,Stanford,Pac-10,2014,9.0,36,36,35.2,11.2,5.7,2.5,8.2,1.2,0.6,1.9,1.2,2.1,4.3,9.6,0.451,1.8,2.8,0.627,3.6,7.5,0.483,0.7,2.1,0.338,4,1
248,690,938,Kyle Anderson,UCLA,Pac-10,2014,7.62,36,36,33.2,14.6,7.5,1.3,8.8,6.5,1.8,0.8,3.1,1.7,5.0,10.5,0.48,3.8,5.2,0.737,4.3,8.9,0.48,0.8,1.6,0.483,2,1
249,693,942,K.J. McDaniels,Clemson,ACC,2014,5.97,36,35,33.7,17.1,4.7,2.4,7.1,1.6,1.1,2.8,2.3,2.2,5.8,12.6,0.459,4.3,5.1,0.8420000000000001,4.6,8.8,0.527,1.2,3.8,0.304,3,1
250,695,945,Cleanthony Early,Wichita State,MVC,2014,1.73,36,36,27.4,16.4,4.6,1.3,5.9,0.8,0.8,0.8,1.9,2.3,5.2,10.7,0.484,4.2,5.0,0.8440000000000001,3.4,5.8,0.579,1.8,4.9,0.373,2,1
251,698,949,Jarnell Stokes,Tennessee,SEC,2014,7.84,37,37,32.4,15.1,6.4,4.2,10.6,2.0,0.7,0.9,2.1,2.0,5.4,10.1,0.531,4.3,6.2,0.696,5.4,10.1,0.531,0.0,0.0,0.0,3,1
252,701,953,Johnny O'Bryant III,LSU,SEC,2014,6.61,34,34,30.0,15.4,4.7,3.0,7.7,1.6,0.5,0.9,3.2,3.2,5.9,12.0,0.494,3.5,5.5,0.634,5.9,11.9,0.495,0.0,0.1,0.333,3,1
253,704,957,DeAndre Daniels,UConn,Big East,2014,8.62,38,38,29.0,13.1,4.6,1.4,6.0,0.4,0.7,1.4,1.5,2.4,4.9,10.6,0.469,1.8,2.3,0.787,3.6,7.4,0.491,1.3,3.2,0.417,3,1
254,707,961,Spencer Dinwiddie,Colorado,Big 12,2014,8.8,17,17,31.1,14.7,2.6,0.5,3.1,3.8,1.5,0.2,1.8,1.9,3.6,7.7,0.466,6.0,7.0,0.857,2.1,4.0,0.515,1.5,3.7,0.413,3,1
255,709,964,Jerami Grant,Syracuse,Big East,2014,7.25,32,20,31.4,12.1,4.3,2.4,6.8,1.4,0.8,0.6,1.2,2.3,4.2,8.4,0.496,3.8,5.6,0.674,4.2,8.2,0.506,0.0,0.2,0.0,2,1
256,711,967,Glenn Robinson III,Michigan,Big Ten,2014,9.65,37,37,32.3,13.1,3.0,1.5,4.4,1.2,0.9,0.3,1.2,1.5,4.9,10.1,0.488,2.4,3.1,0.757,4.0,7.2,0.562,0.9,2.9,0.306,2,1
257,714,971,Nick Johnson,Arizona,Pac-10,2014,9.04,38,38,33.1,16.3,3.2,0.8,4.1,2.8,1.1,0.7,1.7,2.0,5.4,12.5,0.4320000000000001,3.8,4.9,0.7809999999999999,3.8,8.0,0.469,1.6,4.4,0.3670000000000001,3,1
258,718,976,Markel Brown,Oklahoma State,Big 12,2014,8.34,34,34,35.3,17.2,4.2,1.1,5.3,2.9,1.0,1.0,1.6,2.5,5.6,11.8,0.473,4.4,5.7,0.768,4.0,7.6,0.525,1.6,4.3,0.379,4,1
259,722,981,Dwight Powell,Stanford,Pac-10,2014,9.0,36,36,32.4,14.0,4.9,1.9,6.9,3.1,1.3,0.8,2.9,3.1,4.9,10.5,0.462,4.0,5.9,0.687,4.6,9.4,0.485,0.3,1.1,0.256,4,1
260,725,985,Jordan Clarkson,Missouri,Big 12,2014,6.86,35,35,35.1,17.5,3.0,0.8,3.8,3.4,1.1,0.2,2.7,2.2,6.0,13.3,0.448,4.6,5.6,0.831,5.1,10.1,0.501,0.9,3.3,0.281,3,1
261,729,990,Russ Smith,Louisville,Big East,2014,4.79,37,36,29.3,18.2,2.5,0.8,3.3,4.6,2.0,0.1,2.8,2.5,6.1,13.0,0.468,4.1,5.9,0.705,4.2,8.1,0.517,1.9,4.9,0.387,4,1
