,level_0,index,Name,School,Conf,Season,SOS,G,GS,MP,PTS,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,FT,FTA,FT%,2P,2PA,2P%,3P,3PA,3P%,year,last
72,202,274,Dexter Pittman,Texas,Big 12,2010,7.38,34,34,19.1,10.4,2.9,3.0,5.9,0.5,0.4,1.9,1.8,2.6,4.1,6.3,0.654,2.2,4.0,0.556,4.1,6.3,0.654,0.0,0.0,0.0,4,1
73,203,276,Hassan Whiteside,Marshall,CUSA,2010,1.57,34,23,26.1,13.1,6.2,2.7,8.9,0.3,0.6,5.4,1.9,2.4,4.9,9.4,0.524,3.2,5.5,0.588,4.8,9.2,0.522,0.1,0.1,0.6,1,1
74,206,280,Armon Johnson,Nevada,WAC,2010,2.56,34,34,34.5,15.7,2.6,0.8,3.4,5.6,0.8,0.4,3.4,1.8,6.4,13.0,0.495,2.4,3.5,0.6779999999999999,5.9,10.9,0.544,0.5,2.1,0.239,3,1
75,208,283,Terrico White,Ole Miss,SEC,2010,5.77,35,34,31.5,15.1,3.0,1.6,4.6,1.5,0.9,0.2,1.3,1.8,5.5,12.8,0.43,2.4,3.4,0.7140000000000001,3.7,7.7,0.489,1.7,5.1,0.341,2,1
76,209,285,Darington Hobson,New Mexico,MWC,2010,3.84,35,35,33.6,15.9,7.1,2.1,9.3,4.6,1.3,0.4,3.0,1.9,5.5,12.5,0.44,3.7,5.7,0.653,4.4,9.5,0.465,1.1,3.1,0.361,1,1
77,213,290,Andy Rautins,Syracuse,Big East,2010,7.21,35,35,32.5,12.1,2.9,0.5,3.4,4.9,2.0,0.2,2.8,2.2,3.7,8.5,0.438,1.9,2.3,0.815,0.9,1.6,0.5710000000000001,2.8,6.9,0.407,4,1
78,217,295,Landry Fields,Stanford,Pac-10,2010,6.5,32,32,36.3,22.0,6.2,2.5,8.8,2.8,1.6,0.8,2.6,2.0,7.8,15.8,0.49,5.6,8.0,0.696,6.8,13.1,0.521,0.9,2.7,0.337,4,1
79,218,297,Lance Stephenson,Cincinnati,Big East,2010,8.45,34,32,28.2,12.3,3.5,1.9,5.4,2.5,0.9,0.2,2.4,1.9,4.8,10.8,0.44,2.3,3.5,0.664,4.3,8.7,0.495,0.5,2.1,0.219,1,1
80,222,302,Jarvis Varnado,Mississippi State,SEC,2010,4.6,36,36,31.7,13.8,7.3,3.0,10.3,0.9,0.7,4.7,2.0,2.4,5.1,8.8,0.5820000000000001,3.6,5.8,0.61,5.1,8.8,0.5820000000000001,0.0,0.0,0.0,4,1
81,226,307,Da'Sean Butler,West Virginia,Big East,2010,10.26,38,38,35.8,17.2,4.6,1.6,6.2,3.1,1.0,0.4,1.8,2.2,5.5,13.2,0.414,4.4,5.6,0.789,3.6,8.0,0.452,1.8,5.2,0.354,4,1
