,Name,School,Conf,Season,SOS,G,GS,MP,PTS,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,FT,FTA,FT%,2P,2PA,2P%,3P,3PA,3P%
900,T.J. Warren,NC State,ACC,Career,7.31,70,49,31.2,18.5,3.0,2.7,5.7,1.0,1.5,0.5,1.7,2.5,7.5,13.6,0.555,2.8,4.3,0.654,6.9,11.5,0.598,0.6,2.0,0.315
905,Adreian Payne,Michigan State,Big Ten,Career,10.35,138,94,20.0,8.9,3.8,1.5,5.3,0.6,0.6,1.0,1.4,2.2,3.2,6.2,0.526,2.0,2.7,0.755,2.8,5.1,0.551,0.4,1.1,0.409
907,James Young,Kentucky,SEC,Career,9.89,40,39,32.4,14.3,3.3,1.0,4.3,1.7,0.8,0.2,1.9,2.1,4.6,11.3,0.407,3.1,4.4,0.706,2.5,5.4,0.47,2.1,5.9,0.349
909,Tyler Ennis,Syracuse,Big East,Career,7.25,34,34,35.7,12.9,2.6,0.8,3.4,5.5,2.1,0.2,1.7,2.0,4.4,10.6,0.411,3.4,4.4,0.765,3.5,8.1,0.429,0.9,2.5,0.353
912,Gary Harris,Michigan State,Big Ten,Career,9.96,69,67,31.0,14.9,2.3,1.0,3.3,2.0,1.6,0.3,1.6,2.0,5.0,11.4,0.44,2.7,3.5,0.7879999999999999,2.9,5.7,0.503,2.1,5.6,0.376
915,Mitch McGary,Michigan,Big Ten,Career,9.85,47,12,20.6,7.8,4.0,2.6,6.6,0.8,1.2,0.7,1.3,2.5,3.5,5.9,0.588,0.8,1.6,0.513,3.5,5.9,0.5920000000000001,0.0,0.0,0.0
918,Jordan Adams,UCLA,Pac-10,Career,7.72,69,63,30.2,16.4,3.3,1.3,4.6,2.1,2.4,0.2,1.4,2.1,5.4,11.6,0.467,4.2,5.0,0.8390000000000001,4.0,7.3,0.5479999999999999,1.4,4.3,0.331
921,Rodney Hood,Overall,,Career,6.67,67,62,32.8,13.3,3.4,0.9,4.3,2.1,0.6,0.3,1.3,2.0,4.7,10.4,0.455,2.0,2.6,0.773,3.0,6.0,0.499,1.8,4.4,0.396
926,Shabazz Napier,UConn,Big East,Career,8.64,143,98,32.3,13.7,3.3,0.7,4.0,4.5,1.8,0.2,2.4,2.1,4.2,10.1,0.411,3.6,4.4,0.813,2.3,5.3,0.444,1.8,4.8,0.375
931,C.J. Wilcox,Washington,Pac-10,Career,6.67,131,83,28.5,14.4,2.5,0.8,3.4,1.6,0.9,0.7,1.4,1.9,4.9,11.3,0.433,2.3,2.7,0.84,2.6,5.4,0.481,2.3,5.9,0.389
936,Josh Huestis,Stanford,Pac-10,Career,6.38,135,75,25.0,7.5,4.0,2.2,6.2,0.8,0.5,1.4,0.9,1.7,2.9,6.4,0.451,1.3,2.1,0.61,2.4,4.9,0.4920000000000001,0.5,1.5,0.319
939,Kyle Anderson,UCLA,Pac-10,Career,7.72,71,70,31.6,12.2,7.0,1.7,8.7,5.0,1.8,0.8,2.6,1.9,4.3,9.4,0.452,3.1,4.3,0.736,3.8,8.1,0.465,0.5,1.4,0.375
943,K.J. McDaniels,Clemson,ACC,Career,4.6,94,61,24.3,11.0,3.0,1.8,4.8,0.9,0.9,1.9,1.5,1.8,3.9,8.6,0.45,2.4,3.2,0.767,3.0,5.8,0.516,0.9,2.8,0.313
946,Cleanthony Early,Wichita State,MVC,Career,3.91,75,58,26.2,15.1,3.8,1.8,5.7,0.7,0.8,0.8,1.7,2.4,4.9,10.5,0.47,3.7,4.6,0.8190000000000001,3.4,6.2,0.555,1.5,4.3,0.348
950,Jarnell Stokes,Tennessee,SEC,Career,6.82,87,84,29.7,13.0,5.7,3.9,9.6,1.5,0.7,1.1,2.1,2.2,4.7,8.9,0.53,3.5,5.6,0.628,4.7,8.9,0.532,0.0,0.0,0.0
954,Johnny O'Bryant III,LSU,SEC,Career,5.38,91,78,27.1,12.7,4.7,3.0,7.7,1.3,0.5,0.8,2.9,2.8,4.9,10.5,0.467,2.8,4.6,0.619,4.8,10.2,0.474,0.1,0.3,0.222
958,DeAndre Daniels,UConn,Big East,Career,8.04,99,80,23.8,9.6,3.5,1.2,4.6,0.5,0.6,1.2,1.3,2.0,3.6,8.0,0.454,1.5,2.0,0.752,2.8,5.6,0.499,0.8,2.4,0.349
962,Spencer Dinwiddie,Colorado,Big 12,Career,7.49,86,86,30.1,13.0,2.9,0.5,3.3,2.6,1.1,0.3,1.8,2.1,3.4,8.0,0.42,4.9,5.9,0.83,2.0,4.6,0.446,1.3,3.5,0.386
965,Jerami Grant,Syracuse,Big East,Career,7.91,72,29,21.9,7.5,2.9,1.7,4.7,0.9,0.6,0.5,0.9,1.8,2.6,5.3,0.486,2.2,3.5,0.6409999999999999,2.5,5.1,0.496,0.1,0.3,0.3
968,Glenn Robinson III,Michigan,Big Ten,Career,9.85,76,76,33.0,12.0,3.1,1.8,4.9,1.1,1.0,0.3,1.0,1.3,4.6,8.8,0.525,2.1,2.9,0.718,3.9,6.4,0.603,0.7,2.4,0.313
972,Nick Johnson,Arizona,Pac-10,Career,7.04,108,101,30.9,12.3,3.1,0.6,3.7,2.8,1.3,0.6,1.8,2.0,4.1,9.7,0.421,2.8,3.9,0.7340000000000001,2.8,6.0,0.459,1.3,3.7,0.359
977,Markel Brown,Oklahoma State,Big 12,Career,7.74,134,103,30.5,12.4,3.5,0.8,4.3,2.3,1.0,0.8,1.8,2.1,4.1,9.4,0.439,3.0,4.1,0.733,3.0,6.2,0.486,1.1,3.1,0.34700000000000003
982,Dwight Powell,Stanford,Pac-10,Career,6.38,136,105,26.2,10.8,4.6,1.7,6.3,1.8,0.9,0.9,2.1,2.9,3.8,8.2,0.464,3.0,4.1,0.722,3.5,7.3,0.484,0.2,0.8,0.289
986,Jordan Clarkson,Overall,,Career,4.32,93,75,31.7,15.4,2.5,0.8,3.3,2.7,0.9,0.3,2.7,2.3,5.1,11.6,0.44,4.2,5.2,0.805,4.1,8.4,0.485,1.0,3.2,0.322
991,Russ Smith,Louisville,Big East,Career,7.79,133,80,24.3,14.3,2.0,0.7,2.7,2.8,1.9,0.1,2.4,2.4,4.7,11.3,0.413,3.7,4.8,0.76,3.3,7.4,0.449,1.4,3.9,0.345
997,Lamar Patterson,Pitt,Big East,Career,6.86,149,106,24.3,9.5,2.8,1.2,3.9,2.9,1.0,0.3,1.6,1.9,3.2,7.4,0.435,1.9,2.6,0.723,2.1,4.3,0.483,1.1,3.1,0.369
1002,Cameron Bairstow,New Mexico,MWC,Career,4.93,134,55,20.8,9.2,3.0,1.7,4.8,0.8,0.5,0.7,1.2,2.1,3.1,6.0,0.517,3.0,4.2,0.7170000000000001,3.1,6.0,0.519,0.0,0.0,0.333
1007,Alec Brown,Green Bay,Horizon,Career,0.76,126,125,29.3,13.3,4.1,2.3,6.3,0.9,0.6,2.5,2.1,2.7,4.8,10.3,0.465,3.1,4.2,0.748,4.2,8.8,0.476,0.6,1.5,0.4
1010,Semaj Christon,Xavier,A-10,Career,6.55,64,63,34.8,16.2,2.5,0.3,2.8,4.4,1.4,0.2,3.1,2.4,5.7,12.3,0.462,4.4,6.6,0.67,5.3,11.1,0.476,0.4,1.2,0.338
