player,salary,season_end,season_start,team,team_name,salary_proportion,salary_scale,age
Moses Malone,2406000,1991,1990,ATL,Atlanta Hawks,0.008195855744763475,81.95855744763475,35
Dominique Wilkins,2065000,1991,1990,ATL,Atlanta Hawks,0.007034265217346873,70.34265217346872,30
Jon Koncak,1550000,1991,1990,ATL,Atlanta Hawks,0.0052799569428027375,52.799569428027375,27
Doc Rivers,895000,1991,1990,ATL,Atlanta Hawks,0.0030487493314893224,30.487493314893225,29
Rumeal Robinson,800000,1991,1990,ATL,Atlanta Hawks,0.0027251390672530258,27.251390672530256,24
Tim McCormick,775000,1991,1990,ATL,Atlanta Hawks,0.0026399784714013688,26.399784714013688,28
Kevin Willis,685000,1991,1990,ATL,Atlanta Hawks,0.0023334003263354034,23.334003263354035,28
Alexander Volkov,650000,1991,1990,ATL,Atlanta Hawks,0.0022141754921430833,22.141754921430834,26
John Battle,590000,1991,1990,ATL,Atlanta Hawks,0.0020097900620991067,20.097900620991066,28
Sidney Moncrief,510000,1991,1990,ATL,Atlanta Hawks,0.001737276155373804,17.37276155373804,33
Spud Webb,510000,1991,1990,ATL,Atlanta Hawks,0.001737276155373804,17.37276155373804,27
Gary Leonard,200000,1991,1990,ATL,Atlanta Hawks,0.0006812847668132564,6.812847668132564,23
Duane Ferrell,125000,1991,1990,ATL,Atlanta Hawks,0.0004258029792582853,4.258029792582852,25
Dominique Wilkins,3100000,1992,1991,ATL,Atlanta Hawks,0.008753254234033782,87.53254234033783,31
Jon Koncak,2000000,1992,1991,ATL,Atlanta Hawks,0.005647260796150827,56.47260796150827,28
Blair Rasmussen,1558000,1992,1991,ATL,Atlanta Hawks,0.0043992161602014945,43.992161602014946,29
Rumeal Robinson,1025000,1992,1991,ATL,Atlanta Hawks,0.002894221158027299,28.94221158027299,25
Maurice Cheeks,1000000,1992,1991,ATL,Atlanta Hawks,0.0028236303980754135,28.236303980754133,35
Travis Mays,1000000,1992,1991,ATL,Atlanta Hawks,0.0028236303980754135,28.236303980754133,23
Stacey Augmon,875000,1992,1991,ATL,Atlanta Hawks,0.002470676598315987,24.70676598315987,23
Kevin Willis,725000,1992,1991,ATL,Atlanta Hawks,0.0020471320386046747,20.471320386046745,29
Alexander Volkov,675000,1992,1991,ATL,Atlanta Hawks,0.001905950518700904,19.05950518700904,27
Duane Ferrell,500000,1992,1991,ATL,Atlanta Hawks,0.0014118151990377067,14.118151990377067,26
Rodney Monroe,217000,1992,1991,ATL,Atlanta Hawks,0.0006127277963823648,6.127277963823648,23
Gary Leonard,130000,1992,1991,ATL,Atlanta Hawks,0.00036707195174980376,3.670719517498038,24
Paul Graham,125000,1992,1991,ATL,Atlanta Hawks,0.0003529537997594267,3.5295379975942667,24
Dominique Wilkins,3500000,1993,1992,ATL,Atlanta Hawks,0.008763645434123201,87.63645434123201,32
Jon Koncak,2450000,1993,1992,ATL,Atlanta Hawks,0.006134551803886241,61.34551803886241,29
Kevin Willis,2425000,1993,1992,ATL,Atlanta Hawks,0.006071954336499647,60.71954336499647,30
Blair Rasmussen,1988000,1993,1992,ATL,Atlanta Hawks,0.004977750606581979,49.777506065819786,30
Roy Hinson,1250000,1993,1992,ATL,Atlanta Hawks,0.003129873369329715,31.298733693297148,31
Travis Mays,1200000,1993,1992,ATL,Atlanta Hawks,0.0030046784345565264,30.046784345565264,24
Stacey Augmon,1138000,1993,1992,ATL,Atlanta Hawks,0.0028494367154377723,28.494367154377723,24
Adam Keefe,1000000,1993,1992,ATL,Atlanta Hawks,0.0025038986954637717,25.038986954637718,22
Duane Ferrell,825000,1993,1992,ATL,Atlanta Hawks,0.002065716423757612,20.65716423757612,27
Mookie Blaylock,660000,1993,1992,ATL,Atlanta Hawks,0.0016525731390060895,16.525731390060894,25
Maurice Cheeks,600000,1993,1992,ATL,Atlanta Hawks,0.0015023392172782632,15.023392172782632,36
Paul Graham,500000,1993,1992,ATL,Atlanta Hawks,0.0012519493477318859,12.519493477318859,25
Jeff Sanders,250000,1993,1992,ATL,Atlanta Hawks,0.0006259746738659429,6.259746738659429,26
Morlon Wiley,250000,1993,1992,ATL,Atlanta Hawks,0.0006259746738659429,6.259746738659429,26
Dominique Wilkins,3500000,1994,1993,ATL,Atlanta Hawks,0.006995322018306698,69.95322018306697,33
Jon Koncak,2900000,1994,1993,ATL,Atlanta Hawks,0.00579612395802555,57.961239580255494,30
Kevin Willis,2625000,1994,1993,ATL,Atlanta Hawks,0.005246491513730024,52.46491513730024,31
Blair Rasmussen,2457000,1994,1993,ATL,Atlanta Hawks,0.004910716056851302,49.107160568513024,31
Mookie Blaylock,1630000,1994,1993,ATL,Atlanta Hawks,0.0032578213970971192,32.57821397097119,26
Roy Hinson,1445000,1994,1993,ATL,Atlanta Hawks,0.0028880686618437653,28.880686618437654,32
Stacey Augmon,1400000,1994,1993,ATL,Atlanta Hawks,0.002798128807322679,27.981288073226793,25
Andrew Lang,1228000,1994,1993,ATL,Atlanta Hawks,0.00245435869670875,24.5435869670875,27
Adam Keefe,1200000,1994,1993,ATL,Atlanta Hawks,0.0023983961205622964,23.983961205622965,23
Craig Ehlo,1200000,1994,1993,ATL,Atlanta Hawks,0.0023983961205622964,23.983961205622965,32
Duane Ferrell,1025000,1994,1993,ATL,Atlanta Hawks,0.0020486300196469616,20.486300196469617,28
Doug Edwards,650000,1994,1993,ATL,Atlanta Hawks,0.0012991312319712439,12.991312319712438,22
Paul Graham,600000,1994,1993,ATL,Atlanta Hawks,0.0011991980602811482,11.991980602811482,26
Greg Foster,250000,1994,1993,ATL,Atlanta Hawks,0.0004996658584504784,4.996658584504784,25
Steve Henson,250000,1994,1993,ATL,Atlanta Hawks,0.0004996658584504784,4.996658584504784,25
Ennis Whatley,150000,1994,1993,ATL,Atlanta Hawks,0.00029979951507028705,2.9979951507028706,31
Blair Rasmussen,2747500,1995,1994,ATL,Atlanta Hawks,0.006068756852697769,60.68756852697769,32
Craig Ehlo,2650000,1995,1994,ATL,Atlanta Hawks,0.005853396054467366,58.53396054467366,33
Jon Koncak,2600000,1995,1994,ATL,Atlanta Hawks,0.005742954619477415,57.429546194774154,31
Mookie Blaylock,2100000,1995,1994,ATL,Atlanta Hawks,0.004638540269577912,46.38540269577912,27
Ken Norman,1963000,1995,1994,ATL,Atlanta Hawks,0.004335930737705449,43.359307377054485,30
Steve Smith,1935900,1995,1994,ATL,Atlanta Hawks,0.004276071479940895,42.76071479940895,25
Stacey Augmon,1662500,1995,1994,ATL,Atlanta Hawks,0.0036721777134158472,36.72177713415847,26
Tyrone Corbin,1600000,1995,1994,ATL,Atlanta Hawks,0.0035341259196784093,35.341259196784094,32
Andrew Lang,1596000,1995,1994,ATL,Atlanta Hawks,0.0035252906048792135,35.252906048792134,28
Grant Long,1485300,1995,1994,ATL,Atlanta Hawks,0.0032807732678114634,32.80773267811463,28
Doug Edwards,845000,1995,1994,ATL,Atlanta Hawks,0.00186646025133016,18.6646025133016,23
Jim Les,250000,1995,1994,ATL,Atlanta Hawks,0.0005522071749497515,5.522071749497515,31
Sergei Bazarevich,168000,1995,1994,ATL,Atlanta Hawks,0.000371083221566233,3.71083221566233,29
Fred Vinson,150000,1995,1994,ATL,Atlanta Hawks,0.0003313243049698509,3.313243049698509,23
Greg Anderson,110000,1995,1994,ATL,Atlanta Hawks,0.00024297115697789065,2.4297115697789065,30
Tom Hovasse,6140,1995,1994,ATL,Atlanta Hawks,1.3562208216765896e-05,0.13562208216765897,27
Blair Rasmussen,3088000,1996,1995,ATL,Atlanta Hawks,0.004755063418810526,47.550634188105256,33
Steve Smith,2568000,1996,1995,ATL,Atlanta Hawks,0.0039543403042439865,39.54340304243986,26
Mookie Blaylock,2500000,1996,1995,ATL,Atlanta Hawks,0.0038496303584929776,38.49630358492978,28
Ken Norman,2416000,1996,1995,ATL,Atlanta Hawks,0.0037202827784476133,37.202827784476135,31
Stacey Augmon,2160000,1996,1995,ATL,Atlanta Hawks,0.0033260806297379327,33.260806297379325,27
Andrew Lang,1964000,1996,1995,ATL,Atlanta Hawks,0.003024269609632083,30.24269609632083,29
Grant Long,1860000,1996,1995,ATL,Atlanta Hawks,0.0028641249867187753,28.641249867187753,29
Craig Ehlo,1855000,1996,1995,ATL,Atlanta Hawks,0.002856425726001789,28.564257260017893,34
Spud Webb,1800000,1996,1995,ATL,Atlanta Hawks,0.002771733858114944,27.717338581149438,32
Alan Henderson,791000,1996,1995,ATL,Atlanta Hawks,0.001218023045427178,12.180230454271781,23
Donnie Boyce,250000,1996,1995,ATL,Atlanta Hawks,0.00038496303584929775,3.8496303584929774,22
Matt Bullard,225000,1996,1995,ATL,Atlanta Hawks,0.000346466732264368,3.4646673226436797,28
Todd Mundt,225000,1996,1995,ATL,Atlanta Hawks,0.000346466732264368,3.4646673226436797,25
Dikembe Mutombo,8013000,1997,1996,ATL,Atlanta Hawks,0.010612188031072932,106.12188031072932,30
Christian Laettner,4500000,1997,1996,ATL,Atlanta Hawks,0.005959671301613402,59.596713016134025,27
Steve Smith,4500000,1997,1996,ATL,Atlanta Hawks,0.005959671301613402,59.596713016134025,27
Ken Norman,2869000,1997,1996,ATL,Atlanta Hawks,0.0037996215476286334,37.99621547628633,32
Mookie Blaylock,2800000,1997,1996,ATL,Atlanta Hawks,0.0037082399210038946,37.08239921003894,29
Alan Henderson,910000,1997,1996,ATL,Atlanta Hawks,0.0012051779743262657,12.051779743262657,24
Priest Lauderdale,548000,1997,1996,ATL,Atlanta Hawks,0.0007257555273964766,7.2575552739647655,23
Eldridge Recasner,247500,1997,1996,ATL,Atlanta Hawks,0.0003277819215887371,3.277819215887371,29
Ivano Newbill,247500,1997,1996,ATL,Atlanta Hawks,0.0003277819215887371,3.277819215887371,26
Tyrone Corbin,247500,1997,1996,ATL,Atlanta Hawks,0.0003277819215887371,3.277819215887371,34
Willie Burton,247500,1997,1996,ATL,Atlanta Hawks,0.0003277819215887371,3.277819215887371,28
Donnie Boyce,247500,1997,1996,ATL,Atlanta Hawks,0.0003277819215887371,3.277819215887371,23
Jon Barry,247500,1997,1996,ATL,Atlanta Hawks,0.0003277819215887371,3.277819215887371,27
Henry James,181100,1997,1996,ATL,Atlanta Hawks,0.00023984366060493049,2.3984366060493048,31
Dikembe Mutombo,9615187,1998,1997,ATL,Atlanta Hawks,0.011818577723058096,118.18577723058097,31
Steve Smith,5400000,1998,1997,ATL,Atlanta Hawks,0.0066374496621348835,66.37449662134884,28
Christian Laettner,5050000,1998,1997,ATL,Atlanta Hawks,0.006207244591440956,62.072445914409556,28
Ken Norman,3332000,1998,1997,ATL,Atlanta Hawks,0.004095552273006191,40.95552273006191,33
Mookie Blaylock,3000000,1998,1997,ATL,Atlanta Hawks,0.0036874720345193793,36.87472034519379,30
Alan Henderson,1028400,1998,1997,ATL,Atlanta Hawks,0.0012640654134332433,12.640654134332433,25
Ed Gray,723840,1998,1997,ATL,Atlanta Hawks,0.0008897132524888359,8.89713252488836,22
Eldridge Recasner,326700,1998,1997,ATL,Atlanta Hawks,0.0004015657045591604,4.015657045591604,30
Tyrone Corbin,326700,1998,1997,ATL,Atlanta Hawks,0.0004015657045591604,4.015657045591604,35
Greg Anderson,272250,1998,1997,ATL,Atlanta Hawks,0.0003346380871326337,3.3463808713263368,33
Chucky Brown,272250,1998,1997,ATL,Atlanta Hawks,0.0003346380871326337,3.3463808713263368,29
Anthony Miller,272250,1998,1997,ATL,Atlanta Hawks,0.0003346380871326337,3.3463808713263368,26
Donald Whiteside,272250,1998,1997,ATL,Atlanta Hawks,0.0003346380871326337,3.3463808713263368,28
Chris Crawford,242000,1998,1997,ATL,Atlanta Hawks,0.0002974560774512299,2.974560774512299,22
Dikembe Mutombo,11218000,1999,1998,ATL,Atlanta Hawks,0.012686022086484325,126.86022086484324,32
Steve Smith,6300000,1999,1998,ATL,Atlanta Hawks,0.007124437434912751,71.24437434912751,29
Alan Henderson,4725000,1999,1998,ATL,Atlanta Hawks,0.0053433280761845635,53.43328076184564,26
Ken Norman,3775000,1999,1998,ATL,Atlanta Hawks,0.0042690081455231165,42.690081455231166,34
Mookie Blaylock,3600000,1999,1998,ATL,Atlanta Hawks,0.0040711071056644295,40.71107105664429,31
Grant Long,2977000,1999,1998,ATL,Atlanta Hawks,0.0033665794037675014,33.66579403767501,32
Tyrone Corbin,2400000,1999,1998,ATL,Atlanta Hawks,0.002714071403776286,27.14071403776286,36
LaPhonso Ellis,1750000,1999,1998,ATL,Atlanta Hawks,0.001979010398586875,19.79010398586875,28
Anthony Johnson,1000000,1999,1998,ATL,Atlanta Hawks,0.001130863084906786,11.30863084906786,24
Mark West,1000000,1999,1998,ATL,Atlanta Hawks,0.001130863084906786,11.30863084906786,38
Ed Gray,832440,1999,1998,ATL,Atlanta Hawks,0.0009413756663998049,9.413756663998049,23
Roshown McLeod,740000,1999,1998,ATL,Atlanta Hawks,0.0008368386828310216,8.368386828310216,23
Chris Crawford,350000,1999,1998,ATL,Atlanta Hawks,0.00039580207971737506,3.9580207971737504,23
Jeffrey Sheppard,287500,1999,1998,ATL,Atlanta Hawks,0.00032512313691070095,3.2512313691070096,24
Dikembe Mutombo,12820249,2000,1999,ATL,Atlanta Hawks,0.014927040667910294,149.27040667910293,33
Isaiah Rider,5410000,2000,1999,ATL,Atlanta Hawks,0.0062990422427360564,62.99042242736056,28
Alan Henderson,5318437,2000,1999,ATL,Atlanta Hawks,0.006192432408194164,61.924324081941634,27
Lorenzen Wright,4400000,2000,1999,ATL,Atlanta Hawks,0.005123065779674427,51.23065779674427,24
Bimbo Coles,2300000,2000,1999,ATL,Atlanta Hawks,0.002677966203011632,26.77966203011632,31
Chris Crawford,2000000,2000,1999,ATL,Atlanta Hawks,0.0023286662634883757,23.286662634883758,24
LaPhonso Ellis,1925000,2000,1999,ATL,Atlanta Hawks,0.002241341278607562,22.413412786075618,29
Jim Jackson,1925000,2000,1999,ATL,Atlanta Hawks,0.002241341278607562,22.413412786075618,29
Duane Ferrell,1625000,2000,1999,ATL,Atlanta Hawks,0.0018920413390843052,18.920413390843052,34
Jason Terry,1468920,2000,1999,ATL,Atlanta Hawks,0.0017103122238816724,17.103122238816724,22
Scot Pollard,1063680,2000,1999,ATL,Atlanta Hawks,0.0012384778655736579,12.384778655736579,24
Cal Bowdler,1025880,2000,1999,ATL,Atlanta Hawks,0.0011944660731937275,11.944660731937274,22
Roshown McLeod,914760,2000,1999,ATL,Atlanta Hawks,0.0010650853755943134,10.650853755943134,24
Dion Glover,893400,2000,1999,ATL,Atlanta Hawks,0.0010402152199002574,10.402152199002574,21
Efthimi Rentzias,658700,2000,1999,ATL,Atlanta Hawks,0.0007669462338798966,7.669462338798966,23
Jeffrey Sheppard,385000,2000,1999,ATL,Atlanta Hawks,0.00044826825572151236,4.482682557215123,25
Brandon Williams,35176,2000,1999,ATL,Atlanta Hawks,4.095658224223355e-05,0.4095658224223355,24
Dikembe Mutombo,14400000,2001,2000,ATL,Atlanta Hawks,0.010903933943095858,109.03933943095858,34
Alan Henderson,5910000,2001,2000,ATL,Atlanta Hawks,0.004475156222478925,44.751562224789254,28
Lorenzen Wright,4950000,2001,2000,ATL,Atlanta Hawks,0.0037482272929392014,37.48227292939201,25
Jim Jackson,2330000,2001,2000,ATL,Atlanta Hawks,0.0017643170894037048,17.64317089403705,30
Chris Crawford,2200000,2001,2000,ATL,Atlanta Hawks,0.0016658787968618673,16.65878796861867,25
DerMarr Johnson,2107200,2001,2000,ATL,Atlanta Hawks,0.001595609000339694,15.95609000339694,20
Jason Terry,1579080,2001,2000,ATL,Atlanta Hawks,0.0011957072229766533,11.957072229766533,23
Anthony Johnson,1200000,2001,2000,ATL,Atlanta Hawks,0.0009086611619246548,9.086611619246549,26
Cal Bowdler,1102800,2001,2000,ATL,Atlanta Hawks,0.0008350596078087578,8.350596078087579,23
Roshown McLeod,978600,2001,2000,ATL,Atlanta Hawks,0.000741013177549556,7.41013177549556,25
Dion Glover,960480,2001,2000,ATL,Atlanta Hawks,0.0007272923940044937,7.272923940044937,22
Matt Maloney,611000,2001,2000,ATL,Atlanta Hawks,0.00046265997494663675,4.626599749466368,29
Larry Robinson,611000,2001,2000,ATL,Atlanta Hawks,0.00046265997494663675,4.626599749466368,32
Hanno Mottola,316969,2001,2000,ATL,Atlanta Hawks,0.00024001451652841326,2.400145165284133,24
Anthony Miller,40000,2001,2000,ATL,Atlanta Hawks,3.0288705397488493e-05,0.3028870539748849,29
Shareef Abdur-Rahim,11250000,2002,2001,ATL,Atlanta Hawks,0.007218003877465488,72.18003877465488,25
Theo Ratliff,9667969,2002,2001,ATL,Atlanta Hawks,0.0062029722425969895,62.029722425969894,28
Toni Kukoc,7906783,2002,2001,ATL,Atlanta Hawks,0.005072994697980285,50.72994697980285,33
Alan Henderson,6500312,2002,2001,ATL,Atlanta Hawks,0.004170602419620928,41.70602419620928,29
Nazr Mohammed,4500000,2002,2001,ATL,Atlanta Hawks,0.0028872015509861953,28.872015509861953,24
Chris Crawford,2500000,2002,2001,ATL,Atlanta Hawks,0.0016040008616589974,16.040008616589972,26
DerMarr Johnson,2265240,2002,2001,ATL,Atlanta Hawks,0.0014533787647457708,14.533787647457707,21
Jason Terry,1689360,2002,2001,ATL,Atlanta Hawks,0.0010838939582608976,10.838939582608976,24
Cal Bowdler,1179720,2002,2001,ATL,Atlanta Hawks,0.0007569087586065409,7.569087586065409,24
Dion Glover,1027440,2002,2001,ATL,Atlanta Hawks,0.000659205858121168,6.59205858121168,23
Emanual Davis,715850,2002,2001,ATL,Atlanta Hawks,0.00045928960672743727,4.592896067274372,33
Mark Strickland,715850,2002,2001,ATL,Atlanta Hawks,0.00045928960672743727,4.592896067274372,31
Jacque Vaughn,590850,2002,2001,ATL,Atlanta Hawks,0.0003790895636444874,3.790895636444874,26
Reggie Slater,523793,2002,2001,ATL,Atlanta Hawks,0.0003360657693323805,3.360657693323805,31
Hanno Mottola,465850,2002,2001,ATL,Atlanta Hawks,0.00029888952056153755,2.9888952056153757,25
Dickey Simpkins,26190,2002,2001,ATL,Atlanta Hawks,1.6803513026739656e-05,0.16803513026739655,29
Shareef Abdur-Rahim,12375000,2003,2002,ATL,Atlanta Hawks,0.007959079354697347,79.59079354697347,26
Theo Ratliff,9375000,2003,2002,ATL,Atlanta Hawks,0.006029605571740414,60.296055717404144,29
Alan Henderson,7091250,2003,2002,ATL,Atlanta Hawks,0.004560793654464449,45.607936544644495,30
Nazr Mohammed,4750000,2003,2002,ATL,Atlanta Hawks,0.0030550001563484763,30.550001563484763,25
Chris Crawford,2750000,2003,2002,ATL,Atlanta Hawks,0.0017686843010438547,17.686843010438547,27
DerMarr Johnson,2423280,2003,2002,ATL,Atlanta Hawks,0.0015585517429212918,15.585517429212917,22
Jason Terry,2153934,2003,2002,ATL,Atlanta Hawks,0.0013853197277398524,13.853197277398523,25
Dion Glover,1584312,2003,2002,ATL,Atlanta Hawks,0.001018962822674688,10.18962822674688,24
Emanual Davis,824935,2003,2002,ATL,Atlanta Hawks,0.000530563485047859,5.30563485047859,34
Dan Dickau,776880,2003,2002,ATL,Atlanta Hawks,0.0004996565308345273,4.996565308345273,24
Darvin Ham,699935,2003,2002,ATL,Atlanta Hawks,0.00045016874409132017,4.5016874409132015,29
Ira Newble,587435,2003,2002,ATL,Atlanta Hawks,0.0003778134772304352,3.778134772304352,27
Matt Maloney,170716,2003,2002,ATL,Atlanta Hawks,0.00010979734877709189,1.0979734877709189,31
Amal McCaskill,143277,2003,2002,ATL,Atlanta Hawks,9.214973840024014e-05,0.9214973840024013,29
Antonio Harvey,60361,2003,2002,ATL,Atlanta Hawks,3.882165567102113e-05,0.3882165567102113,32
Mike Wilks,55402,2003,2002,ATL,Atlanta Hawks,3.563223550779332e-05,0.3563223550779332,23
Paul Shirley,29832,2003,2002,ATL,Atlanta Hawks,1.9186687297723738e-05,0.19186687297723737,25
Shareef Abdur-Rahim,13500000,2004,2003,ATL,Atlanta Hawks,0.009034004462565328,90.34004462565328,27
Terrell Brandon,11100000,2004,2003,ATL,Atlanta Hawks,0.007427959224775936,74.27959224775937,33
Theo Ratliff,10156250,2004,2003,ATL,Atlanta Hawks,0.006796415394291045,67.96415394291046,30
Jason Terry,8333333,2004,2003,ATL,Atlanta Hawks,0.00557654574148466,55.765457414846594,26
Alan Henderson,7682188,2004,2003,ATL,Atlanta Hawks,0.005140808938834504,51.40808938834504,31
Nazr Mohammed,5000000,2004,2003,ATL,Atlanta Hawks,0.003345927578727899,33.45927578727899,26
Chris Crawford,3000000,2004,2003,ATL,Atlanta Hawks,0.0020075565472367396,20.075565472367398,28
Boris Diaw,1021080,2004,2003,ATL,Atlanta Hawks,0.0006832919464174967,6.832919464174967,21
Dion Glover,1000000,2004,2003,ATL,Atlanta Hawks,0.0006691855157455798,6.691855157455798,25
Stephen Jackson,1000000,2004,2003,ATL,Atlanta Hawks,0.0006691855157455798,6.691855157455798,25
Dan Dickau,835200,2004,2003,ATL,Atlanta Hawks,0.0005589037427507083,5.589037427507083,25
Jacque Vaughn,813679,2004,2003,ATL,Atlanta Hawks,0.0005445022012663476,5.445022012663476,28
Obinna Ekezie,688679,2004,2003,ATL,Atlanta Hawks,0.0004608540117981502,4.608540117981502,28
Travis Hansen,366931,2004,2003,ATL,Atlanta Hawks,0.00024554491047804137,2.455449104780414,25
Antoine Walker,14625000,2005,2004,ATL,Atlanta Hawks,0.009147134054857767,91.47134054857767,28
Al Harrington,6325000,2005,2004,ATL,Atlanta Hawks,0.003955940027143615,39.559400271436154,24
Chris Crawford,3250000,2005,2004,ATL,Atlanta Hawks,0.0020326964566350593,20.326964566350593,29
Tony Delk,2700000,2005,2004,ATL,Atlanta Hawks,0.0016887016716660493,16.887016716660494,30
Predrag Drobnjak,2550000,2005,2004,ATL,Atlanta Hawks,0.0015948849121290465,15.948849121290465,29
Josh Childress,2490360,2005,2004,ATL,Atlanta Hawks,0.0015575833685371342,15.575833685371341,21
Jon Barry,1800000,2005,2004,ATL,Atlanta Hawks,0.0011258011144440329,11.258011144440328,35
Jason Collier,1500000,2005,2004,ATL,Atlanta Hawks,0.0009381675953700273,9.381675953700274,27
Kevin Willis,1300000,2005,2004,ATL,Atlanta Hawks,0.0008130785826540237,8.130785826540237,42
Josh Smith,1270080,2005,2004,ATL,Atlanta Hawks,0.0007943652663517096,7.943652663517096,19
Kenny Anderson,1100000,2005,2004,ATL,Atlanta Hawks,0.00068798956993802,6.8798956993802,34
Boris Diaw,1097640,2005,2004,ATL,Atlanta Hawks,0.0006865135195879712,6.865135195879712,22
Royal Ivey,425000,2005,2004,ATL,Atlanta Hawks,0.00026581415202150775,2.6581415202150773,23
Donta Smith,425000,2005,2004,ATL,Atlanta Hawks,0.00026581415202150775,2.6581415202150773,21
Jelani McCoy,167418,2005,2004,ATL,Atlanta Hawks,0.00010471076165443949,1.0471076165443949,27
Anthony Miller,34118,2005,2004,ATL,Atlanta Hawks,2.1338934679223062e-05,0.21338934679223062,33
Joe Johnson,12000000,2006,2005,ATL,Atlanta Hawks,0.006869650130796908,68.69650130796907,24
Al Harrington,6957500,2006,2005,ATL,Atlanta Hawks,0.003982965898751624,39.82965898751624,25
Zaza Pachulia,4000000,2006,2005,ATL,Atlanta Hawks,0.0022898833769323026,22.898833769323026,21
Marvin Williams,3883560,2006,2005,ATL,Atlanta Hawks,0.0022232248718298034,22.232248718298035,19
Tyronn Lue,3500000,2006,2005,ATL,Atlanta Hawks,0.0020036479548157645,20.036479548157644,28
Tony Delk,3375000,2006,2005,ATL,Atlanta Hawks,0.0019320890992866302,19.320890992866303,31
Josh Childress,2677200,2006,2005,ATL,Atlanta Hawks,0.00153261894418079,15.326189441807902,22
Jason Collier,1650000,2006,2005,ATL,Atlanta Hawks,0.0009445768929845748,9.445768929845748,28
Josh Smith,1365360,2006,2005,ATL,Atlanta Hawks,0.0007816287918820722,7.816287918820722,20
John Edwards,1000000,2006,2005,ATL,Atlanta Hawks,0.0005724708442330756,5.724708442330757,24
Salim Stoudamire,675000,2006,2005,ATL,Atlanta Hawks,0.0003864178198573261,3.864178198573261,23
Royal Ivey,641748,2006,2005,ATL,Atlanta Hawks,0.0003673820193448878,3.673820193448878,24
Donta Smith,641748,2006,2005,ATL,Atlanta Hawks,0.0003673820193448878,3.673820193448878,22
Esteban Batista,398762,2006,2005,ATL,Atlanta Hawks,0.0002282796187880697,2.282796187880697,22
John Thomas,178675,2006,2005,ATL,Atlanta Hawks,0.00010228622809334479,1.022862280933448,30
Joe Johnson,12744189,2007,2006,ATL,Atlanta Hawks,0.009281136984292768,92.81136984292768,25
Speedy Claxton,6854546,2007,2006,ATL,Atlanta Hawks,0.004991920662125777,49.91920662125777,28
Marvin Williams,4174800,2007,2006,ATL,Atlanta Hawks,0.0030403575058425016,30.403575058425016,20
Zaza Pachulia,4000000,2007,2006,ATL,Atlanta Hawks,0.002913056918503882,29.130569185038823,22
Tyronn Lue,3500000,2007,2006,ATL,Atlanta Hawks,0.0025489248036908965,25.489248036908965,29
Lorenzen Wright,3250000,2007,2006,ATL,Atlanta Hawks,0.002366858746284404,23.66858746284404,31
Shelden Williams,2952840,2007,2006,ATL,Atlanta Hawks,0.002150447747808751,21.50447747808751,23
Josh Childress,2863920,2007,2006,ATL,Atlanta Hawks,0.0020856904925104095,20.856904925104097,23
Anthony Johnson,2640000,2007,2006,ATL,Atlanta Hawks,0.001922617566212562,19.22617566212562,32
Josh Smith,1460640,2007,2006,ATL,Atlanta Hawks,0.0010637318643608776,10.637318643608776,21
Royal Ivey,744551,2007,2006,ATL,Atlanta Hawks,0.0005422298604322459,5.422298604322459,25
Salim Stoudamire,729000,2007,2006,ATL,Atlanta Hawks,0.0005309046233973325,5.309046233973325,24
Solomon Jones,675000,2007,2006,ATL,Atlanta Hawks,0.0004915783549975301,4.915783549975301,22
Esteban Batista,664209,2007,2006,ATL,Atlanta Hawks,0.0004837196556956362,4.837196556956362,23
Stanislav Medvedenko,625132,2007,2006,ATL,Atlanta Hawks,0.0004552612743945422,4.552612743945422,27
Cedric Bozeman,412718,2007,2006,ATL,Atlanta Hawks,0.0003005677563227713,3.005677563227713,23
Matt Freije,145961,2007,2006,ATL,Atlanta Hawks,0.00010629817522043628,1.0629817522043628,25
Dijon Thompson,89101,2007,2006,ATL,Atlanta Hawks,6.48890711239036e-05,0.648890711239036,23
Jeremy Richardson,55365,2007,2006,ATL,Atlanta Hawks,4.0320349073241856e-05,0.40320349073241857,22
Mike Bibby,13500000,2008,2007,ATL,Atlanta Hawks,0.007811158618841418,78.11158618841418,29
Joe Johnson,13488377,2008,2007,ATL,Atlanta Hawks,0.007804433500572766,78.04433500572766,26
Speedy Claxton,6306182,2008,2007,ATL,Atlanta Hawks,0.0036487842875024155,36.48784287502416,29
Marvin Williams,4466040,2008,2007,ATL,Atlanta Hawks,0.0025840701361548534,25.840701361548533,21
Zaza Pachulia,4000000,2008,2007,ATL,Atlanta Hawks,0.002314417368545605,23.14417368545605,23
Al Horford,3745800,2008,2007,ATL,Atlanta Hawks,0.002167336144774532,21.673361447745318,21
Josh Childress,3631449,2008,2007,ATL,Atlanta Hawks,0.002101172159646892,21.01172159646892,24
Josh Smith,2243543,2008,2007,ATL,Atlanta Hawks,0.0012981237215697282,12.981237215697282,22
Acie Law,1927080,2008,2007,ATL,Atlanta Hawks,0.0011150168556442162,11.150168556442162,22
Salim Stoudamire,783000,2008,2007,ATL,Atlanta Hawks,0.0004530471998928022,4.530471998928022,25
Solomon Jones,729000,2008,2007,ATL,Atlanta Hawks,0.00042180256541743654,4.218025654174365,23
Mario West,427163,2008,2007,ATL,Atlanta Hawks,0.00024715836660001156,2.4715836660001154,23
