Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Weight,Body Fat,Hand (Length),Hand (Width),drafted,athletic
Armon Johnson,2010,34,74,75.25,80,99.5,195,5.6,8.25,9.25,1,1
Terrico White,2010,36,75.75,77,81,101,203,3.7,9,10.5,1,1
Darington Hobson,2010,37,77.25,78.5,81.25,104.5,204,6.2,8.25,9,1,1
Andy Rautins,2010,38,76.25,77,79,100,192,6.2,8,9.75,1,1
Wesley Johnson,2010,4,78.25,79.25,85,106,206,4.6,9,9.5,1,1
Lance Stephenson,2010,40,76.5,77.75,82.5,103,227,9.3,9,10.25,1,1
Jarvis Varnado,2010,41,80.25,82,87.5,109.5,210,9.5,9.25,9.5,1,1
Devin Ebanks,2010,43,79,80.25,84.25,107.5,208,7.9,8.25,9,1,1
Jerome Jordan,2010,44,83.5,84.75,89.25,113,244,6.9,9,10.25,1,0
Tiny Gallon,2010,47,80.5,81.5,88.5,109.5,302,15.1,9.25,10.5,1,1
Ryan Richards,2010,49,82.5,83.75,85.5,110,230,8,9,9.75,1,1
DeMarcus Cousins,2010,5,81.5,82.75,89.75,113,292,16.4,9.25,10,1,1
Solomon Alabi,2010,50,83.5,84.75,89,113,237,5,9.25,9.25,1,1
Willie Warren,2010,54,74.5,75.75,78,99.5,208,7.6,8.5,9.5,1,1
Derrick Caracter,2010,58,80.25,81.5,84.25,107.25,280,12.8,9,10.25,1,1
Stanley Robinson,2010,59,78.5,79.75,84,107.5,213,8.3,9,9,1,0
Ekpe Udoh,2010,6,80.75,81.75,88.5,106.5,237,8,9.5,8.75,1,1
Greg Monroe,2010,7,81.75,83,86.25,108.5,247,11.2,8.75,9.5,1,1
Al-Farouq Aminu,2010,8,79.25,80.5,87.25,108.5,216,8.2,9.5,9.5,1,1
Gordon Hayward,2010,9,78.75,80,79.75,103,211,6.9,8.5,9.25,1,1
Artsiom Parakhouski,2010,99,82.25,83.75,85,109.5,268,6,9,10.5,0,1
Charles Garcia,2010,99,80.25,81.25,85.75,107.5,232,7,8.75,9,0,1
Jon Scheyer,2010,99,76.75,78,75.25,99,180,5.4,7.75,9.5,0,0
Manny Harris,2010,99,76,77.5,79.25,102,185,3.8,8.5,9,0,0
Mikhail Torrance,2010,99,76,77.29,78.75,101.75,207,6.6,8.75,9.5,0,1
Sherron Collins,2010,99,70.25,71.75,74.5,94,217,9.2,8.5,9.5,0,1
Sylven Landesberg,2010,99,76.75,78.25,81,100.5,210,11.6,8.75,10.75,0,1
Jimmer Fredette,2011,10,72.75,74.5,76.5,96.5,196,7.7,8,8.5,1,1
Klay Thompson,2011,11,77.75,79.25,81,103.5,206,8,8.75,9.25,1,1
Alec Burks,2011,12,77,78,82,103.5,193,5.1,9,8.25,1,1
Markieff Morris,2011,13,79.75,81.25,82.75,106.5,241,10.2,8.5,8.25,1,0
Marcus Morris,2011,14,79,80.75,82,105.5,230,8,8.25,8.5,1,0
Kawhi Leonard,2011,15,78,79,87,106,227,5.4,9.75,11.25,1,1
Nikola Vucevic,2011,16,82.25,83.75,88.5,112.5,260,6.1,9.25,10.25,1,1
Iman Shumpert,2011,17,76.25,77.5,81.5,99.5,222,6.5,9,9,1,1
Chris Singleton,2011,18,79.75,81,85,103.5,230,7.4,9.25,10,1,1
Tobias Harris,2011,19,78.5,79.75,83,103.5,223,8.4,8.75,9,1,1
Derrick Williams,2011,2,79.25,80.75,85.5,108,248,10.8,9,9.75,1,1
Nolan Smith,2011,21,73.5,75.5,77.5,99,188,5.6,8.5,9.25,1,1
Kenneth Faried,2011,22,78,79.5,84,108,225,6.3,8.5,10.25,1,1
Marshon Brooks,2011,25,76.25,77.25,85,101,195,5.2,9,10.5,1,1
Jordan Hamilton,2011,26,78.75,80.5,81.5,104,228,9.8,9,9.25,1,1
JaJuan Johnson (Purdue),2011,27,81,82,86,107.5,220,7.5,9,10,1,1
Norris Cole,2011,28,72.25,73.75,74.25,95.5,174,4.7,8.5,9.5,1,1
Cory Joseph,2011,29,74,75.25,77.5,99,186,9.7,8.5,10.5,1,1
Enes Kanter,2011,3,81.75,83.25,85.5,109.5,259,5.9,9.5,10.75,1,1
Jimmy Butler,2011,30,78,79.75,79.5,101.5,222,5.4,9,9,1,1
Justin Harper,2011,32,80,80.75,83.75,106,228,4,9,9.25,1,1
