Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Weight,Body Fat,Hand (Length),Hand (Width),drafted,athletic
Marcus Smart,2014,6,74,75.25,81.25,99,227,10.6,9,8.75,1,1
Cory Jefferson,2014,60,79.75,81,84.5,105,218,5.3,8.75,9.75,1,1
Julius Randle,2014,7,79.75,81,84,105.5,250,9.4,8.75,8.25,1,1
Nik Stauskas,2014,8,77.25,78.5,79.75,102,207,12.1,8.5,8.5,1,1
Noah Vonleh,2014,9,80,81.5,88.25,108,247,7.3,9.75,11.75,1,1
Aaron Craft,2014,99,72.75,73.75,74,94.5,192,6.1,7.75,8.5,0,1
Alex Kirk,2014,99,81.25,82.75,87.5,109.5,252,13.6,9.25,10.5,0,1
C.J. Fair,2014,99,78.5,80,81.5,104,218,5.1,9,9,0,1
DeAndre Kane,2014,99,74.75,76.5,80,99,200,5,8.25,9,0,1
Deonte Burton,2014,99,72,73.25,79,97.5,193,7.7,8.25,8,0,1
Isaiah Austin,2014,99,83.5,84.5,88.5,112.5,220,7.5,8.75,8.75,0,1
Jabari Brown,2014,99,75,76.25,80.25,100,202,6.1,9,9.25,0,1
Jahii Carson,2014,99,69.75,71,74,93,180,6.5,7.5,8.75,0,1
James McAdoo,2014,99,79.5,80.75,86.25,106.5,228,6.2,9.25,9,0,1
Jordan Bachynski,2014,99,85.25,86,88,108.5,254,7.5,9.25,10,0,1
Kendall Williams,2014,99,74.25,75.75,77.5,99,183,7.2,8,7.75,0,0
Khem Birch,2014,99,79.5,81.25,85,107,209,6,9,8.5,0,1
LaQuinton Ross,2014,99,78.5,79.5,85.75,106,239,16.3,8.75,9.75,0,1
Melvin Ejim,2014,99,77.25,79,83.25,103.5,219,6.5,8.75,9.25,0,1
Patric Young,2014,99,80.5,82,85.75,103.5,247,5.5,9.25,9.5,0,1
Sean Kilpatrick,2014,99,74.5,76.25,79,99,219,9.2,9,9,0,0
Justise Winslow,2015,10,76.5,78.5,82.25,104.5,222,5.3,8.5,9.25,1,0
Myles Turner,2015,11,81.75,83.5,88,112,239,9.3,9.25,9.25,1,0
Trey Lyles,2015,12,81,82.25,85.5,108,241,12.1,9.25,10.25,1,0
Devin Booker,2015,13,76.5,77.75,80.25,102.5,206,8.3,8.75,9,1,1
Cameron Payne,2015,14,72.75,73.5,79.25,97.5,183,6.3,8.5,8.25,1,1
Kelly Oubre,2015,15,77.75,78.75,86.25,102.5,203,5.7,9,8.75,1,1
Terry Rozier,2015,16,72.75,74.25,80.25,98.5,190,5.6,8.25,8.75,1,1
Rashad Vaughn,2015,17,75.75,77,79,101,199,6.2,8,8.5,1,1
Sam Dekker,2015,18,79.75,81,83.5,106,219,7.5,8.5,9.25,1,1
Jerian Grant,2015,19,75.25,76.25,79.5,100,198,5.6,8.25,8.5,1,0
D'Angelo Russell,2015,2,75.25,77,81.75,102,193,8.3,8.75,9.75,1,0
Delon Wright,2015,20,76.25,77.5,79.5,101.5,181,6.6,8,8.5,1,1
Justin Anderson,2015,21,77.25,78.25,83.75,101,231,5,8.5,9.5,1,1
Bobby Portis,2015,22,81.5,82.5,86,108.5,246,8.9,9.5,9.25,1,1
Rondae Hollis-Jefferson,2015,23,77.5,79,86,104,211,5,8.75,9.75,1,1
Tyus Jones,2015,24,72.25,74,77,97,185,6.5,8.25,8.75,1,1
Jarell Martin,2015,25,80,81.25,81.75,106.5,239,10.1,8.25,9,1,1
Larry Nance,2015,27,79.5,80.5,85.5,108,227,6.4,9,9.75,1,1
R.J. Hunter,2015,28,76.5,78,82.5,104,185,6,8.5,8.25,1,1
Chris McCullough,2015,29,80.25,81,87.25,109,199,6.2,8.75,8.75,1,0
Kevon Looney,2015,30,80,81.25,87.5,110,222,11.9,9.5,9.25,1,0
Montrezl Harrell,2015,32,79,79.5,88.25,109,253,11.9,9,9.75,1,0
Jordan Mickey,2015,33,79,80.25,87.25,106,238,7.2,8.75,9.5,1,1
Anthony Brown,2015,34,77.25,80.5,83.25,104.5,211,6.1,8.5,9,1,1
Rakeem Christmas,2015,36,80.25,81.75,89.25,110.5,243,9.6,9.25,9.84,1,0
Richaun Holmes,2015,37,80.25,81.5,85.5,108,243,8.8,8.5,8.5,1,1
Pat Connaughton,2015,41,76,77.25,80.75,96,215,10.2,8.5,9.25,1,1
Olivier Hanlan,2015,42,75.25,76.25,78.5,100,186,4.3,8,8.75,1,1
Joseph Young,2015,43,72.75,74,77,94.5,182,4.1,8.25,7.5,1,1
Andrew Harrison,2015,44,76.5,77.5,81,100,213,5.9,8.25,9.25,1,1
Marcus Thornton,2015,45,73.75,74.75,79.75,97.5,177,5.3,8.25,8.5,1,1
Norman Powell,2015,46,75,76.25,82.75,102.5,215,6.4,9.25,9,1,1
Dakari Johnson,2015,48,83,83.75,86,112,265,14.9,9.25,10.5,1,1
Aaron White,2015,49,79.75,80.75,83.5,106.5,220,8,8.25,9.25,1,1
Tyler Harvey,2015,51,74.75,76,77.5,98.5,181,9.2,7.75,8.75,1,1
Branden Dawson,2015,56,77.5,78.75,83,105,230,5.8,9,8.75,1,1
J.P. Tokoto,2015,58,77.25,78.25,82,100.5,196,4.1,8,8.75,1,1
Willie Cauley-Stein,2015,6,83.25,84.5,87,111,242,6.3,9.5,9,1,0
Stanley Johnson,2015,8,77,78.5,83.5,102,242,7.5,9,9,1,0
Frank Kaminsky,2015,9,83.75,84.75,83,109.5,231,9.4,8.5,9.5,1,0
Aaron Harrison,2015,99,76.5,78,80.25,100.5,209,6,8.3,10,0,0
Alan Williams,2015,99,79.25,80.25,85.75,106.5,261,12,8.5,9.5,0,1
Brandon Ashley,2015,99,79.25,80.5,87.25,105,228,8.8,9,9.5,0,1
Chasson Randle,2015,99,72.75,73.5,79,96.5,179,4.5,8.5,9.5,0,1
Chris Walker,2015,99,80.75,81.25,86.75,108,208,5.1,9,9,0,1
Christian Wood,2015,99,81.25,82.5,87.25,111.5,216,14.7,9.25,10.75,0,0
Cliff Alexander,2015,99,79.25,80.5,87.5,109.5,239,5.8,9.5,10.25,0,0
Corey Hawkins,2015,99,72.75,73.75,80,99.5,192,5.5,8.3,9,0,1
Dez Wells,2015,99,75,76,81.5,100.5,209,8.1,8.75,9.75,0,1
George De Paula,2015,99,76.5,77.5,84,104,197,6.7,9.5,10,0,1
Jonathan Holmes,2015,99,80.25,81.25,83.5,107.5,242,7.2,8.25,9.5,0,1
Keifer Sykes,2015,99,70.5,71.75,74,93,167,5,8.5,9.5,0,1
Michael Frazier,2015,99,75.75,76.25,80,101.5,199,7.4,8.25,9.25,0,1
Michael Qualls,2015,99,76,77,84.25,104.5,201,4,9,10.25,0,0
Mouhammadou Jaiteh,2015,99,81.5,82.5,87.25,110.5,247,9.9,9,9.25,0,1
Quinn Cook,2015,99,72.25,74,76,96.5,179,6.7,7.5,8.25,0,1
Robert Upshaw,2015,99,82.75,84,89.5,113,258,12.5,10,11,0,0
Ryan Boatright,2015,99,70,71,72.5,92.5,170,6.6,7.5,8.75,0,1
T.J. McConnell,2015,99,72.5,74,74,96.5,188,7.3,7.5,7,0,1
TaShawn Thomas,2015,99,79.25,80,86,108,240,12.4,9,9.25,0,1
Terran Petteway,2015,99,76.75,78,83.25,104.5,209,4.9,8.25,8.25,0,1
Treveon Graham,2015,99,76.75,77.75,82.5,103,219,5.5,8.5,8.25,0,1
Vince Hunter,2015,99,78.75,79.5,83,104.5,208,4.6,9,8.75,0,1
Thon Maker,2016,10,83.75,84.75,87,110.5,216,6.1,8.75,9.5,1,1
Taurean Prince,2016,12,78.5,79.75,83.5,102,220,6.5,9,8.5,1,1
Denzel Valentine,2016,14,76,77.75,82.75,102,210,9.2,8.5,9.75,1,1
Justin Jackson,2016,15,79,80.25,82.75,103.5,193,7.6,8.75,8.75,1,1
Wade Baldwin,2016,17,74.5,76,83.25,100,202,5.2,9,9.75,1,1
Henry Ellenson,2016,18,82,83.5,86.25,108,242,11.2,8.5,9.75,1,0
Malik Beasley,2016,19,75.5,76.5,79,100.5,190,6.9,8.5,9,1,0
Caris LeVert,2016,20,77.75,79,82,101,191,7.6,8.5,9.25,1,0
DeAndre Bembry,2016,21,76.25,77.75,81.25,101,207,7,8,9.25,1,1
Malachi Richardson,2016,22,76.75,78.25,84,101.5,200,7,8.75,10,1,1
Brice Johnson,2016,25,81,82.5,84.5,106.5,209,7.5,9,8.25,1,1
Caleb Swanigan,2016,26,79.5,80.5,87.5,107,247,12.6,9,10.25,1,0
Pascal Siakam,2016,27,80.25,81.5,87.25,107.5,227,5.2,9.25,10,1,1
Skal Labissiere,2016,28,82.5,83.75,86.5,105.5,216,5.7,8.75,9,1,0
Jaylen Brown,2016,3,77.25,78.75,83.75,102.5,223,5.1,8.75,9,1,0
Damian Jones,2016,30,82.25,83.5,87.75,107,244,6.6,8.75,10.5,1,1
Josh Hart,2016,30,76,77.5,80.5,99.5,204,5.8,8.5,9.25,1,1
Deyonta Davis,2016,31,81.25,82.5,86.5,108.5,237,9.7,9,9.25,1,0
Cheick Diallo,2016,33,79.5,81,88.5,107.5,219,5.6,8.5,9.75,1,1
Tyler Ulis,2016,34,68.75,70,74,88.5,149,5.2,7.5,7.5,1,1
Malcolm Brogdon,2016,36,75.75,77.5,82.5,98,223,5.4,9,10.25,1,1
Chinanu Onuaku,2016,37,81,82,86.75,108.5,245,8.6,9,8,1,1
Patrick McCaw,2016,38,77.25,78.75,82,100.5,181,4.7,8.75,8.75,1,1
Diamond Stone,2016,40,81,82.25,86.75,108.5,254,12.9,8.5,7.75,1,1
Stephen Zimmerman,2016,41,82.25,83.75,87.25,108.5,234,11.2,9,9,1,1
Isaiah Whitehead,2016,42,75.25,76.5,80.75,100,210,9.3,8.5,8.75,1,1
Zhou Qi,2016,43,85.25,86.25,91.75,112.5,218,4.9,9.25,9.5,1,1
Demetrius Jackson,2016,45,72,73.25,77.5,93,194,6.5,8.25,9,1,1
Jake Layman,2016,47,80,81.25,81.25,102,209,7.1,8.25,9.25,1,1
Michael Gbinije,2016,49,77.5,78.75,79.5,101,205,5.4,8,9,1,1
Kris Dunn,2016,5,75,76.25,81.5,100,,6.6,8.62,9.31,1,0
Georges Niang,2016,50,78.75,80.5,82,103,231,10.1,9.25,9.25,1,1
Ben Bentil,2016,51,79.25,80.25,85.5,105,229,9.7,9.5,10,1,1
Joel Bolomboy,2016,52,79.5,81,85.75,103.5,224,5.2,9,10.25,1,1
Kay Felder,2016,54,68.25,69.5,74.5,88.5,177,5.8,8.25,8.5,1,1
Marcus Paige,2016,55,72.5,73.75,78.25,97,164,4.3,7.75,8.75,1,1
Daniel Hamilton,2016,56,78.25,80,81,103.5,197,6,9,8.5,1,1
Isaiah Cousins,2016,59,75.25,76.5,78.25,98.5,194,4.8,8.25,8.75,1,1
Jaron Blossomgame,2016,59,78.25,79.25,82,102,214,5.3,8.5,10,1,1
Buddy Hield,2016,6,75.75,77,81.25,101,212,6.1,8.5,9,1,0
Marquese Chriss,2016,8,80.75,82,84.25,105,233,8.5,9,9,1,1
Jakob Poeltl,2016,9,84.25,85,86.75,111.5,239,5.8,9.25,10.25,1,0
A.J. English,2016,99,74,75,82,98.5,182,5.3,8.75,8.5,0,1
Cat Barber,2016,99,73.5,74.75,77.5,95.5,173,4.5,8,8.5,0,0
Dedric Lawson,2016,99,79,80,86.5,106.5,225,11.1,9.5,9.5,0,1
Dorian Finney-Smith,2016,99,78.5,79.75,83.75,105.5,213,6.5,9,9.75,0,1
Elgin Cook,2016,99,77,78.25,82,100.5,210,6.4,8.5,10.25,0,0
Gary Payton II,2016,99,74,75,80,99.5,184,4,8.75,9.5,0,1
Isaiah Miles,2016,99,78.75,79.75,82.5,105,220,9.6,9,9.5,0,1
Jarrod Uthoff,2016,99,80.5,81.75,83.5,104,214,6,8.75,9,0,1
Kyle Wiltjer,2016,99,80.75,82,84.25,102.5,243,15.3,8.25,9.5,0,1
Malik Newman,2016,99,74.25,75.5,77.75,97.5,182,5.6,8.25,9.25,0,1
Marcus Lee,2016,99,81,82.25,87,107.5,211,5.4,9,9,0,1
Melo Trimble,2016,99,73.25,74.5,74,92.5,192,8.4,8,8.75,0,1
Nigel Hayes,2016,99,78.25,79.25,87,107.5,245,10.9,8.5,9.5,0,1
Perry Ellis,2016,99,79,80.25,82.25,102,218,4.6,8,8.5,0,1
Robert Carter,2016,99,78.75,80.5,87.25,106.5,251,12.5,8.75,9.5,0,1
Ron Baker,2016,99,75.25,76.25,81.75,97.5,212,7.9,8.75,9.5,0,1
Sheldon McClellan,2016,99,77,78.25,79,99.5,198,4.8,8,8,0,1
Troy Williams,2016,99,77.75,78.75,80.25,102,218,10,8.25,9.25,0,1
Wayne Selden,2016,99,76.25,77.75,82.5,101,232,7.3,9,9.25,0,0
Zach Collins,2017,10,82.25,84,85,111,232,8.9,8.75,9.25,1,0
Luke Kennard,2017,12,76.5,77.5,77.25,98.5,196,6.6,8,8.75,1,0
Donovan Mitchell,2017,13,73.25,75,82,97,211,5.9,8.5,9.5,1,1
Bam Adebayo,2017,14,80.75,81.75,86.75,108,243,5.2,9.5,8.75,1,1
Justin Patton,2017,16,82,83.25,87,111.5,229,7.8,8.75,9.75,1,1
D.J. Wilson,2017,17,80.75,82.5,87,109.5,234,6.4,9.25,10.25,1,0
T.J. Leaf,2017,18,80.75,81.75,83,107,222,6.8,8.5,9.5,1,1
John Collins,2017,19,80.25,81.5,83.25,106.5,225,5.4,9,10,1,1
Harry Giles,2017,20,81.25,82.5,87.25,109.5,232,5.2,9.5,10.75,1,1
Terrance Ferguson,2017,21,77.5,79,80.75,103,184,5.8,8.5,10,1,1
Jarrett Allen,2017,22,81,82.25,89.25,109.5,234,7.4,9.5,10.5,1,1
OG Anunoby,2017,23,78.25,79.75,86.25,107.5,232,6.8,9.25,9.5,1,0
Tyler Lydon,2017,24,80.25,81.5,84,107.5,215,13.6,8.75,8.75,1,1
Kyle Kuzma,2017,27,80,81.5,84.25,107.5,223,9.4,8.5,9.5,1,1
Tony Bradley,2017,28,81.25,82.75,89,112.5,249,12,9.5,9.5,1,1
Derrick White,2017,29,75.25,76.5,79.5,101.5,190,6.2,8.25,8.5,1,1
Frank Jackson,2017,31,74,75.5,79.5,98,202,6.7,8.25,9,1,1
Davon Reed,2017,32,76.5,77.5,84,102,206,6.5,9.25,9.5,1,1
Wesley Iwundu,2017,33,77.5,78.75,85,105.5,193,4,8.75,9.5,1,1
Frank Mason,2017,34,71,72,75.25,94,189,4.3,8,9.25,1,1
Ivan Rabb,2017,35,80.75,82,85.5,109,220,6.8,8.75,9,1,1
Semi Ojeleye,2017,37,77.25,78.75,81.75,102,241,5.5,8.75,9.5,1,1
Jordan Bell,2017,38,79,80.5,83.75,104.5,224,5.4,9.25,9.5,1,1
Jawun Evans,2017,39,70.75,71.5,77.5,95,185,9.1,8,7.75,1,1
Dwayne Bacon,2017,40,76.75,78.25,82,103.5,222,7.9,8.75,10,1,1
Tyler Dorsey,2017,41,75,76.5,77.25,99.5,183,4.7,8.5,9.25,1,1
Thomas Bryant,2017,42,81.5,82.75,90,112.5,248,9.4,9.5,10.25,1,1
Damyean Dotson,2017,44,76.5,77.5,81,100,205,5.3,8.5,9.25,1,1
Dillon Brooks,2017,45,77,78,78,100.5,220,7.5,8.25,9.25,1,1
Ike Anigbogu,2017,47,80.5,81.75,90.25,110.5,252,5.4,9.5,10,1,1
Sindarius Thornwell,2017,48,75.5,76.75,82,103,212,7.8,8.75,8.75,1,1
De'Aaron Fox,2017,5,74,75.25,78.5,100,170,4.5,8.5,8.5,1,0
Monte Morris,2017,51,73.25,74.5,76,96.5,175,6.9,8.25,8.75,1,1
Edmond Sumner,2017,52,76,77.75,81,102.5,176,8.3,8.25,9,1,0
Kadeem Allen,2017,53,73,74.25,81.25,99.5,192,6.4,8.5,8.75,1,1
Alec Peters,2017,54,79.25,80.75,82.75,105,232,8.8,8.75,10,1,0
Nigel Williams-Goss,2017,55,73.5,75,79.25,99,190,5.6,8.75,9.25,1,1
Andrew Jones,2017,99,75,76.25,78.5,99.5,185,4.9,8.5,9,0,1
Cameron Oliver,2017,99,79,80.25,85.25,106.5,239,7.7,9.5,10.25,0,1
Chris Boucher,2017,99,80,81.5,88,110.5,182,5.4,9.25,10.5,0,0
Derrick Walton,2017,99,71,72.75,74.5,95,189,5.8,8,8.5,0,1
Devin Robinson,2017,99,79,80.25,84.75,106,190,3.2,9.25,10.25,0,1
Eric Mika,2017,99,80.5,81.75,82,106.5,233,6.5,8.25,8.75,0,1
Hamidou Diallo,2017,99,75.75,77,83.25,101.5,197,5.2,8.5,9.5,0,1
Isaiah Briscoe,2017,99,73.25,74.75,81,99.5,222,11,9,9.25,0,1
Isaiah Hicks,2017,99,79.25,80.5,84.5,105,233,7.7,8.75,9.75,0,1
Jamel Artis,2017,99,77.5,78.75,82,105,213,11.9,9.25,9.75,0,1
Johnathan Motley,2017,99,79.75,80.75,88,108,238,6.6,9,9.5,0,0
Jonathan Jeanne,2017,99,84.75,86,90.5,113.5,207,8.7,9.5,10,0,1
Justin Jackson (Canada),2017,99,77.75,79,87.25,107,219,8.1,9,9.5,0,1
Kennedy Meeks,2017,99,80.75,82.25,85,106,277,11.5,8.75,8.75,0,1
Kobi Simmons,2017,99,75.25,76.5,78,99,166,5,8.5,9.5,0,1
Moritz Wagner,2017,99,82,83.25,84,108,231,6.7,8.75,10.75,0,1
Omer Yurtseven,2017,99,82.5,83.75,85,108.5,248,7.6,9,10.5,0,1
P.J. Dozier,2017,99,77.25,78.75,83,101,201,6.1,8.5,9.5,0,1
Peter Jok,2017,99,76.25,77.75,80,102,202,11,8.25,9.5,0,1
Rawle Alkins,2017,99,74.5,75.75,80.75,99,223,11,8.75,10,0,1
Sviatoslav Mykhailiuk,2017,99,78.5,79.5,77,100,220,11.4,8,9.25,0,1
Thomas Welsh,2017,99,83.5,84.5,84,109.5,254,10.9,9,10.5,0,0
V.J. Beachem,2017,99,78.25,80,82.25,104.5,193,6.8,8.5,9,0,1
